benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,deepseek/deepseek-v3.2,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,deepseek/deepseek-v3.2,ok,False,0.00022288,5.51,"**Collation of Codex Marchalianus (M) against Schermann 1907 (S)**

**Apparatus Criticus**

1. **ἔχει δὲ εἴσοδον ἀπὸ Γαβαών** S : **ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών** M
   *   **Variant:** Addition (of relative pronoun ἥτις) and substitution (of δὲ by ἥτις).
   *   **Notation:** ἔχει δὲ] ἥτις ἔχει M

2. **ἠρώτων γὰρ οἱ πολέμιοι** S : **ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν** M
   *   **Variant:** Addition (of the phrase πόθεν πίνουσιν).
   *   **Notation:** ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M

3. **καὶ ἐδόθη αὐτοῖς χρησμὸς** S : **ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς** M
   *   **Variant:** Addition (of conjunction ὅτι), substitution (of word order), and omission (of initial καὶ as a separate conjunction, now incorporated).
   *   **Notation:** καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M",55,95,80,80,True,"```markdown
55
```","```markdown
95
```","```markdown
80
```",,,,0.0026562,0.001566,0.000552636
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,deepseek/deepseek-v3.2,ok,False,0.00012222,2.53,"And God performed the sign of Siloam through the prophet; for before his death, being in distress, he prayed to drink water, and immediately it was sent to him from it; on account of this it was called Siloam, which is interpreted ‘sent’… If, therefore, the Jews came, water went forth; but if foreigners, not; wherefore even until today it comes forth suddenly, so that the mystery might be shown.",85,90,N/A,87.5,False,```85```,"```
90
```",,,,not_needed,0.003057,0.0008625,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,deepseek/deepseek-v3.2,ok,False,0.00020972,5.38,"<w lemma=""Ἠσαΐας"" msd=""Np---ms-"">Ἠσαΐας</w>
<w lemma=""ἀπό"" msd=""R--------"">ἀπὸ</w>
<w lemma=""Ἱερουσαλήμ"" msd=""Np---fa-"">Ἱερουσαλὴμ</w>
<w lemma=""θνῄσκω"" msd=""V3spia---"">θνῄσκει</w>
<w lemma=""ὑπό"" msd=""R--------"">ὑπὸ</w>
<w lemma=""Μανασσῆς"" msd=""Np---mg-"">Μανασσῆ</w>
<w lemma=""ἐν"" msd=""R--------"">ἐν</w>
<w lemma=""πρίσις"" msd=""Nb---fd-"">πρίσει</w>
<w lemma=""εἰς"" msd=""R--------"">εἰς</w>
<w lemma=""δύο"" msd=""Mc---a-"">δύο</w>
<w lemma=""καί"" msd=""C--------"">καὶ</w>
<w lemma=""τίθημι"" msd=""V3saip---"">ἐτέθη</w>
<w lemma=""ὑποκάτω"" msd=""R--------"">ὑποκάτω</w>
<w lemma=""δρῦς"" msd=""Nb---fg-"">δρυὸς</w>
<w lemma=""Ῥωγήλ"" msd=""Np---fa-"">Ῥωγήλ</w>",65,85,65,65,True,"```markdown
65
```","```markdown
85
```","```markdown
65
```",,,,0.0081726,0.001173,0.000893592
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,deepseek/deepseek-v3.2,ok,False,0.00040614,11.39,"```xml
<?xml version=""1.0"" encoding=""UTF-8""?>
<TEI xmlns=""http://www.tei-c.org/ns/1.0"">
  <teiHeader>
    <fileDesc>
      <titleStmt>
        <title>Codex Marchalianus (Vat. gr. 2125)</title>
        <title type=""uniform"">Vitae Prophetarum</title>
        <title type=""subordinate"">Life of Isaiah</title>
        <respStmt>
          <resp>Encoded by</resp>
          <name>Strict Philologist</name>
        </respStmt>
      </titleStmt>
      <publicationStmt>
        <publisher>Biblioteca Apostolica Vaticana</publisher>
        <pubPlace>Vatican City, Vatican</pubPlace>
        <availability>
          <p>Manuscript held by the Biblioteca Apostolica Vaticana; digital surrogate available through the Vatican Library digital collections.</p>
        </availability>
      </publicationStmt>
      <sourceDesc>
        <msDesc xml:id=""Vat.gr.2125"">
          <msIdentifier>
            <settlement>Vatican City</settlement>
            <country>Vatican</country>
            <repository>Biblioteca Apostolica Vaticana</repository>
            <idno type=""shelfmark"">Vat. gr. 2125</idno>
            <altIdentifier type=""commonName"">
              <idno>Codex Marchalianus</idno>
            </altIdentifier>
          </msIdentifier>
          <msContents>
            <msItem xml:id=""item1"">
              <title type=""uniform"" xml:lang=""grc"">Βίοι Προφητῶν</title>
              <title type=""subordinate"" xml:lang=""grc"">Βίος Ἠσαΐου</title>
              <title type=""transliterated"">Vitae Prophetarum</title>
              <title type=""transliterated"">Life of Isaiah</title>
              <textLang mainLang=""grc"">Ancient Greek</textLang>
              <note>Text transmitted as part of the parabiblical corpus; scribal anomalies preserved without normalization.</note>
            </msItem>
          </msContents>
          <physDesc>
            <objectDesc form=""codex"">
              <supportDesc>
                <extent>
                  <dimensions type=""leaf"" unit=""mm"">
                    <height>295</height>
                    <width>179</width>
                  </dimensions>
                </extent>
                <layout>
                  <columns>1</columns>
                </layout>
              </supportDesc>
              <handDesc>
                <handNote script=""uncial"" medium=""ink"">
                  <desc>Greek majuscule script exhibiting characteristic lunate sigma forms (Ϲ) and standard <hi rend=""underline"">Nomina Sacra</hi> contractions (e.g., ⲓ̅ⲥ̅, ⲕ̅ⲥ̅, ⲑ̅ⲥ̅). Allographic variations and scribal idiosyncrasies preserved as witnessed.</desc>
                </handNote>
              </handDesc>
            </objectDesc>
          </physDesc>
          <history>
            <origin>
              <origPlace>Egypt</origPlace>
              <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
            </origin>
          </history>
        </msDesc>
      </sourceDesc>
    </fileDesc>
  </teiHeader>
</TEI>
```",65,82,60,65,True,"Looking at the candidate answer against the ground truth:

**Schema validity issues:**
- `<columns>1</columns>` is not a standard TEI element; should be `columns=""1""` attribute on `<layout>`
- `<title type=""transliterated"">` is not a standard TEI type value
- `<handDesc>` is nested inside `<objectDesc>` rather than as a sibling (different from ground truth structure)
- Uses `<supportDesc>` + `<layout>` instead of `<layoutDesc>` + `<layout columns=""1"">`

**Metadata accuracy issues:**
- Publisher is wrong: ""Biblioteca Apostolica Vaticana"" vs ground truth ""St. Francis Xavier University""
- Missing `<author>` element for the work
- Uses `<altIdentifier>` for the manuscript name instead of `<msName xml:lang=""grc"">` inside `<msIdentifier>`

**Completeness:**
- All required metadata items are present (repository, settlement, idno, dimensions, layout, script, origin, dates, contents)

**Hallucinated/invented content:**
- `<respStmt>` with ""Strict Philologist"" - invented
- `<note>` about parabiblical corpus - invented content
- Detailed handNote description with specific character forms goes beyond the evidence
- `<pubPlace>` element not in ground truth

**Correct elements:**
- Repository, settlement, country, idno all correct
- Dimensions 295 x 179 mm correct
- 1 column layout correct
- Origin Egypt with correct dates
- Language grc correct
- Contents (Vitae Prophetarum - Isaiah) correct

```markdown
65
```","The candidate provides a very complete and well-structured TEI encoding, including the requested `teiHeader` elements with appropriate metadata.

However, looking closely at the TEI P5 schema validity:
1. In `physDesc`, the candidate placed `<handDesc>` inside `<objectDesc>`:
   ```xml
   <physDesc>
     <objectDesc form=""codex"">
       <supportDesc>...</supportDesc>
       <handDesc>...</handDesc>
     </objectDesc>
   </physDesc>
   ```
   In TEI P5, `<handDesc>` is a sibling of `<objectDesc>`, NOT a child of `<objectDesc>`. The content model of `<objectDesc>` is `(supportDesc?, layoutDesc?)`. Nesting `<handDesc>` inside `<objectDesc>` is an XML/TEI schema violation.
2. Inside `<supportDesc>`, the candidate placed `<layout><columns>1</columns></layout>`:
   In TEI P5, `<layoutDesc>` is a sibling of `<supportDesc>` within `<objectDesc>`, not inside `<supportDesc>`, and `<columns>` is an attribute of `<layout columns=""1"">`, not an element `<columns>`.
3. In `msIdentifier`, the candidate used `<altIdentifier type=""commonName""><idno>Codex Marchalianus</idno></altIdentifier>` instead of `<msName>`, though `msName` is standard.

Because schema validity is a primary dimension and the nesting inside `physDesc` has notable schema errors (invalid elements `<columns>` and illegal child `<handDesc>` inside `objectDesc`), points must be deducted.

Score: 82/100.

```cite
```
```82```","```xml
60
```",,,,0.0087198,0.0028215,0.0009303
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,deepseek/deepseek-v3.2,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,deepseek/deepseek-v3.2,ok,False,0.000123872,3.12,"**Critical Apparatus**

1. [ille enim] *Hic enim* **V** ; (substitution: pronominal form)  
2. [hic genere nobilis ortus in Hierusalem] *Hic autem genere nobili ortus est Hierusalem* **V** ; (substitution: *hic* > *Hic* [orth.]; *enim* > *autem*; *nobilis* > *nobili*; addition: *est*; omission: *in*)  
3. [atrocique supplicio excruciatum extincxit] *atroque supplicio excruciatum extinxit* **V** ; (substitution: *atrocique* > *atroque*; orthographic: *extincxit* > *extinxit*)",65,88,30,65,True,"```markdown
65
```","```markdown
88
```","```score
30
```",,,,0.00313125,0.0016425,0.000873656
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,deepseek/deepseek-v3.2,ok,False,0.000108752,2.65,"The Hebrews, moreover, relate that Isaiah was slain for two reasons: first, because he called them ""rulers of Sodom"" and ""people of Gomorrah""; second, because, while the Lord testified to Moses, ""You cannot see my face,"" this man dared to exclaim, ""I saw the Lord sitting upon a high throne...""—the Jews, blinded in mind, not considering that in what follows he had narrated that the Seraphim covered the face and feet of God, and writes that he saw only his middle parts. He lies beneath the oak of Rogel, near the flowing waters.",92,98,N/A,95,False,```\n92\n```,"```
98
```",,,,not_needed,0.00316875,0.0006495,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,deepseek/deepseek-v3.2,ok,False,0.000203252,5.44,"(1) **Expanded normalized Latin text:**  
Iuxta imperium domini nudo corpore, nudoque vestigio in conventu populi conversatus est.

(2) **Grammatical parse:**  
- **imp̃ium** = *imperium* – neuter noun, accusative singular.  
- **dn̄i** = *domini* – masculine noun, genitive singular.  
- **ppl̄i** = *populi* – masculine noun, genitive singular.  
- **conuerſatuſ ē** = *conversatus est* – deponent verb, perfect indicative active, 3rd person singular (from *conversor*).

(3) **TEI P5 XML encoding:**  
```xml
<choice>
    <abbr>iuxta imp̃ium dn̄i nudo corpore. nudoq: ueſtigio in conuentu ppl̄i conuerſatuſ ē.</abbr>
    <expan>iuxta <choice><abbr>imp̃ium</abbr><expan>imperium</expan></choice> <choice><abbr>dn̄i</abbr><expan>domini</expan></choice> nudo corpore, <choice><abbr>nudoq:</abbr><expan>nudoque</expan></choice> ueſtigio in conuentu <choice><abbr>ppl̄i</abbr><expan>populi</expan></choice> <choice><abbr>conuerſatuſ ē</abbr><expan>conversatus est</expan></choice>.</expan>
</choice>
```",60,90,68,68,True,"```markdown
60
```",```90```,"```markdown
68
```",,,,0.00315795,0.000774,0.000430276
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,deepseek/deepseek-v3.2,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
