benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,deepseek/deepseek-v4-flash,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,deepseek/deepseek-v4-flash,ok,False,0.0001246,3.75,"**Collation of Codex Marchalianus (M) against Schermann (S) in *Lives of the Prophets***  

**Locus 1**  
Base S: ἔχει δὲ εἴσοδον ἀπὸ Γαβαών  
M: ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών  
**Apparatus:**  
ἔχει δὲ] ἥτις ἔχει M (substitution of conjunction and addition of relative pronoun)  

**Locus 2**  
Base S: ἠρώτων γὰρ οἱ πολέμιοι  
M: ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν  
**Apparatus:**  
ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M (addition of indirect question)  

**Locus 3**  
Base S: καὶ ἐδόθη αὐτοῖς χρησμὸς  
M: ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς  
**Apparatus:**  
καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M (substitution of conjunction, transposition of verb and subject, addition of καί)",65,92,60,65,True,"```markdown
65
```","```json
92
```","```markdown
60
```",,,,0.003723,0.00170625,0.000453656
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.00018102,5.44,"καὶ ὁ θεὸς τὸ σημεῖον τοῦ Σιλωὰμ διὰ τὸν προφήτην ἐποίησεν· ὅτι πρὸ τοῦ θανεῖν ὀλιγωρήσας ηὔξατο πιεῖν ὕδωρ καὶ εὐθέως ἀπεστάλη αὐτῷ ἐξ αὐτοῦ· διὰ τοῦτο ἐκλήθη Σιλωάμ, ὃ ἑρμηνεύεται ἀπεσταλμένος... ἐὰν οὖν οἱ Ἰουδαῖοι ἤρχοντο, ἐξήρχετο ὕδωρ· ἐὰν δὲ ἀλλόφυλοι, οὔ· διὸ ἕως σήμερον αἰφνιδίως ἐξέρχεται, ἵνα δειχθῇ τὸ μυστήριον.

**Translation:**

""And God performed the sign of Siloam on account of the prophet; because, having grown faint before his death, he prayed to drink water, and immediately water was sent to him from it. For this reason it was called Siloam, which is interpreted 'sent forth'... Therefore, if the Jews came, water would come forth; but if foreigners, it would not. Wherefore even until today it comes forth suddenly, in order that the mystery might be shown.""

**Critical Notes:**

- **ὀλιγωρήσας** is rendered as ""having grown faint"" (lit. ""having become negligent/weak""), preserving the scribal sense of physical collapse rather than moral negligence.
- **ἀπεστάλη αὐτῷ ἐξ αὐτοῦ** is translated ""was sent to him from it"" (i.e., from the spring), maintaining the ambiguous pronoun referent.
- **ἀλλόφυλοι** is translated ""foreigners"" (lit. ""those of another tribe""), a Septuagintal term for non-Jews, here retained without normalization to ""Gentiles.""
- The lacuna after **ἀπεσταλμένος** is marked by an ellipsis, as the text breaks off; no conjectural restoration is supplied.
- **ἕως σήμερον** is rendered ""even until today,"" preserving the temporal immediacy of the manuscript's claim.",87,98,100,98,True,```\n87\n```,"```
98
```","```100
```",,,,0.0036978,0.00080325,0.00037002
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.00028644,7.74,"Here is the annotation for the given Greek sentence from Codex Marchalianus p. 11.

**Regularized Greek text:**
Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

**Morphosyntactic parse:**

| Word | Lemma | POS | Morphology |
|------|-------|-----|------------|
| Ἠσαΐας | Ἠσαΐας | noun (proper) | nom.sg.masc |
| ἀπὸ | ἀπό | preposition | (governs genitive) |
| Ἱερουσαλὴμ | Ἱερουσαλήμ | noun (proper, indecl.) | gen.sg.fem |
| θνῄσκει | θνῄσκω | verb | pres.act.ind.3sg |
| ὑπὸ | ὑπό | preposition | (governs genitive) |
| Μανασσῆ | Μανασσῆς | noun (proper) | gen.sg.masc |
| ἐν | ἐν | preposition | (governs dative) |
| πρίσει | πρίσις | noun | dat.sg.fem |
| εἰς | εἰς | preposition | (governs accusative) |
| δύο | δύο | numeral | acc.pl (indecl.) |
| · | — | punctuation | — |
| καὶ | καί | conjunction | — |
| ἐτέθη | τίθημι | verb | aor.pass.ind.3sg |
| ὑποκάτω | ὑποκάτω | adverb | — |
| δρυὸς | δρῦς | noun | gen.sg.fem |
| Ῥωγήλ | Ῥωγήλ | noun (proper, indecl.) | gen.sg.masc |

**TEI XML encoding:**

```xml
<w lemma=""Ἠσαΐας"" msd=""noun_proper_nom_sg_masc"">Ἠσαΐας</w>
<w lemma=""ἀπό"" msd=""prep"">ἀπὸ</w>
<w lemma=""Ἱερουσαλήμ"" msd=""noun_proper_gen_sg_fem"">Ἱερουσαλὴμ</w>
<w lemma=""θνῄσκω"" msd=""verb_pres_act_ind_3sg"">θνῄσκει</w>
<w lemma=""ὑπό"" msd=""prep"">ὑπὸ</w>
<w lemma=""Μανασσῆς"" msd=""noun_proper_gen_sg_masc"">Μανασσῆ</w>
<w lemma=""ἐν"" msd=""prep"">ἐν</w>
<w lemma=""πρίσις"" msd=""noun_dat_sg_fem"">πρίσει</w>
<w lemma=""εἰς"" msd=""prep"">εἰς</w>
<w lemma=""δύο"" msd=""numeral_acc_pl"">δύο</w>
<pc>·</pc>
<w lemma=""καί"" msd=""conj"">καὶ</w>
<w lemma=""τίθημι"" msd=""verb_aor_pass_ind_3sg"">ἐτέθη</w>
<w lemma=""ὑποκάτω"" msd=""adv"">ὑποκάτω</w>
<w lemma=""δρῦς"" msd=""noun_gen_sg_fem"">δρυὸς</w>
<w lemma=""Ῥωγήλ"" msd=""noun_proper_gen_sg_masc"">Ῥωγήλ</w>
```

**Note on scribal anomalies:** The text as given contains no obvious orthographic anomalies beyond the standard use of ν-movable (θνῄσκει) and the indeclinable forms (Ἱερουσαλὴμ, Ῥωγήλ). The spelling Ῥωγήλ (for Ῥωγήλ) is preserved as in the manuscript. No lacunae are present in this sentence.",60,95,60,60,True,"```markdown
60
```","```quote
95
```","```markdown
60
```",,,,0.0047736,0.001611,0.001169672
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.00016058,4.87,"```xml
<teiHeader>
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <p>Publication information not provided.</p>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
          <idno>Vat. gr. 2125</idno>
        </msIdentifier>
        <msContents>
          <msItem>
            <title type=""uniform"">Lives of the Prophets (Vitae Prophetarum)</title>
            <title type=""sub"">Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <support>
                <p>Codex, 1 column layout</p>
              </support>
            </supportDesc>
            <extent>
              <dimensions type=""leaf"" unit=""mm"">
                <height>295</height>
                <width>179</width>
              </dimensions>
            </extent>
          </objectDesc>
          <handDesc>
            <handNote script=""Greek Uncial / Majuscule"">
              <p>Lunate sigmas and Nomina Sacra</p>
            </handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>
```",62,85,45,62,True,"```markdown
62
```","```score
85
```","```xml
45
```",,,,0.003111,0.002199,0.00071946
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,deepseek/deepseek-v4-flash,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,deepseek/deepseek-v4-flash,ok,False,9.114e-05,2.32,"**Critical Apparatus for Isidore §37 (V = Vat. lat. 629 f. 3v; C = Chaparro Gómez 1985)**

1. **ille** *enim*] Hic *enim* V (substitution of *ille* with *Hic*)
2. **hic** *genere nobilis ortus in Hierusalem*] Hic *autem* genere nobili ortus est Hierusalem V (substitution of *hic* with *Hic*; addition of *autem*; substitution of *nobilis* with *nobili*; addition of *est*; omission of *in*)
3. **atrocique** *supplicio excruciatum extincxit*] atroque supplicio excruciatum extinxit V (orthographic: *atrocique* → *atroque*; orthographic: *extincxit* → *extinxit*)",75,92,40,75,True,"Looking at the candidate's apparatus against the ground truth:

**Variant 1:** Correctly identifies the substitution of *ille* → *Hic*. ✓

**Variant 2:** Correctly identifies the addition of *autem*, substitution of *nobilis* → *nobili*, addition of *est*, and omission of *in*. However, the candidate spuriously flags ""substitution of *hic* with *Hic*"" — this is merely capitalization, not a meaningful variant. ✗ (minor over-detection)

**Variant 3:** Correctly identifies both variants, but **misclassifies** *atrocique* → *atroque* as ""orthographic"" when the ground truth (correctly) classifies it as a **SUBSTITUTION** (loss of the enclitic *-ci-*). The *extincxit* → *extinxit* classification as orthographic is correct. ✗ (typology error)

**Summary:**
- Variant detection: All real variants found, but one spurious capitalization variant invented.
- Correct alignment: Lemmas properly aligned.
- Variant typology: One significant error (atrocique/atroque misclassified).
- Apparatus discipline: Well-formed, but the spurious capitalization variant and the typology error detract.

```markdown
75
```","```mand
92
```","```markdown
40
```",,,,0.00440025,0.0019545,0.001210216
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,7.546e-05,2.02,"**Scholarly English Translation**

The Hebrews, however, relate that Isaiah was killed for two reasons: one, because he called them ""rulers of Sodom"" and ""people of Gomorrah""; the other, because—when the Lord said to Moses, ""You cannot see my face""—this man dared to exclaim, ""I saw the Lord sitting upon a high throne…"" The Jews, blinded in mind, not considering that in the following verses he had reported that the Seraphim covered the face and feet of God, and that he writes that only the middle parts of Him were seen. He lies buried under the oak of Rogel, near the flow of waters.",90,95,N/A,92.5,False,```\n90\n```,"```
95
```",,,,not_needed,0.0033015,0.00167325,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.00014154,4.06,"(1) Expanded normalized Latin text:  
iuxta imperium domini nudo corpore nudoque vestigio in conventu populi conversatus est.

(2) Grammatical parse:  
- **imp̃ium** (imperium): accusative singular neuter of *imperium, -i* (command, authority).  
- **dn̄i** (domini): genitive singular masculine of *dominus, -i* (lord, master).  
- **ppl̄i** (populi): genitive singular masculine of *populus, -i* (people).  
- **conuerſatuſ ē** (conversatus est): perfect indicative active, 3rd person singular, deponent verb *conversor, -ari* (to live, behave, associate).  

(3) TEI P5 XML encoding:  
```xml
<w>iuxta</w>
<choice>
  <abbr>imp̃ium</abbr>
  <expan>imperium</expan>
</choice>
<choice>
  <abbr>dn̄i</abbr>
  <expan>domini</expan>
</choice>
<w>nudo</w>
<w>corpore</w>
<w>nudoq:</w>
<w>uestigio</w>
<w>in</w>
<w>conuentu</w>
<choice>
  <abbr>ppl̄i</abbr>
  <expan>populi</expan>
</choice>
<choice>
  <abbr>conuerſatuſ</abbr>
  <expan>conversatus</expan>
</choice>
<choice>
  <abbr>ē</abbr>
  <expan>est</expan>
</choice>
```",82,90,N/A,86,False,"```markdown
82
```","```matlab
90
```",,,,not_needed,0.0039672,0.000831,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,deepseek/deepseek-v4-flash,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
