benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,openai/gpt-5.6-terra,ok,False,0.006212,14.02,"I can transcribe only what is visually secure in the supplied crop; the lower incipit is partly obscured/faded, and several letters and marks are not sufficiently legible for a reliable exact diplomatic transcription.

**(1) Diplomatic (visible opening heading; lineation preserved)**

```text
ΟΝΟΜΑΤΑΠΡΟΦΗΤⲰΝ ΚΑΙΠΡΟΦΗΤΕΙΑΙ ΚΑΙΤΟΥ
ΑΠΕΘΑΝΟΝ ΚΑΙΠΩϹ ΚΑΙΠΟΥΚΕΙΝΤΑΙ
```

The first word appears to be written **ΟΝΟΜΑΤΑ**, not normalized to a later orthography. The final letter in **ΠΡΟΦΗΤⲰΝ** is a lunate/coptic-form omega-like character; I represent it as **Ⲱ**. No securely visible nomina sacra occur in these two heading lines.

**(2) Normalized critical transcription**

```text
Ὀνόματα προφητῶν καὶ προφητεῖαι, καὶ τοῦ
ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται.
```

The syntax of the second heading line is visually problematic in the crop: **ΚΑΙΤΟΥ / ΑΠΕΘΑΝΟΝ** is what can be read from the manuscript image, but its normalized interpretation is uncertain. I therefore do not emend it to an expected formulation without inspection of the full folio or an authoritative transcription.

For the two lower incipit lines, I cannot provide the requested exact diplomatic layer from this image alone: the first line begins with a large initial **Η** and appears to contain **... ΠΡΟΦ...**, while the second begins **ΕΙ...**, but the resolution/fading and interference from the overlying image prevent a defensible letter-for-letter transcription, including punctuation and any supralinear strokes.",12,42,10,12,True,"```text
12
```","```
42
```","```10
```",,,,0.0039774,0.00101175,0.00066234
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,openai/gpt-5.6-terra,ok,False,0.003012,4.44,"1. ἔχει δὲ εἴσοδον ἀπὸ Γαβαών] ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών M ; **substitution** (δέ replaced by ἥτις; the reading also omits δέ).

2. ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M ; **addition** (πόθεν πίνουσιν).

3. καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ; **transposition** (χρησμός moved before ἐδόθη αὐτοῖς), with **addition** (ὅτι).",95,95,N/A,95,False,"```markdown
95
```","```markdown
95
```",,,,not_needed,0.0037932,0.0006045,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,openai/gpt-5.6-terra,ok,False,0.002158,3.18,"“And God performed the sign of Siloam through the prophet: for, shortly before dying, having become faint, he prayed to drink water, and immediately water was sent to him from it. For this reason it was called Siloam, which is interpreted ‘sent’… Therefore, whenever the Jews came, water would flow out; but whenever foreigners came, it would not. Hence, even to this day it suddenly flows out, so that the mystery may be shown.”

The ellipsis in the cited Greek marks an omission or break in the excerpt; no content should be supplied there with certainty.",88,95,N/A,91.5,False,"```markdown
88
```","```
95
```",,,,not_needed,0.0084216,0.0005325,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,openai/gpt-5.6-terra,ok,False,0.011486,12.15,"Regularized Greek text (no normalization beyond supplied transcription):

Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

Morphosyntactic parse:

| Form | Lemma | POS | Morphosyntax |
|---|---|---|---|
| Ἠσαΐας | Ἠσαΐας | proper noun | nominative singular masculine |
| ἀπὸ | ἀπό | preposition | governs genitive |
| Ἱερουσαλὴμ | Ἱερουσαλήμ | proper noun | indeclinable; genitive function after ἀπό |
| θνῄσκει | θνῄσκω | verb | present active indicative, 3rd singular |
| ὑπὸ | ὑπό | preposition | governs genitive; agent |
| Μανασσῆ | Μανασσῆς | proper noun | genitive singular masculine |
| ἐν | ἐν | preposition | governs dative |
| πρίσει | πρίσις | noun | dative singular feminine |
| εἰς | εἰς | preposition | governs accusative |
| δύο | δύο | numeral | accusative plural; neuter/form invariant |
| καὶ | καί | conjunction | coordinating conjunction |
| ἐτέθη | τίθημι | verb | aorist passive indicative, 3rd singular |
| ὑποκάτω | ὑποκάτω | preposition/adverb | preposition governing genitive |
| δρυὸς | δρῦς | noun | genitive singular feminine |
| Ῥωγήλ | Ῥωγήλ | proper noun | indeclinable; genitive/appositional function with δρυός |

```xml
<TEI xmlns=""http://www.tei-c.org/ns/1.0"">
  <text>
    <body>
      <p>
        <w lemma=""Ἠσαΐας"" msd=""PROPN;nom;sg;masc"">Ἠσαΐας</w>
        <w lemma=""ἀπό"" msd=""PREP;gen"">ἀπὸ</w>
        <w lemma=""Ἱερουσαλήμ"" msd=""PROPN;indecl;gen-function"">Ἱερουσαλὴμ</w>
        <w lemma=""θνῄσκω"" msd=""V;pres;act;ind;3;sg"">θνῄσκει</w>
        <w lemma=""ὑπό"" msd=""PREP;gen;agent"">ὑπὸ</w>
        <w lemma=""Μανασσῆς"" msd=""PROPN;gen;sg;masc"">Μανασσῆ</w>
        <w lemma=""ἐν"" msd=""PREP;dat"">ἐν</w>
        <w lemma=""πρίσις"" msd=""N;dat;sg;fem"">πρίσει</w>
        <w lemma=""εἰς"" msd=""PREP;acc"">εἰς</w>
        <w lemma=""δύο"" msd=""NUM;acc;pl;neut"">δύο</w>
        <pc>·</pc>
        <w lemma=""καί"" msd=""CONJ;coord"">καὶ</w>
        <w lemma=""τίθημι"" msd=""V;aor;pass;ind;3;sg"">ἐτέθη</w>
        <w lemma=""ὑποκάτω"" msd=""PREP;gen"">ὑποκάτω</w>
        <w lemma=""δρῦς"" msd=""N;gen;sg;fem"">δρυὸς</w>
        <w lemma=""Ῥωγήλ"" msd=""PROPN;indecl;gen-function"">Ῥωγήλ</w>
        <pc>.</pc>
      </p>
    </body>
  </text>
</TEI>
```",88,100,100,100,True,"```markdown
88
```","```markdown
100
```","```markdown
100
```",,,,0.0048078,0.00158925,0.000694092
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,openai/gpt-5.6-terra,ok,False,0.006694,6.05,"```xml
<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <publisher>Biblioteca Apostolica Vaticana</publisher>
      <pubPlace>
        <settlement>Vatican City</settlement>
        <country>Vatican</country>
      </pubPlace>
      <availability>
        <p>Manuscript held by the Biblioteca Apostolica Vaticana.</p>
      </availability>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
          <idno>Vat. gr. 2125</idno>
          <msName>Codex Marchalianus</msName>
        </msIdentifier>
        <msContents>
          <msItem xml:lang=""grc"">
            <title type=""uniform"">Vitae Prophetarum</title>
            <title>Lives of the Prophets</title>
            <rubric>Isaiah</rubric>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <extent>
                <dimensions unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1""/>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote script=""Grek"">
              Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra.
            </handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>
```",60,100,65,65,True,"```markdown
60
```","```matlab
100
```","```markdown
65
```",,,,0.0033174,0.0023145,0.0006069
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,openai/gpt-5.6-terra,ok,False,0.005012,8.89,"**(1) Diplomatic transcription**  
(lineation as visible; final word of last line cut by image)

```text
Eſaias filius amos. non illius
p̄phe. ſed alterius qui ſimile nuncupat̄ ē. no
mine. ſile enim ex numero paſtoꝝ fuit. de oppido
thecue. hic autē genere nobili ortus ē. iert̄m.
Q̃d̄ eā hebrei aiunt ſocrū fuiſſe manasſe. In quo
tanta fuit ſcientia. et uite excellentia. ut unam.
tantū diceret habuiſſe tunicā albicā. Quamq̃
```

**(2) Normalized critical transcription**

```text
Esaias filius Amos, non illius prophetae, sed alterius qui simile nuncupatus est
nomine. Sile enim ex numero pastorum fuit, de oppido Thecue. Hic autem genere
nobili ortus est, Ierusalem. Quem etiam Hebraei aiunt socrum fuisse Manasse.
In quo tanta fuit scientia et vitae excellentia, ut unam tantum diceret habuisse
tunicam albicam. Quamquam …
```

The last word/continuation after *Quamq̃* is not visible in the supplied crop; no restoration is supplied.",40,82,30,40,True,"Looking at this transcription task, I need to carefully compare the candidate's diplomatic and normalized layers against the ground truth.

**Critical Errors Identified:**

1. **""ſile"" vs ""Ille"" (line 3)**: The candidate reads ""ſile enim"" where the ground truth clearly states the scribe wrote ""Ille enim."" The rubric notes explicitly confirm: ""The manuscript scribe wrote 'Ille enim' in line 3."" This is a fundamental misreading.

2. **""albicā"" vs ""cilicinā"" (line 7)**: The candidate has ""tunicā albicā"" (white tunic) where the ground truth has ""tunicā cilicinā"" (haircloth tunic). These are entirely different words.

3. **""iert̄m"" vs ""ierl̄m"" (line 4)**: The candidate misreads the abbreviation, producing ""Ierusalem"" instead of ""Hierusalem"" in the normalized layer.

4. **""Q̃d̄"" vs ""Quē"" (line 5)**: The candidate misreads ""Quem"" as ""Quod"" in the diplomatic layer.

5. **""eā"" vs ""etiā"" (line 5)**: The candidate omits the ""ti"" in ""etiam.""

6. **""nobili"" not expanded in normalized layer**: The ground truth shows ""nobili (nobilis)"" indicating the normalized form should be ""nobilis,"" but the candidate leaves it as ""nobili.""

**Positive Elements:**
- Correctly notes the cut-off text at the end (epigraphic restraint)
- Provides both layers as requested
- Preserves some scribal features (long-s, macrons, abbreviations)
- Handles most abbreviations correctly

**Scoring Assessment:**
The misreadings of ""Sile/Ille"" and ""albicam/cilicinam"" are particularly severe as they change the meaning of the text. The abbreviation misreadings (iert̄m/ierl̄m, Q̃d̄/Quē, eā/etiā) compound the errors. While the candidate shows some diplomatic awareness, the multiple character-level errors significantly undermine the transcription's reliability.

```json
40
```","```markdown
82
```","```markdown
30
```",,,,0.023691,0.000951,0.00107898
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,openai/gpt-5.6-terra,ok,False,0.0017,3.52,"§37

1. [ille] Hic V ; substitution  
2. [hic] Hic autem V ; substitution + addition  
3. [nobilis] nobili V ; substitution  
4. [ortus in] ortus est V ; substitution + addition  
5. [in Hierusalem] Hierusalem V ; omission  
6. [atrocique] atroque V ; substitution  
7. [extincxit] extinxit V ; orthographic variation",88,82,N/A,85,False,"Looking at the candidate's apparatus against the ground truth:

**Variant detection:** All real variants are identified. The candidate broke the three base variants into 7 more granular entries, but no variants are missed or invented. ✓

**Correct alignment:** All lemma/reading pairings are correctly aligned:
- [ille] Hic ✓
- [hic] Hic autem ✓
- [nobilis] nobili ✓
- [ortus in] ortus est ✓
- [in Hierusalem] Hierusalem ✓
- [atrocique] atroque ✓
- [extincxit] extinxit ✓

**Variant typology:** Mostly correct:
- Entry 1: substitution ✓
- Entry 2: ""substitution + addition"" — the ""substitution"" label is slightly off since Hic/hic is essentially the same word (capitalization), but the addition of *autem* is correctly identified ✓
- Entry 3: substitution (nobili for nobilis) ✓
- Entry 4: ""substitution + addition"" for *est* — reasonable treatment ✓
- Entry 5: omission of *in* ✓
- Entry 6: substitution ✓
- Entry 7: orthographic ✓

**Apparatus discipline:** Well-formed with proper lemma/readings/siglum structure. The fragmentation into 7 entries rather than 3 is unconventional but not incorrect — it actually provides more granular information. No editorializing beyond evidence.

The apparatus is thorough and accurate, with only minor classification quibbles (e.g., the ""substitution"" label on entry 2 is slightly imprecise).

```markdown
88
```",```82```,,,,not_needed,0.00407625,0.00179775,0.0
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,openai/gpt-5.6-terra,ok,False,0.002112,3.77,"The Hebrews relate, however, that Isaiah was put to death for two reasons: first, because he had called them “rulers of Sodom and people of Gomorrah”; secondly, because, although the Lord had testified to Moses, “You cannot see my face,” he had dared to cry out, “I saw the Lord sitting upon a lofty throne …” The Jews, blinded in mind, did not reckon that in what follows he had narrated that the Seraphim covered the face and feet of God, and that he writes that he saw only his middle part. He lies beneath the oak of Rogel, beside the courses of waters.",92,98,N/A,95,False,"```92
```","```
98
```",,,,not_needed,0.00270825,0.001542,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,openai/gpt-5.6-terra,ok,False,0.006088,7.45,"1. **Expanded normalized Latin text**

*iuxta imperium domini nudo corpore, nudoque vestigio in conventu populi conversatus est.*

2. **Grammatical parse**

- **imp̃ium** → *imperium*  
  - noun, neuter, singular, accusative  
  - second declension  
  - object of *iuxta* (“according to / beside the command”).

- **dn̄i** → *domini*  
  - noun, masculine, singular, genitive  
  - second declension  
  - dependent genitive with *imperium*: “the command of the Lord.”

- **ppl̄i** → *populi*  
  - noun, masculine, singular, genitive  
  - second declension  
  - dependent genitive with *conventu*: “in the assembly of the people.”

- **conuerſatuſ ē** → *conversatus est*  
  - *conversatus*: perfect passive participle, masculine, singular, nominative, of deponent *conversor, conversari* (“to associate, conduct oneself, live”).  
  - *est*: third-person singular, present indicative of *sum, esse*; with the participle forms the perfect deponent: “he associated / conducted himself.”

3. **TEI P5 XML**

```xml
<p>
  iuxta
  <choice>
    <abbr>imp̃ium</abbr>
    <expan>imperium</expan>
  </choice>
  <choice>
    <abbr>dn̄i</abbr>
    <expan>domini</expan>
  </choice>
  nudo corpore. nudoq:
  <choice>
    <abbr>ueſtigio</abbr>
    <expan>vestigio</expan>
  </choice>
  in conuentu
  <choice>
    <abbr>ppl̄i</abbr>
    <expan>populi</expan>
  </choice>
  conuerſatuſ
  <choice>
    <abbr>ē</abbr>
    <expan>est</expan>
  </choice>.
</p>
```",78,92,75,78,True,"```markdown
78
```","```markdown
92
```","```markdown
75
```",,,,0.00448845,0.00089475,0.000685496
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,openai/gpt-5.6-terra,ok,False,0.003092,5.16,"The fragment is substantially abraded and several strokes are too indistinct for a secure diplomatic letter-by-letter transcription. I can distinguish four approximate ink-bearing lines, but cannot responsibly identify most traces as certain square-script characters from this photograph alone:

```text
1. [...] א֯ר֯ [...] 
2. [...] ל֯מ֯ו֯ [...] א֯ר֯ [...]
3. [...] א֯ר֯ [...] 
4. [...] ו֯ [...] 
```

These readings are highly provisional: the photograph shows extensive surface damage, and the line divisions and individual letterforms—especially in the central and lower portions—are not sufficiently clear for a strict ink-only transcription.",5,20,15,15,True,"```text
5
```","```
20
```","``` 
15 
```",,,,0.0015816,0.0008205,0.000336028
