benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,xiaomi/mimo-v2.6-flash,ok,False,0.0008267,19.08,"## 1. DIPLOMATIC TRANSCRIPTION (as written, majuscule, line-by-line)

**Titulus (title heading), 2 lines:**

```
ΟΝΟΜΑΤΑ ΠΡΟΦΗΤΩΝ ΚΑΙ ΠΟΘΕΝ ΕΙCΙ ΚΑΙ ΠΟΥ
ΑΠΕΘΑΝΟΝ ΚΑΙ ΠΩC ΚΑΙ ΠΟΥ ΚΕΙΝΤΑΙ · ⸖ ⸖ ⁓
```

**Incipit (Lives of the Prophets, Isaiah), 2 lines:**

```
ΗΣΑΪΑΣΑΠΟΙΕΡΟΥΣΑΛΗΜΗΝΚΑΙΥΙΟΣΑΜΩC
ΕΝΤΡΙΣΘΕΙCΕΙCΔΥΟ· ΚΑΙΕΤΕΘΗΥΠΟΚΑΤΩ
```

Notes on the diplomatic layer:
- Lunate sigmas (Ϲ/C) are preserved throughout (ΕΙCΙ, ΠΩC, ΑΜΩC, ΤΡΙCΘΕΙC, ΕΙC); the omega is written in uncial Ω form.
- Line 1–2 (title) show **actual word division** in the hand; line 3–4 (incipit) are **scriptio continua**.
- After ΚΕΙΝΤΑΙ the scribe sets a punctuation group of dots/ornament marks; after ΔΥΟ a single raised middle dot (·) functions as a stop.
- **No Nomina Sacra abbreviation with overline is visible in these four lines**; ΙΕΡΟΥΣΑΛΗΜ, ΑΜΩΣ, ΥΠΟ ΚΑΤΩ etc. are written out in full (no overline). I do not invent any.
- ⸖ ⸖ ⁓ represent ornamental/filigree marginal marks flanking the title block, not letters.
- The extreme right edge shows a marginal/cross-like ornament and a fragment of a word (partly rubbed away) — **lacuna/abrasion; not transcribed as certain text.**
- A further line begins to appear at the very bottom edge of the image — **lacuna (cut off); not transcribed.**

---

## 2. NORMALIZED CRITICAL LAYER

```
1  ὀνόματα προφητῶν καὶ πόθεν εἰσὶ καὶ ποῦ
2  ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται ·⸖⸖
3  Ἠσαΐας ἀπὸ Ἱερουσαλὴμ ἦν καὶ υἱὸς Ἀμώς
4  ἐντρισθεὶς εἰς δύο· και ἐτέθη ὑποκάτω
```

Editorial remarks (explicitly flagged as uncertain, not restorations):
- **εἰσὶ** (l. 1): the manuscript clearly reads ΕΙCΙ (not ΕΙCΙΝ); the final -ν is absent in the visible line — retained as read, not supplied.
- **τρισθείς / ἐντρισθείς** (l. 4): letters read as ΕΝΤΡΙΣΘΕΙΣ; if a compound ἐκ + τρισθείς or a divided reading is intended, this is **conjectural** and I do not restore it. The initial ΕΝ- is what is written.
- **ὑποκάτω** (l. 4): read ΥΠΟΚΑΤΩ; I have not split it into ὑπὸ κάτω as certain, since the incipit is scriptio continua.
- Breathing/accent assignment in lines 3–4 is editorial (the manuscript bears no breathings/accents in these lines); the diaeresis on Ϊ in ΗΣΑΪΑΣ **is** present in the hand and is therefore retained.
- **Bottom of line 4 and any following line: lacuna (image cut); no conjectural continuation offered.**",15,72,10,15,True,"Looking at this carefully, I need to compare the candidate's diplomatic transcription against the ground truth line by line.

**Line 1:** Ground truth: `ΟΝΟΜΑΤΑΠΡΟΦΗΤⲰΝΚΑΙΠΟΘΕΝΕΙϹΙΚΑΙΠΟΥ`
Candidate: `ΟΝΟΜΑΤΑ ΠΡΟΦΗΤΩΝ ΚΑΙ ΠΟΘΕΝ ΕΙCΙ ΚΑΙ ΠΟΥ`
- Uses Latin C instead of Greek lunate sigma Ϲ (normalization issue)
- Uses Ω instead of Ⲱ (acceptable per rubric)
- Word spacing acceptable per rubric

**Line 2:** Ground truth: `ΑΠΕΘΑΝΟΝΚΑΙΠⲰϹΚΑΙΠΟΥΚΕΙΝΤΑΙ:⸖⸖⁓`
Candidate: `ΑΠΕΘΑΝΟΝ ΚΑΙ ΠΩC ΚΑΙ ΠΟΥ ΚΕΙΝΤΑΙ · ⸖ ⸖ ⁓`
- Uses · instead of : before the ornamental marks (punctuation error)
- Same C vs Ϲ issue

**Line 3:** Ground truth: `ΗϹΑΪΑϹΑΠΟΙΕΡΟΥϹΑΛΗΜΘΝΗϹΚΕΙΫΠΟΜΑΝΑϹ` (= ""Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ"")
Candidate: `ΗΣΑΪΑΣΑΠΟΙΕΡΟΥΣΑΛΗΜΗΝΚΑΙΥΙΟΣΑΜΩC` (= ""Ἠσαΐας ἀπὸ Ἱερουσαλὴμ ἦν καὶ υἱὸς Ἀμώς"")
- **CATASTROPHIC ERROR**: Completely different text. The candidate reads ""ἦν καὶ υἱὸς Ἀμώς"" where the manuscript reads ""θνῄσκει ὑπὸ Μανασσῆ""

**Line 4:** Ground truth: `ϹΗΠΡΙϹΘΕΙϹΕΙϹΔΥΟ·ΚΑΙΕΤΕΘΗΫΠΟΚΑΤⲰ` (= ""...πρισθεὶς εἰς δύο..."")
Candidate: `ΕΝΤΡΙΣΘΕΙCΕΙCΔΥΟ· ΚΑΙΕΤΕΘΗΥΠΟΚΑΤΩ` (= ""...ἐντρισθεὶς εἰς δύο..."")
- **CATASTROPHIC ERROR**: Different text continuing from the wrong line 3

The normalized layer also reflects these fundamental misreadings. The candidate has hallucinated an entirely different incipit text for the Isaiah section. While the title lines (1-2) are mostly recoverable, the incipit lines (3-4) — which constitute half the transcription and the primary content — are completely wrong. This represents a fundamental failure of diplomatic fidelity.

```15
```","```
72
```",```10```,,,,0.0102702,0.00134925,0.000802794
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,xiaomi/mimo-v2.6-flash,ok,False,0.00113806,35.76,"# COLLATION: M (Codex Marchalianus, Vat. gr. 2125, p. 11) vs. S (Schermann 1907)

## Praefatio ad apparatum / Method note

- **Sigla:** `S` = base text of Schermann 1907 (lectio lemma); `M` = Codex Marchalianus, Vat. gr. 11 [= p. 11 as cited], as transcribed.
- **Lemma** = the S reading at the point of divergence; **reading** = M's reading; each entry closed with siglum and semicolon.
- **Orthography:** no spelling variation occurs at any of the three loci. All forms are reported exactly as transmitted (ἥτις, ἀπὸ Γαβαών, ἠρώτων, πίνουσιν, χρησμός). Nothing is normalized, no itacism or crasis has been regularized, no punctuation supplied.
- **Lacunae:** **no lacuna, break, or illegibility is reported at any of these three loci in either witness.** No reading below is conjecturally restored; all are transmitted readings.

---

## APPARATVS CRITICVS

**1.** [ἔχει δὲ εἴσοδον] ἥτις ἔχει εἴσοδον M ;
*analytice:* [ἔχει δὲ] ἥτις ἔχει M ; [δὲ] om. M ;

**2.** [οἱ πολέμιοι] οἱ πολέμιοι πόθεν πίνουσιν M ;

**3.** [καὶ ἐδόθη αὐτοῖς χρησμός] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ;
*analytice:* [καὶ ἐδόθη] ὅτι καὶ χρησμὸς ἐδόθη M ; χρησμὸς post αὐτοῖς ante ἐδόθη M ;

---

## CLASSIFICATION / DIAGNOSIS

| Locus | S (lemma) | M | Classification | Remarks |
|---|---|---|---|---|
| **1** | ἔχει **δὲ** εἴσοδον ἀπὸ Γαβαών | **ἥτις** ἔχει εἴσοδον ἀπὸ Γαβαών | **Compound: addition (ἥτις) + omission (δὲ)**; taken as a whole, a substitution of the clause-linkage | ἥτις = additio ante ἔχει; δὲ = omissio. Net effect: paratactic connective δὲ replaced by a resumptive relative pronoun (proleptic/epexegetical relaunch of the subject). The **antecedent of ἥτις is not determinable from the collated locus**, since no preceding context of M was supplied; it must not be reconstructed here. |
| **2** | ἠρώτων γὰρ οἱ πολέμιοι | ἠρώτων γὰρ οἱ πολέμιοι **πόθεν πίνουσιν** | **Addition (additio in fine enuntiati)** | Pure addition; the S text is not abridged — M = S + πόθεν πίνουσιν. Whether this is anticipatory duplication (*attractio subsequentis*) of a question standing later in M's own text **cannot be confirmed without the immediately following context**, which was not transmitted with this task; the locus as received is simply an addition. |
| **3** | καὶ ἐδόθη αὐτοῖς χρησμός | **ὅτι** καὶ **χρησμὸς** ἐδόθη αὐτοῖς | **Compound: addition (ὅτι) + transposition (χρησμός)** | ὅτι = additio in capite; χρησμός moved from its position after αὐτοῖς (post-verbal, final) to a preverbal position after καί = transpositio. No word is lost. Pragmatic consequence: the additive-coordinated clause of S is subordinated by ὅτι, with χρησμός promoted to preverbal focus. The text of S is not defective here; nothing is to be supplied. |

---

## EDITORIAL PRONOUNCEMENT

- Locus 1: *disiunctio structurae* — report both halves in the apparatus analytically, but print as a single compound variant line (as above), since ἥτις and the loss of δέ are not independent.
- Locus 2: uncontested addition by M alone.
- Locus 3: not a mere addition; the transposition must be registered separately from the conjunctive addition, and should not be collapsed into ""M = S reordered.""

**Singular reading:** in all three cases M is the **only** witness cited; no *omn. cons.* siglum may be assigned, and no emendation of S toward M is warranted on the basis of this collation alone.

---

## FINAL ANSWER (apparatus, as printed)

**1.** [ἔχει δὲ εἴσοδον] ἥτις ἔχει εἴσοδον M ; — *additio (ἥτις) + omissio (δὲ)*
**2.** [οἱ πολέμιοι] οἱ πολέμιοι πόθεν πίνουσιν M ; — *additio*
**3.** [καὶ ἐδόθη αὐτοῖς χρησμός] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ; — *additio (ὅτι) + transpositio (χρησμός)*

No lacuna is attested at any locus; no restoration has been proposed or implied.",82,100,90,90,True,"```markdown
82
```","```markdown
100
```","```90
```",,,,0.0044022,0.00138375,0.000936392
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,xiaomi/mimo-v2.6-flash,ok,False,0.0013623792,34.08,"# Translation

**As transmitted (Codex Marchalianus, p. 11):**

> ""And God performed the sign of Siloam on account of the prophet; because, having been slighted before his death, he prayed to drink water, and immediately water was sent to him from it. For this reason it was called Siloam, which is interpreted 'the Sent One'. […] If, then, Jews came, water used to flow out; but if [men of] another race, not so. Wherefore even unto this day it flows out suddenly, in order that the mystery might be made manifest.""

---

# Philological notes

**1. On the break in the text.** The transcription contains an explicit ellipsis after `ἀπεσταλμένος`. I cannot determine from the form of the citation whether this marks (a) an actual lacuna or damage in the codex, (b) an omission by the modern editor who excerpted the passage, or (c) a self-standing syntactic pause in the original. I therefore supply nothing in its place: the second half of the passage stands in the transmitted text without a connective, and I do not conjecture one.

**2. `τὸ σημεῖον τοῦ Σιλωάμ`** — the genitive is left formally unmarked in Greek: it may be subjective (""the sign belonging to Siloam""), objective, or epexegetic (""the sign consisting in [the spring of] Siloam""). I render it literally as ""the sign of Siloam"" without resolving it. Likewise `διὰ τὸν προφήτην` is ambiguous between causal (""because of the prophet"") and instrumental (""through the prophet, by means of the prophet""); the causal sense is favoured by what follows, but both are open.

**3. `ὅτι πρὸ τοῦ θανεῖν ὀλιγωρήσας`** — a crux. Two readings are possible and the transmitted Greek does not decide between them:
- *intransitive/reflexive:* ""having been slighted / having been neglected before dying"" (ὀλιγωρέω can be used absolutely with the sense 'to pay no heed');
- *transitive with an implied object:* ""having neglected [something] before dying"" — but no object is expressed in the transmitted text, and I do not supply one.
`πρὸ τοῦ θανεῖν` is a normal genitive articular infinitive with temporal force; its subject is left implicit. Note also that the subject of `ηὔξατο` (""he prayed"") is nowhere named — `τὸν προφήτην` is accusative, not nominative — and I leave the pronoun untranslated as ""he"" rather than assigning it to Isaiah, Hezekiel, or any other figure. No such identification exists in the text as transcribed.

**4. `ἀπεστάλη αὐτῷ ἐξ αὐτοῦ`** — passive with no expressed subject; the antecedent of `ὕδωρ` is carried over from `πιεῖν ὕδωρ` (""prayed to drink water, and immediately water was sent to him""). The genitive `ἐξ αὐτοῦ` is formally ambiguous: neuter (""from it"", i.e. from the spring/Siloam) or masculine (""from him"", i.e. from the prophet/God). I have translated the neuter, which is the more probable referent, but the ambiguity is present in the Greek.

**5. `ὃ ἑρμηνεύεται ἀπεσταλμένος`** — a deliberate agreement mismatch, not a scribal error to be ""corrected"": `ὃ` is neuter, agreeing with the indeclinable name `Σιλωάμ` treated as neuter, while `ἀπεσταλμένος` is a **masculine nominative** participle with an elided head-noun, i.e. (ὁ) ἀπεσταλμένος, ""the Sent One"". This construction is precisely that of John 9:7 (`Σιλωάμ (ὃ ἑρμηνεύεται ἀπεσταλμένος)`), which the passage is evidently glossing. I retain the masculine participle as ""the Sent One"" rather than the neuter ""Sent"", since the Greek participle is masculine.

**6. `ἐὰν οὖν οἱ Ἰουδαῖοι ἤρχοντο, ἐξήρχετο ὕδωρ`** — note the imperfect `ἤρχοντο` in the protasis governed by `ἐάν`, together with the imperfect `ἐξήρχετο` in the apodosis. This is not classical conditional syntax; the imperfects here carry iterative/habitual force (""whenever Jews came, water used to flow out""), a construction attested in later Greek. I have rendered the iterative aspect explicitly and have not normalised the tenses.

**7. `ἀλλόφυλοι`** — literally ""of another tribe/race"". The word does not necessarily denote Philistines specifically here; I translate ""men of another race"" and leave the Greek in the parenthesis rather than importing ""Philistines"", which the text itself does not say.

**8. `ἕως σήμερον αἰφνιδίως ἐξέρχεται`** — `ἕως σήμερον` (sc. `ἡμέρας`) is the well-worn formula ""even unto this day""; the present tense `ἐξέρχεται` stands in the speaker's/author's own time. The adverb `αἰφνιδίως` (""suddenly, unexpectedly"") is retained literally; I have not softened it to a more idiomatic English.

**9. `ἵνα δειχθῇ τὸ μυστήριον`** — a final clause with the aorist passive subjunctive `δειχθῇ` (""in order that the mystery be shown/revealed""). I have not converted it into a result clause (""so that the mystery was shown""), since the conjunction `ἵνα` marks purpose in the transmitted text.

**10. Editorial policy.** All spellings and forms are reproduced as transcribed (e.g. `Σιλωὰμ`, `Σιλωάμ`, `Σιλωὰμ`/`Σιλωάμ` variation between mention and naming, `ἀπεστάλη`, `ἀπεσταλμένος`, `ἤρχοντο`); no spelling has been regularised, no particle added, no punctuation imposed beyond what the sense requires, and no conjectural supplement offered for the ellipsis.",65,88,90,88,True,"Looking at this translation, I need to evaluate it against the ground truth across the specified dimensions.

**Lexical accuracy:**
- The translation of ὀλιγωρήσας as ""having been slighted"" is a significant lexical error. In context (someone about to die who prays to drink water), the word means ""having grown faint/feeble"" — the ground truth's ""having grown faint"" is correct. ""Slighted"" implies being treated with disrespect, which is a different semantic field entirely.
- ""On account of the prophet"" vs. ""for the sake of the prophet"" — both acceptable.
- ""The Sent One"" vs. ""Sent"" — the candidate's rendering is actually more morphologically defensible given the masculine participle.

**Morphological correctness:**
- The candidate correctly identifies the masculine participle ἀπεσταλμένος and the neuter relative ὅ, providing a more nuanced rendering than the ground truth.
- Verb tenses and aspects are handled with appropriate care.

**Handling of uncertainty:**
- The ellipsis is handled well — the candidate does not hallucinate a restoration.
- Multiple ambiguities are flagged in the philological notes (genitive of τὸ σημεῖον, the referent of ἐξ αὐτοῦ, etc.).
- However, the candidate chose the wrong primary meaning for ὀλιγωρήσας despite acknowledging ambiguity.

**Formal stuckness penalty:**
- The candidate explicitly avoids normalizing the iterative imperfects in the conditional, the gender mismatch in the relative clause, and other anomalies. This is excellent scholarly practice.

**Overall assessment:**
The translation demonstrates strong philological awareness and handles the lacuna and textual anomalies well. However, the mistranslation of ὀλιγωρήσας as ""slighted"" instead of ""grown faint"" is a meaningful lexical error that affects the core narrative sense. The candidate's interpretive notes are thorough but cannot compensate for the incorrect primary rendering of a key term.

```json
65
```","```markdown
88
```",```90```,,,,0.0053046,0.001488,0.001006608
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,xiaomi/mimo-v2.6-flash,ok,False,0.0055153,150.91,"# ANNOTATION — Codex Marchalianus, p. 11

## 0. Editorial principles applied (read first)

1. **No graphic normalization.** Every token below is reproduced exactly as transmitted in the transcription supplied. Iacisms, diaereses, iota subscripts, breathings, accent marks, capitalization and the ω of Ῥωγήλ are left untouched.
2. **Lemmata are lexical, not orthographic.** The `@lemma` in the TEI gives the dictionary headword (hence lemma `Ῥωγήλ`, `Μανασσῆς`, `ἹερουσαλήΜ`, `τίθημι`); the **element content** carries the unaltered transmitted form. Lemma ≠ normalization of the text.
3. **Lacunae:** none is marked in the transcription; the passage runs continuously from Ἠσαΐας to Ῥωγήλ with a full stop. **Nothing is restored, supplied or conjectured.**
4. **No collation.** I have not checked the codex or other witnesses; hence **no variant readings are cited and no emendation is proposed.**

---

## 1. Regularized (i.e. tokenized, accentuated, punctuated) text

The transmitted orthography and accentuation are retained *in toto*; ""regularization"" here consists solely in tokenization and clause division:

```
Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο ·
καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ .
```

**Clause division:** (α) `Ἠσαΐας … δύο` — main clause; (β) `καὶ ἐτέθη … Ῥωγήλ` — coordinated clause with **unexpressed (elliptical) subject Ἠσαΐας**.

**Prosodic features observed and NOT altered:** ἀπὸ, ὑπὸ, καὶ carry the expected grave (they are oxytone forms standing before a following word); δρυὸς likewise shows a grave on a final-syllable acute before ῬωγήΛ; Ἱερουσαλὴμ likewise. These are regular prosody, **not** scribal errors.

---

## 2. Full morphosyntactic parse

| # | Token (as transmitted) | Lemma | POS | Morphology | Syntactic function |
|---|---|---|---|---|---|
| 1 | Ἠσαΐας | Ἠσαΐας | PROPN (1st decl. -ας, masc.) | Case=Nom, Number=Sing, Gender=Masc | Subject of θνῄσκει; subject of ἐτέθη (clause β) |
| 2 | ἀπό | ἀπό | ADP (preposition) | caseless; **governs Genitive** | Adjunct of origin/departure with Ἱερουσαλήμ |
| 3 | Ἱερουσαλὴμ | ἹερουσαλήΜ (ἡ) | PROPN, indeclinable place-name | Contextually **Genitive** (source after ἀπό); Sing.; Gender=Fem (geographic feminine); form shows no case ending | Object of ἀπό |
| 4 | θνῄσκει | θνῄσκω (v.l. θνήσκω) | VERB, active form | Tense=Pres, Mood=Ind, Voice=Act, Person=3, Number=Sing | Main predicate of clause α; contracted present < θνηΐσκω (iota subscript retained) |
| 5 | ὑπό | ὑπό | ADP | caseless; **governs Genitive** (agent) | Agency adjunct (παθητική with θνῄσκει = ""put to death by"") |
| 6 | Μανασσῆ | Μανασσῆς | PROPN (contracted 2nd/3rd-decl. -ής type, cf. Μωυσῆ) | Case=Gen, Number=Sing, Gender=Masc (contracted gen. in -ῆ, circumflex retained) | Object of ὑπό = agent |
| 7 | ἐν | ἐν | ADP | caseless; **governs Dative** | Preposition of instrument/means with πρίσει |
| 8 | πρίσει | πρίσις, -εως, ἡ (""sawing, cutting with a saw"") | NOUN, 3rd decl. | Case=Dat, Number=Sing, Gender=Fem | Dative of instrument/means (""by sawing""); πρίσ-ει = dat. sg. |
| 9 | εἰς | εἰς | ADP | caseless; **governs Accusative** | Preposition of result/extent (""into two [pieces]"") |
| 10 | δύο | δύο | NUM (cardinal, indeclinable) | Case=Acc (formally dual-type, invariable), NumType=Card, Number=Du(formal) | Object of εἰς; resultative extent |
| 11 | · (ano teleia) | — | PUNCT | — | Clause/pause mark, graphic form preserved |
| 12 | καὶ | καί | CCONJ (conjunctive; grave before following word) | — | Coordinates clause β with clause α |
| 13 | ἐτέθη | τίθημι | VERB, 2nd aorist passive | Tense=Aor, Mood=Ind, Voice=Pass, Person=3, Number=Sing | Predicate of clause β; resultative/stative passive (""was laid [to rest]""); subject Ἠσαΐας unexpressed |
| 14 | ὑποκάτω | ὑποκάτω | ADV used as **improper preposition** | caseless; **governs Genitive** | Local adjunct (""beneath, at the foot of"") |
| 15 | δρυὸς | δρῦς, δρυός, ἡ (""oak"") | NOUN, 3rd decl. heteroclitic | Case=Gen, Number=Sing, Gender=Fem | Object of ὑποκάτω; head of the phrase δρυὸς ῬωγήΛ |
| 16 | ῬωγήΛ | Ῥωγήλ (unattested declension; cf. also the form Ῥογήλ) | PROPN, indeclinable Semitic name | Form-invariant; **contextually Genitive**, assigned by construction with δρυός (determinative/appositional genitive) | Modifier of δρυός, ""the oak of Rogel"" |
| 17 | . (full stop) | — | PUNCT | — | Sentence-final mark, graphic form preserved |

**Constructions worth recording:**
- `παθητική + ὑπό + gen.` = agent of a passive/stative verb (θνῄσκει used transitively-in-sense: ""was put to death"").
- `ἐν + dat. (instrument) … εἰς + acc. (result)`: ""by a sawing into two [pieces]"".
- `ὑποκάτω + gen. … gen. + PROPN`: Semitic toponymic pattern ""oak of X"".

---

## 3. Spelling features noted and deliberately **not** corrected

| Feature | Observation | Action |
|---|---|---|
| `ῬωγήΛ` with **ω** | ω/ο interchange with the otherwise common `ῬογήΛ`-type spelling is possible | Retained exactly; **no emendation** |
| `Μανασσῆ` | contracted genitive in -ῆ, circumflex | Retained |
| `Ἱερουσαλὴμ` | grave on the final-syllable acute before θνῄσκει; rough breathing present | Retained (regular prosody) |
| `θνῄσκει` | iota subscript belongs to the contracted stem (< θνηΐσκω); the **accent is reproduced verbatim from the transcription** and has not been touched. (If the accent is transcribed as a grave, note that a grave is not prosodically licensed on a penultimate syllable — flagged only, not amended.) | Retained verbatim |
| `δρυὸς` | grave before a following word | Retained (regular prosody) |
| `ἐτέθη` | no iota subscript is required: the ending is -θη from the θη-stem of the 2nd aorist passive, **not** a contracted -ῃ | Regular; nothing to note as anomaly |
| `δύο ·` | punctuation was split off from the word | graphic form `·` unchanged |

---

## 4. TEI P5 XML encoding

Convention stated in `encodingDesc`: for **caseless** function words (prepositions, prepositional adverbs) the `Case=` value in `@msd` records **the case governed**, not a case borne by the form itself. `PoS` values follow a UD-inspired set (PROPN, NOUN, VERB, ADP, ADV, CCONJ, NUM). Punctuation is segmented into `<pc>` but its graphic form is unaltered.

```xml
<?xml version=""1.0"" encoding=""UTF-8""?>
<TEI xmlns=""http://www.tei-c.org/ns/1.0"">
  <teiHeader>
    <fileDesc>
      <titleStmt>
        <title>Codex Marchalianus p. 11: Ἠσαΐας ἀπὸ Ἱερουσαλὴμ … Ῥωγήλ (annotated)</title>
      </titleStmt>
      <publicationStmt>
        <p>Diplomatic morphosyntactic annotation for scholarly use; not a published edition.</p>
      </publicationStmt>
      <sourceDesc>
        <p>Encoded from the transcription supplied for annotation. The codex and other
           witnesses have not been collated; no variant readings are recorded and no
           lacuna or supplement is claimed.</p>
      </sourceDesc>
    </fileDesc>
    <encodingDesc>
      <p>Element content reproduces the transmitted graph exactly: no spelling,
         accentuation or iota-subscript has been normalized. The @lemma attribute
         gives the lexical headword only. In @msd, PoS uses a UD-inspired set;
         for prepositions and prepositional adverbs the Case value denotes the case
         governed (those forms are caseless).</p>
    </encodingDesc>
  </teiHeader>
  <text xml:lang=""grc"">
    <body>
      <p n=""1"">
        <w lemma=""Ἠσαΐας"" msd=""PoS=PROPN Case=Nom Number=Sing Gender=Masc"">Ἠσαΐας</w>
        <w lemma=""ἀπό"" msd=""PoS=ADP Case=Gen"">ἀπό</w>
        <w lemma=""ἹερουσαλήΜ"" msd=""PoS=PROPN Case=Gen Number=Sing Gender=Fem"">Ἱερουσαλὴμ</w>
        <w lemma=""θνῄσκω"" msd=""PoS=VERB Tense=Pres Mood=Ind Voice=Act Person=3 Number=Sing"">θνῄσκει</w>
        <w lemma=""ὑπό"" msd=""PoS=ADP Case=Gen"">ὑπό</w>
        <w lemma=""Μανασσῆς"" msd=""PoS=PROPN Case=Gen Number=Sing Gender=Masc"">Μανασσῆ</w>
        <w lemma=""ἐν"" msd=""PoS=ADP Case=Dat"">ἐν</w>
        <w lemma=""πρίσις"" msd=""PoS=NOUN Case=Dat Number=Sing Gender=Fem"">πρίσει</w>
        <w lemma=""εἰς"" msd=""PoS=ADP Case=Acc"">εἰς</w>
        <w lemma=""δύο"" msd=""PoS=NUM Case=Acc Number=Du NumType=Card"">δύο</w>
        <pc>·</pc>
        <w lemma=""καί"" msd=""PoS=CCONJ"">καὶ</w>
        <w lemma=""τίθημι"" msd=""PoS=VERB Tense=Aor Mood=Ind Voice=Pass Person=3 Number=Sing"">ἐτέθη</w>
        <w lemma=""ὑποκάτω"" msd=""PoS=ADV Case=Gen"">ὑποκάτω</w>
        <w lemma=""δρῦς"" msd=""PoS=NOUN Case=Gen Number=Sing Gender=Fem"">δρυὸς</w>
        <w lemma=""ῬωγήΛ"" msd=""PoS=PROPN Case=Gen Number=Sing Gender=Masc"">ῬωγήΛ</w>
        <pc>.</pc>
      </p>
    </body>
  </text>
</TEI>
```

*(If your repository prefers punctuation left inline rather than in `<pc>`, delete the two `<pc>` elements and the `·` / `.` become plain text nodes between the `<w>` elements; the `<w>` content is unaffected either way.)*

---

## 5. Explicit statements required by the brief

- **Lacunae:** none marked in the supplied transcription. The text is continuous; no supplement or restoration has been ventured, and none is presented as certain.
- **Anomalies:** preserved verbatim (notably the ω of `ῬωγήΛ`); regular prosodic graves (`ἀπὸ`, `ὑπὸ`, `καὶ`, `δρυὸς`, `Ἱερουσαλὴμ`) have been identified as such rather than ""corrected"".
- **Comparandum (caution):** the subject-matter (Isaiah's death under Manasseh, sawn in two, laid beneath a tree called after Rogel) belongs to the Greek parabiblical Isaianic martyrdom tradition; I record this only as a contextual observation — I make **no claim** about the stratification or provenance of this particular line from the page-reference alone.",72,95,85,85,True,"```markdown
72
```","```attribute
95
```","```markdown
85
```",,,,0.0066588,0.00323175,0.001807124
