benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,x-ai/grok-4.6,ok,False,0.010398,31.1,"**(1) DIPLOMATIC**
ΟΝΟΜΑΤΑΠΡΟΦΗΤΩΝΚΑΙΠΟΘΕΝΕΙϹΙΚΑΙΤΟΥ
ΙΠΕΘΑΝΟΝΚΑΙΠΩϹΚΑΙΠΟΥΚΕΙΝΤΑΙ:> >χ
ΗϹΑΙΑϹΑΠΟΙΕΡΟΥϹΑΛΗΜΦΝΗϹΚΕΙΥΠΟΜΑΝΑϹ
ΕΝΤΡΙϹΘΕΙϹΕΙϹΔΥΟ·ΚΑΙΕΤΕΘΗΥΠΟΚΑΤΩ

**(2) NORMALIZED**
ὀνόματα προφητῶν καὶ πόθεν εἰσὶ καὶ τοῦ
ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται
ἠσαΐας ἀπὸ ἱερουσαλὴμ θνήσκει ὑπὸ μανασσῆ
ἐν τρισθεὶς εἰς δύο· καὶ ἐτέθη ὑποκάτω",25,72,25,25,True,"Looking at the candidate answer against the ground truth, I need to identify all discrepancies:

**Diplomatic Layer Errors:**
1. Line 1: ΠΟΥ → ΤΟΥ (wrong word - ""where"" vs genitive article)
2. Line 2: ΑΠΕΘΑΝΟΝ → ΙΠΕΘΑΝΟΝ (missing initial alpha)
3. Line 2: Punctuation marks rendered as `:> >χ` instead of `:⸖⸖⁓`
4. Line 3: ΘΝΗϹΚΕΙ → ΦΝΗϹΚΕΙ (theta → phi, wrong letter)
5. Line 3: Missing iota adscript (Ϊ) on ΗϹΑΪΑϹ and ΑΠΟΪ
6. Line 3: Missing diaeresis (Ϋ) on ΚΕΙΫ
7. Line 4: ϹΗΠΡΙϹΘΕΙϹ → ΕΝΤΡΙϹΘΕΙϹ (major textual error - completely wrong)
8. Line 4: Missing diaeresis on ΫΠΟΚΑΤⲰ

**Normalized Layer Errors:**
1. ποῦ → τοῦ (wrong word)
2. πρισθεὶς → ἐν τρισθεὶς (major error - added ""ἐν τρι"")
3. θνῄσκει → θνήσκει (wrong accent)
4. Μανασσῆ → μανασσῆ (lowercase)

**Positive aspects:**
- Did stop at crop boundary (ΥΠΟΚΑΤΩ), not hallucinating line 5
- Preserved some lunate sigmas
- Both layers provided

The multiple major textual errors (especially ϹΗΠΡΙϹΘΕΙϹ→ΕΝΤΡΙϹΘΕΙϹ and πρισθεὶς→ἐν τρισθεὶς), wrong letters (Θ→Φ), and wrong words (ΠΟΥ→ΤΟΥ) represent serious diplomatic failures.

```\n25\n```","```
72
```","```json
25
```",,,,0.006729,0.00189525,0.00123606
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,x-ai/grok-4.6,ok,False,0.004298,11.31,"1. ἔχει δὲ εἴσοδον ἀπὸ Γαβαών ] ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών M (substitution)
2. ἠρώτων γὰρ οἱ πολέμιοι ] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M (addition)
3. καὶ ἐδόθη αὐτοῖς χρησμὸς ] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M (addition + transposition)",95,95,N/A,95,False,"```markdown
95
```","```markdown
95
```",,,,not_needed,0.0030438,0.0010065,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,x-ai/grok-4.6,ok,False,0.006702,17.4,"And God made the sign of Siloam through the prophet: that before dying, having grown faint, he prayed to drink water and immediately it was sent to him from it; on account of this it was called Siloam, which is interpreted sent [text broken/omitted here] if therefore the Jews came, water came forth; but if foreigners, not; wherefore until today it comes forth suddenly, in order that the mystery might be shown.",78,92,85,85,True,```\n78\n```,"```
92
```","```  
85  
```",,,,0.0027984,0.00051075,0.00044058
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,x-ai/grok-4.6,ok,False,0.00604,17.05,"The transcribed wording is preserved exactly (no regularization of spelling, accents, or morphology is supplied). No lacuna is present in the supplied string.

TEI encoding of the given string (lemmata and MSD values reflect the forms as written, not normalized equivalents):

<w lemma=""Ἠσαΐας"" msd=""n-s---mn-"">Ἠσαΐας</w>
<w lemma=""ἀπό"" msd=""r--------"">ἀπὸ</w>
<w lemma=""Ἱερουσαλήμ"" msd=""n-s---fn-"">Ἱερουσαλὴμ</w>
<w lemma=""θνῄσκω"" msd=""v3spia---"">θνῄσκει</w>
<w lemma=""ὑπό"" msd=""r--------"">ὑπὸ</w>
<w lemma=""Μανασσῆς"" msd=""n-s---mg-"">Μανασσῆ</w>
<w lemma=""ἐν"" msd=""r--------"">ἐν</w>
<w lemma=""πρίσις"" msd=""n-s---fd-"">πρίσει</w>
<w lemma=""εἰς"" msd=""r--------"">εἰς</w>
<w lemma=""δύο"" msd=""a-p---na-"">δύο</w>
<w lemma=""καί"" msd=""c--------"">καὶ</w>
<w lemma=""τίθημι"" msd=""v3saip---"">ἐτέθη</w>
<w lemma=""ὑποκάτω"" msd=""r--------"">ὑποκάτω</w>
<w lemma=""δρῦς"" msd=""n-s---fg-"">δρυὸς</w>
<w lemma=""Ῥωγήλ"" msd=""n-s---mn-"">Ῥωγήλ</w>",78,85,N/A,81.5,False,"Looking at the candidate answer against the ground truth:

**Morphological correctness:**
- Most parses are accurate (θνῄσκει as VPAI3S, ἐτέθη as VAPI3S, πρίσει as NDSF, etc.)
- Ῥωγήλ is parsed as masculine nominative (n-s---mn-) rather than indeclinable feminine (NIDF) — gender error
- Ἱερουσαλήμ is parsed as regular noun (n-s---fn-) rather than indeclinable (NIDF) — minor inaccuracy
- δύο is correctly parsed as accusative (more specific than ground truth's bare 'M')

**Lexical accuracy:**
- All lemmas are correct (Ἠσαΐας, θνῄσκω, τίθημι, δρῦς, πρίσις, Μανασσῆς, etc.)

**Syntactic role:**
- Not explicitly stated in prose, but MSD codes correctly encode the grammatical functions

**Handling of uncertainty:**
- No genuine ambiguities in this sentence, so no flagging needed

**Other issues:**
- No regularized text provided (ground truth explicitly provides one)
- Uses AGDT-style MSD format rather than the simpler format of ground truth (stylistic, not substantive)
- Missing punctuation encoding (<pc> elements)

The parses are substantively correct with minor issues around indeclinable nouns and one gender error.

```markdown
78
```","```widget
85
```",,,,not_needed,0.0059712,0.003474,0.0
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,x-ai/grok-4.6,ok,False,0.006102,13.73,"<teiHeader>
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus (Vat. gr. 2125)</title>
    </titleStmt>
    <publicationStmt>
      <publisher>Biblioteca Apostolica Vaticana</publisher>
      <pubPlace>Vatican City</pubPlace>
      <availability>
        <licence>Unspecified</licence>
      </availability>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <msName>Codex Marchalianus</msName>
        </msIdentifier>
        <msContents>
          <msItem>
            <title>Lives of the Prophets (Vitae Prophetarum) - Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <extent>
                <dimensions type=""leaf"" unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1""/>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote script=""uncial"">Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>",52,100,60,60,True,"```markdown
52
```","```tag
100
```",```60```,,,,0.0031344,0.001212,0.00066262
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,x-ai/grok-4.6,ok,False,0.009362,25.71,"**(1) DIPLOMATIC**
E Saias filius amos. non illius
p̄phe. sed alterius qui simile nuncupat̄ ē. no
mine. Ille enim ex numero paſtoꝝ fuit. de oppido
thecue. Hic autē genere nobili ortus ē. ierl̄m.
Quē etiā hebrei aiunt ſocrū fuiſſe manaſſe. Inquo
tanta fuit ſcitas. & uite excellentia. ut unam.
tantū diceret̄ habuiſſe tunicā cilicinā. Quamq;

**(2) NORMALIZED**
Esaias filius Amos. non illius prophetae. sed alterius qui simile nuncupatus est nomine. Ille enim ex numero pastorum fuit. de oppido Thecue. Hic autem genere nobili ortus est Hierusalem. Quem etiam Hebraei aiunt socerum fuisse Manasse. In quo tanta fuit sanctitas et vitae excellentia ut unam tantum diceretur habuisse tunicam cilicinam. Quamquam",82,100,40,82,True,"Looking at the candidate answer against the ground truth:

**DIPLOMATIC LAYER ISSUES:**
1. **Missing macron in ""scītas""**: The candidate wrote ""ſcitas"" instead of ""scītas"" — this is a significant diplomatic fidelity failure, as the macron over the 'i' is a scribal abbreviation mark for ""sanctitas"" that must be preserved.
2. **""Inquo"" vs ""In quo""**: Minor spacing difference.
3. **""Quamq;"" vs ""Quamq:""**: Minor punctuation difference (semicolon vs colon).
4. Round 's' vs long-s: Acceptable per rubric (scribe mixes both).

**NORMALIZED LAYER ISSUES:**
1. **""nobili"" not expanded to ""nobilis""**: The manuscript abbreviation ""nobili"" should be expanded to ""nobilis"" in the normalized layer — this is a normalization failure.
2. **""ortus est Hierusalem"" vs ""ortus in Hierusalem""**: Different readings of ""ē. ierl̄m"" — the candidate's reading is arguably more faithful to the abbreviations, but differs from ground truth.
3. Periods used instead of commas — minor punctuation difference.
4. Candidate expanded ""autē"" to ""autem"" and ""ē"" to ""est"" which is correct, but ground truth normalized layer omits these expansions for lines 1-4.

**POSITIVE ASPECTS:**
- Correctly preserved most abbreviations (p̄phe, nuncupat̄ ē, paſtoꝝ, ierl̄m, autē, diceret̄, etc.)
- Correctly used long-s in several places (paſtoꝝ, ſocrū, fuiſſe, manaſſe, habuiſſe)
- Included optional lines 5-7
- Normalized layer correctly expands most abbreviations

The missing macron in ""scītas"" is the most significant diplomatic fidelity issue, and the unexpanded ""nobili"" in the normalized layer is a clear normalization failure.

```\n82\n```","```json
100
```","``` 
40 
```",,,,0.0115284,0.001758,0.00086254
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,x-ai/grok-4.6,ok,False,0.003836,8.7,"[ille] Hic V (substitution) ;
[hic] Hic autem V (substitution + addition) ;
[nobilis] nobili V (orthographic) ;
[ortus] ortus est V (addition) ;
[in Hierusalem] Hierusalem V (omission) ;
[atrocique] atroque V (orthographic) ;
[extincxit] extinxit V (orthographic).",72,85,40,72,True,"Looking at the candidate answer against the ground truth:

**Point 1:** Correctly identifies [ille] → Hic as substitution. ✓

**Point 2:** The candidate fragments this into multiple entries:
- [hic] Hic autem V (substitution + addition) — partially correct, but the ground truth condenses this
- [nobilis] nobili V (orthographic) — **MISCLASSIFIED**: ground truth calls this a SUBSTITUTION (ablative for genitive/adjectival form), not orthographic
- [ortus] ortus est V (addition) — not flagged in ground truth (though arguably present)
- [in Hierusalem] Hierusalem V (omission) — correct ✓

**Point 3:**
- [atrocique] atroque V (orthographic) — **MISCLASSIFIED**: ground truth calls this a SUBSTITUTION, not orthographic
- [extincxit] extinxit V (orthographic) — correct ✓

**Issues:**
- Two typology misclassifications (nobili and atroque both called ""orthographic"" when ground truth says ""substitution"")
- Apparatus is fragmented for point 2 rather than using the ground truth's elegant single-entry-with-ellipsis format
- Last entry lacks the required semicolon
- No invented variants; all real variants detected

```markdown
72
```","```markdown
85
```","```markdown
40
```",,,,0.00649725,0.0018075,0.00116606
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,x-ai/grok-4.6,ok,False,0.00514,13.45,"The Hebrews relate that Isaiah was slain for two causes: one, that he had called them princes of Sodom and people of Gomorrah; the other, that, the Lord testifying to Moses « non poteris uidere faciem meam », this man dared to exclaim: « Vidi Dominum sedentem super thronum excelsum... », the Jews, blinded in mind, not considering that in the following he had narrated that the Seraphin had covered the face and feet of God and writes that he had seen only the middle of him. He lies under the oak of Rogel next to the watercourses.",88,60,70,70,True,```\n88\n```,"The candidate failed to translate the two embedded Latin quotations (""non poteris uidere faciem meam"" and ""Vidi Dominum sedentem super thronum excelsum...""), leaving them in the source Latin instead of translating them into English. The rest of the translation is accurate.

```
60
```",```70```,,,,0.003207,0.000756,0.00057232
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,x-ai/grok-4.6,ok,False,0.00724,17.84,"** (1) Expanded (non-normalized) text **  
iuxta imperium domini nudo corpore. nudoque ueſtigio in conuentu populi conuerſatuſ est.  
(Abbreviations expanded; all original spelling, long-s, u/v, punctuation and word-division retained exactly. No normalization performed.)

** (2) Grammatical parse **  
- imp̃ium = imperium : acc. sg. n. of *imperium* (governed by *iuxta*).  
- dn̄i = domini : gen. sg. m. of *dominus* ( possessor of *imperium*).  
- ppl̄i = populi : gen. sg. m. of *populus* (dependent on *conuentu*).  
- conuerſatuſ ē = conversatus est : 3 sg. pf. ind. of deponent *conversor* (subject implied; *nudo corpore \ldots ueſtigio* as abl. of manner).

** (3) TEI P5 encoding **  
```xml
<p>
iuxta <choice><abbr>imp̃ium</abbr><expan>imperium</expan></choice>
<choice><abbr>dn̄i</abbr><expan>domini</expan></choice>
nudo corpore. nudo<choice><abbr>q:</abbr><expan>que</expan></choice>
ueſtigio in conuentu
<choice><abbr>ppl̄i</abbr><expan>populi</expan></choice>
<choice><abbr>conuerſatuſ ē</abbr><expan>conuerſatuſ est</expan></choice>.
</p>
```",85,95,N/A,90,False,"```markdown
85
```","```markdown
95
```",,,,not_needed,0.0039432,0.00080775,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,x-ai/grok-4.6,ok,False,0.003678,8.94,"[...]יגל די אחזית[...]
[...]תון אחזיא יסוד[...]
[...]בניא יובדון[...]
[...]ופרעין סבון מ[...]",0,0,N/A,0,False,"```json
0
```","```
0
```",,,,not_needed,0.0018918,0.00173025,0.0
