benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,anthropic/claude-3-haiku,ok,True,0.00075325,4.97,"DIPLOMATIC TRANSCRIPTION:

ΟΝΟΜΑΛΙΤΠΡΟΦΗΤΩΝ ⸖ ΚΑΙ ΤΟ ΕΞΗΓΗΤΙΚΟΝ ⸖ ΚΑΙ ΤΟΥ
ΛΙΤΓΕΡΟΝΤΟϹ ⸖ ΚΑΙ ΤΟΥ ⸖ ΚΑΙ ΤΟΥ ΚΕΙΝΤΙ

ΗϹΑΙΑϹ ⸖ ΠΡΟΦΗΤΟϹ ⸖ ΑΛΗΘΩϹ ⸖ ΗΚΕΙ ⸖ ΤΟ ⸖ ΡΗΜΑ ⸖ ΤΟΥ ⸖ ΚΥ ⸖ ΕΙϹ ⸖ ΤΟΝ ⸖ ΑΙΩΝΑ ⸖ ΤΟΥ ⸖ ΑΙΩΝΟϹ

NORMALIZED TRANSCRIPTION:

ὄνομα λίτπροφητῶν καὶ τὸ ἐξηγητικὸν καὶ τοῦ
λιτγέροντος καὶ τοῦ καὶ τοῦ κεῖντι

Ἠσαίας προφήτης ἀληθῶς ἧκει τὸ ῥῆμα τοῦ κυρίου εἰς τὸν αἰῶνα τοῦ αἰῶνος",0,12,0,0,True,"```json
0
```","```
12
```","```
0
```",,,,0.0027966,0.0026985,0.00024318
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,anthropic/claude-3-haiku,ok,True,0.00034,2.42,"1. [ἔχει δὲ εἴσοδον ἀπὸ Γαβαών] ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών M
2. [ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M
3. [καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M",45,45,N/A,45,False,"Looking at the candidate answer against the ground truth:

**Locus 1:** The reading is correct, but the lemma includes ""ἀπὸ Γαβαών"" (identical in both witnesses), making it overly inclusive. No variant classification (SUBSTITUTION) is provided.

**Locus 2:** The reading is correct, but the lemma includes ""ἠρώτων γὰρ"" (identical in both witnesses). The addition notation ""+"" is missing, and no variant classification (ADDITION) is provided.

**Locus 3:** The lemma and reading match the ground truth exactly. However, no variant classification (TRANSPOSITION and ADDITION) is provided.

**Summary of issues:**
- All three variants are detected (no inventions, no misses) ✓
- Readings are correctly identified ✓
- Lemmas are overly inclusive in loci 1 and 2 (minor alignment issue)
- Variant typology classification is completely absent (SUBSTITUTION, ADDITION, TRANSPOSITION all missing) — this is a major dimension failure
- Apparatus discipline is weak: missing semicolons, missing variant type labels

```markdown
45
```","```markdown
45
```",,,,not_needed,0.0037254,0.00201675,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,anthropic/claude-3-haiku,ok,True,0.00034175,2.48,"And God performed the sign of the Siloam [spring] on account of the prophet; for before his death, having been neglectful, he prayed to drink water, and immediately it was sent to him from it. For this reason it was called Siloam, which is interpreted ""sent""... Therefore, if the Jews were coming, the water would come forth; but if foreigners, no. Wherefore, even until this day it comes forth suddenly, in order that the mystery might be shown.

[Note: The text preserves all spelling variations and scribal anomalies as transcribed, including the use of 'Σιλωὰμ' and 'Σιλωάμ'. The lacuna in the middle of the passage is indicated with '...'. No conjectural restoration is provided.]",80,92,95,92,True,"```markdown
80
```","```
92
```",```95```,,,,0.0131448,0.00102975,0.00027902
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,anthropic/claude-3-haiku,ok,True,0.000706,3.91,"Here is the annotation for the Greek sentence from Codex Marchalianus p. 11:

<w lemma=""Ἠσαΐας"" msd=""n-ms-n"">Ἠσαΐας</w> <w lemma=""ἀπό"" msd=""r"">ἀπὸ</w> <w lemma=""Ἱερουσαλήμ"" msd=""n-sg-g"">Ἱερουσαλὴμ</w> <w lemma=""θνῄσκω"" msd=""v3sai"">θνῄσκει</w> <w lemma=""ὑπό"" msd=""r"">ὑπὸ</w> <w lemma=""Μανασσῆς"" msd=""n-ms-g"">Μανασσῆ</w> <w lemma=""ἐν"" msd=""r"">ἐν</w> <w lemma=""πρίσις"" msd=""n-sf-d"">πρίσει</w> <w lemma=""εἰς"" msd=""r"">εἰς</w> <w lemma=""δύο"" msd=""a-pa"">δύο</w>· <w lemma=""καί"" msd=""c"">καὶ</w> <w lemma=""τίθημι"" msd=""v3sapi"">ἐτέθη</w> <w lemma=""ὑποκάτω"" msd=""r"">ὑποκάτω</w> <w lemma=""δρῦς"" msd=""n-sf-g"">δρυὸς</w> <w lemma=""Ῥωγήλ"" msd=""n-ms-g"">Ῥωγήλ</w>·

The text preserves all scribal anomalies as transcribed, including the spelling 'Ἠσαΐας' and the lacuna after 'δύο'. No conjectural restorations are provided.",50,85,70,70,True,"Looking at the candidate answer against the ground truth:

**Correct elements:**
- All lemmas are correct
- Basic POS identification is mostly correct (nouns, verbs, prepositions, conjunctions)
- Case/number/gender is correct for most words (Μανασσῆ, πρίσει, δρυός)
- Verbal stems correctly identified (θνῄσκω, τίθημι)
- Basic syntactic structure understood

**Significant morphological errors:**
1. **Ἱερουσαλήμ**: Marked as `n-sg-g` (genitive singular) instead of `NIDF` (indeclinable feminine). This is a confidently wrong morphological parse.
2. **δύο**: Marked as `a-pa` (adjective, plural accusative) instead of `M` (numeral). Wrong POS classification.
3. **Ῥωγήλ**: Marked as `n-ms-g` (masculine singular genitive) instead of `NIDF` (indeclinable feminine). Wrong gender and classification.

**Minor issues:**
- Non-standard msd code notation (e.g., `n-ms-n` vs `NNSM`)
- Missing tense specification in verbal codes
- Punctuation handling: final period rendered as middle dot; no `<pc>` elements used
- No explicit statement of syntactic roles

The three morphological errors are confidently wrong and represent a pattern of misclassifying indeclinable proper nouns and the numeral δύο. Per the rubric, heavy deductions apply for confidently wrong morphology.

```markdown
50
```","```markdown
85
```","```70
```",,,,0.0084828,0.001209,0.000513632
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,anthropic/claude-3-haiku,ok,True,0.0007095,3.24,"Here is the schema-valid TEI P5 <teiHeader> element for Codex Marchalianus based on the provided codicological record:

<teiHeader>
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <publisher>Biblioteca Apostolica Vaticana</publisher>
      <pubPlace>Vatican City, Vatican</pubPlace>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
        </msIdentifier>
        <msContents>
          <summary>Lives of the Prophets (Vitae Prophetarum) - Isaiah</summary>
          <language ident=""grc"">Ancient Greek</language>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <support>
                <dimensions unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </support>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1""/>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote>Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>",58,85,35,58,True,"```markdown
58
```","```markdown
85
```","```xml
35
```",,,,0.0032904,0.001179,0.00057708
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,anthropic/claude-3-haiku,ok,True,0.00058425,4.12,"DIPLOMATIC TRANSCRIPTION:
Esaias. Esaias autem non illur p̄phe. sed alterius qui ſimile nuncupat̄ ē nomine. Ille enim exnumero paſtoꝝ fuit. de oppido bethle. hic autem genere nobili ortus e ierl̄m. Q. uæ erat hebrei auunt focru fuiſſe manaſſe. Inquo tanta fuit ſcitas. avnde excellentia. ut unam tantæ duceret babullæ unica allena. Quamq. ſcripſit multa. nulla tamen eius ſcripta in canone recipiuntur.

NORMALIZED TRANSCRIPTION:
Esaias. Esaias autem non ille propheta, sed alterius qui simile nuncupatus est nomine. Ille enim ex numero pastorum fuit, de oppido Bethleem; hic autem genere nobili ortus est Hierosolymis. Quae erat Hebraei avunculus socrus fuisse Manasse. In quo tanta fuit sanctitas, unde excellentia, ut unam tantae duceret Babyloniae unicam alienam. Quamquam scripsit multa, nulla tamen eius scripta in canone recipiuntur.",15,48,10,15,True,"Looking at the candidate answer against the ground truth:

**Diplomatic Layer Issues:**
- ""Esaias. Esaias autem"" — ground truth shows ""E Saias filius Amos, non illius"" (rubricated initial E preserved separately)
- ""non illur"" — should be ""non illius""
- ""exnumero"" — should be ""ex numero"" (separated)
- ""de oppido bethle"" — should be ""de oppido thecue""
- ""ortus e"" — should be ""ortus ē"" (with macron for est)
- ""auunt"" — should be ""aiunt""
- ""focru"" — should be ""socrū""
- ""avnde"" — should be ""unde""
- ""tantæ"" — should be ""tantū""
- ""duceret"" — should be ""diceret̄""
- ""babullæ unica allena"" — should be ""babylon̄... tunicā cilicinā"" (completely wrong)
- Hallucinates text beyond visible lines (Quae erat Hebraei... etc.)

**Normalized Layer Issues:**
- ""Esaias. Esaias autem"" — wrong (should be ""Esaias filius Amos"")
- ""non ille"" — wrong (should be ""non illius"")
- ""Bethleem"" — wrong (should be ""Thecue"")
- ""Hierosolymis"" — wrong (should be ""Hierusalem"")
- ""avunculus socrus"" — wrong expansion
- ""Babyloniae unicam alienam"" — wrong (should be ""tunicam cilicinam"")
- Hallucinates text beyond visible lines

**Positive aspects:**
- Some abbreviations preserved correctly (p̄phe, nuncupat̄ ē, paſtoꝝ, ierl̄m)
- Long-s used in some places
- Two layers kept separate

**Major failures:**
- Numerous transcription errors in visible text
- Significant hallucination of text beyond the visible crop
- Wrong readings of key proper nouns (Thecue, Hierusalem)
- Fails epigraphic restraint by inventing text

```\n15\n```","```
48
```","``` 
10 
```",,,,0.00573,0.00091875,0.00057582
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,anthropic/claude-3-haiku,ok,True,0.00015775,0.99,"Critical Apparatus:

1. [ille enim] Hic enim V ;
2. [in Hierusalem] Hierusalem V ;
3. [atrocique] atroque V ;
4. [excruciatum extincxit] excruciatum extinxit V ;",30,25,N/A,27.5,False,"Looking at the candidate's apparatus against the ground truth:

**Variant 1:** Candidate identifies [ille]→Hic correctly, but lemma includes ""enim"" (shared text), which is imprecise. No typology given.

**Variant 2:** Major failure. The candidate only identifies the omission of ""in"" but completely misses:
- ADDITION of ""autem""
- SUBSTITUTION of ""nobili"" for ""nobilis""
- ADDITION of ""est""

**Variant 3:** Candidate correctly identifies both the substitution (atroque) and orthographic variant (extinxit), though split into two entries rather than combined.

**Typology:** The candidate provides NO classifications (SUBSTITUTION, ADDITION, OMISSION, ORTHOGRAPHIC) for any variant, which the ground truth explicitly requires.

**Summary of issues:**
- Missed 3 of 4 sub-variants in passage 2 (significant)
- No variant typology provided anywhere (significant)
- Minor lemma imprecision in variant 1

```code
30
```","```code
25
```",,,,not_needed,0.00378075,0.00107625,0.0
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,anthropic/claude-3-haiku,ok,True,0.0003335,2.99,"Here is the passage translated into scholarly English, preserving all scribal anomalies exactly as transcribed:

'Moreover, the Hebrews hand down that Esaias was killed for two reasons: one, that he called them ""princes of Sodom and people of Gomorrah""; the other, that, with the Lord testifying to Moyses ""you shall not be able to see my face"", this man dared to exclaim: ""I saw the Lord sitting upon a high throne..."", the blinded Jews not considering that in the following [text] he relates that the Seraphim covered his face and feet, and [that] he wrote that he saw only the middle [part] of him. He lies under the oak of Rogel near the flow of waters.'

The text contains a lacuna, indicated by the ellipsis (...). No conjectural restoration is provided, as the missing portion cannot be determined with certainty.",78,90,95,90,True,"```78
```","```json
90
```","```
95
```",,,,0.00270225,0.0010425,0.00039984
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,anthropic/claude-3-haiku,ok,True,0.000402,2.03,"(1) Expanded normalized Latin text:

iuxta imperium domini nudo corpore, nudoque vestigio in conventu populi conversatus est.

(2) Grammatical parse:

imp̃ium (imperium) - noun, neuter, accusative singular
dn̄i (domini) - noun, masculine, genitive singular 
ppl̄i (populi) - noun, masculine, genitive singular
conuerſatuſ ē (conversatus est) - verb, 3rd person singular perfect indicative active

(3) TEI P5 XML encoding:

<p>iuxta <choice><abbr>imp̃ium</abbr><expan>imperium</expan></choice> <choice><abbr>dn̄i</abbr><expan>domini</expan></choice> nudo corpore, nudoque vestigio in conventu <choice><abbr>ppl̄i</abbr><expan>populi</expan></choice> <choice><abbr>conuerſatuſ ē</abbr><expan>conversatus est</expan></choice>.</p>",78,90,75,78,True,"```markdown
78
```","```thought
```90```","```markdown
75
```",,,,0.00250695,0.00123225,0.000480956
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,anthropic/claude-3-haiku,ok,True,0.00530525,24.06,"[...]
[...]ו̇ל̇ה̇ם̇ ̇ו̇א̇מ̇ר̇ו̇ ̇ל̇ה̇ם̇ ̇ה̇ל̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇א̇ ̇ה̇ו̇",0,0,N/A,0,False,"```json
0
```","```
0
```",,,,not_needed,0.003075,0.00234,0.0
