benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,openai/gpt-5.5,ok,True,0.02714,15.65,"I’m sorry, but I can’t responsibly provide a full visual transcription from this low/partial image as if certain: several letters, overlines, and punctuation marks are not secure enough at this resolution. Below is a **cautious transcription of what is legible**, with uncertain readings marked and no conjectural restoration presented as certain.

## (1) Diplomatic layer  
Majuscule/scriptio continua; line breaks as visible; uncertain letters in brackets with `?`; lacuna/illegible portions noted.

```text
ΟΝΟΜΑΤΑΠΡΟΦΗΤⲰΝ ΚΑΙΠΟΘΕΝΕΙϹΙ ΚΑΙΠΟΥ
ΑΠΕΘΑΝΟΝ ΚΑΙΠⲰϹ ΚΑΙΠΟΥΚΕΙΝΤΑΙ·

ΗϹΑΙΑϹ ΠΟΙΕΡΟΥϹΑΛΗΜ ΕΓΕΝΗΘΗ ΗϹ ΚΕΙΤΤΟ ΜΑΝΑ[Ϲ?]
ΕΠΡΙϹΘΕΙϹ ΙϹΑΥΟ· ΚΑΙΕΤΕΘΗ ΥΠΟΚΑΤⲰ
```

### Notes on the diplomatic layer
- The heading appears to read **ΟΝΟΜΑΤΑ ΠΡΟΦΗΤⲰΝ ΚΑΙ ΠΟΘΕΝ ΕΙϹΙ ΚΑΙ ΠΟΥ / ΑΠΕΘΑΝΟΝ ΚΑΙ ΠⲰϹ ΚΑΙ ΠΟΥ ΚΕΙΝΤΑΙ**, but the transcription above preserves scriptio continua.
- The first incipit line after the heading is visibly difficult. The sequence after **ΕΓΕΝΗΘΗ** is especially uncertain in the image; I do **not** treat the final part as secure.
- I have not added overlines for possible nomina sacra because in these four lines I do not see a securely abbreviated nomen sacrum. The visible **ΙϹΑΥΟ** may reflect the name **Ἠσαΐου/Ἡσαΐου** in a nonstandard form or damaged writing, not a nomen sacrum.
- Punctuation is preserved where reasonably visible, especially **·** after **ΚΕΙΝΤΑΙ** and after **ΙϹΑΥΟ**.
- Decorative title strokes/ornaments above letters are not fully represented typographically.

## (2) Normalized critical layer  
With word division and accents/breathings where reasonably inferable; uncertain or damaged portions left marked.

```text
Ὀνόματα προφητῶν, καὶ πόθεν εἰσί, καὶ ποῦ
ἀπέθανον, καὶ πῶς, καὶ ποῦ κεῖνται.

Ἡσαΐας ὁ Ἱεροσολυμίτης ἐγεννήθη [---]
ἐπρίσθη Ἡσαΐου· καὶ ἐτέθη ὑπὸ κάτω
```

### Notes on the normalized layer
- The heading is normalized as a title: “Names of the prophets, and whence they are, and where they died, and how, and where they lie.”
- The incipit is not fully secure from the supplied image. I have therefore **not restored** the broken/unclear portion after **ἐγεννήθη** as certain.
- The sequence **ΕΠΡΙϹΘΕΙϹ** is normalized as **ἐπρίσθη** only with caution; the manuscript spelling/inflection visible is not a clean normalized form.
- The final visible words **ΥΠΟΚΑΤⲰ** are normalized mechanically as **ὑπὸ κάτω**, but the continuation is cut off in the image, so the construction is incomplete.",18,58,10,18,True,"Looking at this candidate answer against the ground truth:

**Line 1 (Heading start):** Correct text, acceptable spacing per rubric.

**Line 2 (Heading end):** Missing the critical punctuation `:⸖⸖⁓` after ΚΕΙΝΤΑΙ — only `·` preserved. Significant loss of diplomatic detail.

**Line 3 (Major failure):** Ground truth is `ΗϹΑΪΑϹΑΠΟΪΕΡΟΥϹΑΛΗΜΘΝΗϹΚΕΙΫΠΟΜΑΝΑϹ` (Isaiah from Jerusalem dies under Manasses). Candidate has `ΗϹΑΙΑϹ ΠΟΙΕΡΟΥϹΑΛΗΜ ΕΓΕΝΗΘΗ ΗϹ ΚΕΙΤΤΟ ΜΑΝΑ[Ϲ?]` — this is largely invented text. ""ΕΓΕΝΗΘΗ"", ""ΚΕΙΤΤΟ"" do not exist in the manuscript. The candidate has hallucinated content.

**Line 4 (Major failure):** Ground truth is `ϹΗΠΡΙϹΘΕΙϹΕΙϹΔΥΟ·ΚΑΙΕΤΕΘΗΫΠΟΚΑΤⲰ`. Candidate has `ΕΠΡΙϹΘΕΙϹ ΙϹΑΥΟ· ΚΑΙΕΤΕΘΗ ΥΠΟΚΑΤⲰ` — missing `ϹΗ` at start, missing `ΕΙϹΔΥΟ` in middle, and `ΙϹΑΥΟ` is invented.

**Normalized layer:** Also significantly wrong — ""ὁ Ἱεροσολυμίτης ἐγεννήθη"" and ""ἐπρίσθη Ἡσαΐου"" do not match ground truth ""ἀπὸ Ἱερουσαλὴμ θνῃσκει ὑπὸ Μανασσῆ πρισθεὶς εἰς δύο"".

**Positive notes:** Correctly recognized crop boundary at ΥΠΟΚΑΤⲰ; preserved lunate sigma/omega; attempted uncertainty marking; heading mostly correct.

**Negative notes:** Hallucinated text in lines 3-4 (the most serious failure); missing punctuation in line 2; both layers contain invented content.

```json
{
  ""score"": 18,
  ""reasoning"": ""Lines 3-4 contain largely invented text that does not match the ground truth. The candidate hallucinated 'ΕΓΕΝΗΘΗ', 'ΚΕΙΤΤΟ', 'ΙϹΑΥΟ' and omitted critical content like 'ΑΠΟ', 'ΘΝΗϹΚΕΙ', 'ΫΠΟ', 'ϹΗ', 'ΕΙϹΔΥΟ'. Line 2 lost the distinctive punctuation marks. While the heading (line 1) is mostly correct and the crop boundary was respected, the incipit text — the core content — is substantially wrong in both layers.""
}
```

```text
18
```","```
58
```","``` 
10
```",,,,0.0078948,0.00128325,0.00110054
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,openai/gpt-5.5,ok,True,0.00888,5.72,"1. **ἔχει δὲ εἴσοδον ἀπὸ Γαβαών**] **ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών** M ;  
   *Variant classification:* substitution / reformulation: M replaces **δὲ** with **ἥτις**.

2. **ἠρώτων γὰρ οἱ πολέμιοι**] **ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν** M ;  
   *Variant classification:* addition: M adds **πόθεν πίνουσιν** after **οἱ πολέμιοι**.

3. **καὶ ἐδόθη αὐτοῖς χρησμὸς**] **ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς** M ;  
   *Variant classification:* addition + transposition: M adds **ὅτι** before **καὶ**, and transposes **χρησμὸς** before **ἐδόθη αὐτοῖς**.",92,95,N/A,93.5,False,"```markdown
92
```","```markdown
95
```",,,,not_needed,0.0033588,0.00156,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,openai/gpt-5.5,ok,True,0.005335,2.87,"“And God performed the sign of Siloam through the prophet: because, before dying, having grown faint, he prayed to drink water, and immediately it was sent to him from it. For this reason it was called Siloam, which is interpreted ‘Sent.’ ... If, then, the Jews came, water would come forth; but if foreigners came, it would not. Therefore, down to the present day, it comes forth suddenly, so that the mystery may be shown.”

The ellipsis in the supplied text indicates omitted or lacunose material; no restoration is implied here.",80,94,95,94,True,```\n80\n```,"```markdown
94
```","```95
```",,,,0.0088332,0.00133725,0.0003605
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,openai/gpt-5.5,ok,True,0.019535,12.86,"```xml
<TEI xmlns=""http://www.tei-c.org/ns/1.0"">
  <text>
    <body>
      <p>
        <w lemma=""Ἠσαΐας"" msd=""POS=properNoun|Case=nom|Number=sg|Gender=masc"">Ἠσαΐας</w>
        <w lemma=""ἀπό"" msd=""POS=preposition|GovCase=gen"">ἀπὸ</w>
        <w lemma=""Ἱερουσαλήμ"" msd=""POS=properNoun|Case=gen|Number=sg|Gender=fem|Indeclinable=yes"">Ἱερουσαλὴμ</w>
        <w lemma=""θνῄσκω"" msd=""POS=verb|Tense=pres|Voice=act|Mood=ind|Person=3|Number=sg"">θνῄσκει</w>
        <w lemma=""ὑπό"" msd=""POS=preposition|GovCase=gen"">ὑπὸ</w>
        <w lemma=""Μανασσῆς"" msd=""POS=properNoun|Case=gen|Number=sg|Gender=masc"">Μανασσῆ</w>
        <w lemma=""ἐν"" msd=""POS=preposition|GovCase=dat"">ἐν</w>
        <w lemma=""πρίσις"" msd=""POS=noun|Case=dat|Number=sg|Gender=fem"">πρίσει</w>
        <w lemma=""εἰς"" msd=""POS=preposition|GovCase=acc"">εἰς</w>
        <w lemma=""δύο"" msd=""POS=numeral|Case=acc|Number=pl|Gender=neut|Indeclinable=yes"">δύο</w>
        <pc>·</pc>
        <w lemma=""καί"" msd=""POS=conjunction"">καὶ</w>
        <w lemma=""τίθημι"" msd=""POS=verb|Tense=aor|Voice=pass|Mood=ind|Person=3|Number=sg"">ἐτέθη</w>
        <w lemma=""ὑποκάτω"" msd=""POS=preposition|GovCase=gen"">ὑποκάτω</w>
        <w lemma=""δρῦς"" msd=""POS=noun|Case=gen|Number=sg|Gender=fem"">δρυὸς</w>
        <w lemma=""Ῥωγήλ"" msd=""POS=properNoun|Case=gen|Number=sg|Gender=fem|Indeclinable=yes"">Ῥωγήλ</w>
        <pc>.</pc>
      </p>
    </body>
  </text>
</TEI>
```",85,100,100,100,True,"```markdown
85
```","```attribute
100
```","```xml
100
```",,,,0.0052416,0.00164475,0.000620872
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,openai/gpt-5.5,ok,True,0.016315,6.03,"<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
      <title type=""contents"">Lives of the Prophets (Vitae Prophetarum) - Isaiah</title>
    </titleStmt>
    <publicationStmt>
      <p>Unpublished TEI manuscript description prepared from supplied codicological record.</p>
    </publicationStmt>
    <sourceDesc>
      <msDesc xml:lang=""en"">
        <msIdentifier>
          <country>Vatican</country>
          <settlement>Vatican City</settlement>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <msName>Codex Marchalianus</msName>
        </msIdentifier>
        <msContents>
          <msItem xml:lang=""grc"">
            <title>Lives of the Prophets</title>
            <title type=""alternative"">Vitae Prophetarum</title>
            <title type=""part"">Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <extent>
                <dimensions type=""leaf"" unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1"">One-column layout.</layout>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote script=""Greek-unicial-majuscule"">Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra.</handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>",75,100,95,95,True,"```markdown
75
```","```xml
100
```","```95
```",,,,0.0033222,0.00224625,0.00061082
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,openai/gpt-5.5,ok,True,0.01109,5.86,"(1) **DIPLOMATIC transcription**

Eſaias filius amos. non illius  
p̄phe. ſed alterius qui ſimile nuncupat̄ ē. no  
mine. Ille enim ex numero paſtoꝝ fuit. de oppido  
thecue. Hic autẽ genere nobilı ortus ẽ. ierl̄m.  
Quẽ etiam hebrei aiunt ſocrũ fuiſſe manaſſe. In quo  
tanta fuit ſcitas. & uite excellentia. ut unam  
tamen diceret habuiſſe tunicam cilicinam. Quamqꝫ


(2) **NORMALIZED critical transcription**

Esaias filius Amos, non illius  
prophetae, sed alterius qui simile nuncupatus est no-  
mine. Ille enim ex numero pastorum fuit, de oppido  
Thecue. Hic autem genere nobili ortus est Hierusalem.  
Quem etiam Hebrei aiunt socrum fuisse Manasse. In quo  
tanta fuit scitas et vitae excellentia, ut unam  
tamen diceret habuisse tunicam cilicinam. Quamque",55,95,40,55,True,"Looking at the candidate answer against the ground truth:

**Diplomatic Layer Issues:**
- ""nobilı"" uses a dotless i instead of ""nobili""
- ""etiam"" missing macron (should be ""etiā"")
- **""tamen"" instead of ""tantū""** — this is a completely different word; the manuscript abbreviation ""tantū"" (for ""tantum"") is misread
- ""diceret"" missing macron (should be ""diceret̄"")
- ""tunicam""/""cilicinam"" missing macrons (should be ""tunicā""/""cilicinā"")
- ""Quamqꝫ"" uses ꝫ symbol where ground truth shows "":"" suspension

**Normalized Layer Issues:**
- **""nobili ortus est"" vs ""nobilis ortus in""** — significant grammatical divergence from ground truth
- **""tamen"" vs ""tantum""** — wrong word in normalized layer too
- The candidate's normalized reading of ""nobili ortus est Hierusalem"" differs structurally from the ground truth's ""nobilis ortus in Hierusalem""

The ""tamen""/""tantū"" error is particularly serious as it misreads a manuscript abbreviation entirely, and the normalized layer diverges meaningfully from the ground truth in the extended passage. Multiple missing macrons in the diplomatic layer also represent silent normalization failures.

```\n55\n```","```json
95
```","```40
```",,,,0.0088236,0.00092325,0.00175168
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,openai/gpt-5.5,ok,True,0.00341,2.89,"ille] Hic V ; substitutio

hic] Hic autem V ; additio

nobilis] nobili V ; substitutio

ortus in] ortus est V ; substitutio

atrocique] atroque V ; substitutio

extincxit] extinxit V ; orthographica",82,92,N/A,87,False,"Looking at the candidate answer against the ground truth:

**Variant detection:** All major variants are identified (ille→Hic, addition of autem, nobilis→nobili, in→est, atrocique→atroque, extincxit→extinxit). ✓

**Correct alignment:** Lemma/reading pairings are correctly aligned at the right words. ✓

**Variant typology:** 
- ille→Hic: substitution ✓
- autem addition: addition ✓
- nobilis→nobili: substitution ✓
- ortus in→ortus est: candidate says ""substitutio"" but ground truth classifies this as OMISSION of ""in"" (with est added). This is a typology error.
- atrocique→atroque: substitution ✓
- extincxit→extinxit: orthographic ✓

**Apparatus discipline:** Format is well-formed with lemma, reading, siglum, and classification. Uses Latin terms (acceptable). The candidate splits variant 2 into multiple entries, which is actually more granular than the ground truth.

**Issues:**
- The ""in"" omission is not explicitly flagged as omission; instead it's bundled into a ""substitutio"" label
- Minor: doesn't capture the full scope of variant 2 as a single complex unit with multiple changes

```markdown
82
```","```markdown
92
```",,,,not_needed,0.00435225,0.0018945,0.0
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,openai/gpt-5.5,ok,True,0.00546,3.51,"The Hebrews, moreover, report that Isaiah was killed for two reasons: first, because he had called them “rulers of Sodom” and “people of Gomorrah”; and second, because—although the Lord bears witness to Moses, “You will not be able to see my face”—he had dared to cry out, “I saw the Lord sitting upon a high throne …” The Jews, blinded in mind, did not consider that in what follows he had related that the Seraphim covered the face and feet of God, and that he writes that he saw only His middle part.

He lies beneath the oak of Rogel, beside the courses of the waters.",92,98,N/A,95,False,"```92
```","```
98
```",,,,not_needed,0.00342075,0.00188475,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,openai/gpt-5.5,ok,True,0.01666,6.84,"(1) Expanded normalized Latin text:

iuxta imperium domini nudo corpore nudoque vestigio in conventu populi conversatus est.

(2) Grammatical parse:

- **imp̃ium** = **imperium**
  - lemma: *imperium*
  - part of speech: noun
  - gender: neuter
  - case: accusative
  - number: singular
  - syntactic role: object of the preposition **iuxta**

- **dn̄i** = **domini**
  - lemma: *dominus*
  - part of speech: noun
  - gender: masculine
  - case: genitive
  - number: singular
  - syntactic role: dependent genitive modifying **imperium**

- **ppl̄i** = **populi**
  - lemma: *populus*
  - part of speech: noun
  - gender: masculine
  - case: genitive
  - number: singular
  - syntactic role: dependent genitive modifying **conventu**

- **conuerſatuſ ē** = **conversatus est**
  - lemma: *conversor*
  - part of speech: verb, deponent
  - form: perfect indicative
  - person: third
  - number: singular
  - gender: masculine nominative singular participial component **conversatus**
  - syntactic role: main verb phrase
  - translation sense: “he lived / conducted himself / dwelt”

(3) TEI P5 XML encoding:

```xml
<ab>
  iuxta
  <choice>
    <abbr>imp̃ium</abbr>
    <expan>imperium</expan>
  </choice>
  <choice>
    <abbr>dn̄i</abbr>
    <expan>domini</expan>
  </choice>
  nudo corpore. nudoq:
  <choice>
    <abbr>ueſtigio</abbr>
    <expan>vestigio</expan>
  </choice>
  in conuentu
  <choice>
    <abbr>ppl̄i</abbr>
    <expan>populi</expan>
  </choice>
  <choice>
    <abbr>conuerſatuſ ē</abbr>
    <expan>conversatus est</expan>
  </choice>.
</ab>
```",82,90,N/A,86,False,"Looking at the candidate answer against the ground truth:

**Part (1) Normalized text:** Mostly correct, but missing comma after ""corpore"" and ""Domini"" not capitalized. Minor.

**Part (2) Grammatical parses:** All four parses are accurate:
- imperium: acc. sg. neut., governed by iuxta ✓
- domini: gen. sg. masc., modifying imperium ✓
- populi: gen. sg. masc., modifying conventu ✓
- conversatus est: deponent, perfect indicative, 3rd sg., main predicate ✓

**Part (3) TEI XML:** Two notable errors:
1. **Failed to expand ""nudoq:""** as a `<choice>` element — left as plain text. The task explicitly requires expanding *all* abbreviations.
2. **Incorrectly added a `<choice>` for ""ueſtigio""** → ""vestigio"". This is NOT an abbreviation; the long-s (ſ) is just a scribal variant of ""v"", not an abbreviation mark. Treating it as an abbreviation is a misidentification.
3. Wrapped content in `<ab>` (not in ground truth, but not strictly wrong).
4. Punctuation: ""corpore."" with period instead of comma.

The morphological/lexical/syntactic analysis is excellent, but the TEI encoding has meaningful errors (one missed abbreviation, one false abbreviation).

```
82
```","```markdown
90
```",,,,not_needed,0.0052497,0.00145725,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,openai/gpt-5.5,ok,True,0.01148,7.39,"I can’t responsibly give a full diplomatic transcription from this image alone. Several strokes are too blurred/ambiguous in the supplied photograph, and a strict transcription should not turn doubtful shapes into certain letters.

Approximate visual line layout, marking fragment breaks and uncertainty, would be:

1. [...] 𐡕?𐡉?𐡍?𐡏? [...]  
2. [...] א֯ל֯א֯ / ש֯? [...] א֯ל֯ [...]  
3. [...] ב֯?ר֯? / א֯? [...]  
4. [...] מ֯?ח֯? / ש֯? [...]  

In Hebrew/Aramaic square script, with uncertainty retained:

1. [...] ת֯י֯ן֯ע֯ [...]  
2. [...] א֯ל֯א֯ [...] א֯ל֯ [...]  
3. [...] ב֯ר֯ [...] א֯ [...]  
4. [...] מ֯ח֯ [...] ש֯ [...]  

This is not a secure transcription; the fragment has visible lacunae at both lateral edges and internal damage/cracking, and multiple letters should remain marked doubtful pending examination of a higher-resolution image or the PAM/IAA plate.",10,25,10,10,True,"```json
10
```","```
25
```",```10```,,,,0.0027828,0.001755,0.00047964
