benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,moonshotai/kimi-k3,ok,False,0.019044,7.48,"**Diplomatic Layer (Majuscules, Scriptio Continua)**

*Line 1 (Title):*  
ΟΝΟΜΑΤΑΠΡΟΦΗΤΩΝ ΚΑΙΠΟΘΕΝΕΙϹΙ ΚΑΙΠΟΥ

*Line 2 (Title):*  
ΑΠΕΘΑΝΟΝ ΚΑΙΠΩϹ ΚΑΙΠΟΥΚΕΙΝΤΑΙ : ⸖ ⸖ ⁓

*Line 3 (Incipit):*  
ΗϹΑΙΑϹΑΠΟΙΕΡΟΥϹΑΛΗΜΩΝΗϹΚΕΙΥΠΟΜΑΝΑϹ

*Line 4 (Incipit):*  
ϹΗΤΗΡΙϹΘΕΙϹΕΙϹΔΥΟΚΑΙΕΤΕΘΗΥΠΟΚΑΤΩ

---

**Normalized Critical Layer (Lower-case, Expanded)**

*Line 1 (Title):*  
ὀνόματα προφητῶν καὶ πόθεν εἰσὶ καὶ ποῦ

*Line 2 (Title):*  
ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται

*Line 3 (Incipit):*  
Ἠσαΐας ἀπὸ Ἱερουσαλήμων ἦσκει ὑπὸ Μανασσῆ

*Line 4 (Incipit):*  
[ἐ]σητήρισθεὶς εἰς δύο καὶ ἐτέθη ὑποκάτω

---

**Philological Notes**

1. **Nomina Sacra:** The manuscript does not employ contracted *nomina sacra* (e.g., ΘϹ, ΙϹ, ΧϹ) in these four lines; all words are written in full scriptio continua.
2. **Lacuna/Conjecture:** In line 4, the initial epsilon of ἐσητήρισθεὶς is not visible in the manuscript image (the line begins with ϹΗΤΗΡΙϹΘΕΙϹ). The restoration [ἐ] is conjectural based on the context of the *Lives of the Prophets* narrative regarding Isaiah’s death by sawing.
3. **Orthography:** The normalized layer resolves the scriptio continua and supplies standard breathings and accents. Note the manuscript’s use of the lunate sigma (Ϲ) throughout, and the lunate omega (Ω) in Ἱερουσαλήμων (line 3), which is preserved in the diplomatic transcription.
4. **Punctuation:** The title concludes with a colon followed by three decorative marks (⸖ ⸖ ⁓), which are reproduced in the diplomatic layer.",40,75,15,40,True,```\n40\n```,"```
75
```","```markdown
15
```",,,,0.0061686,0.0011385,0.0006801304
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,moonshotai/kimi-k3,ok,False,0.006246,5.52,"ἔχει δὲ εἴσοδον ἀπὸ Γαβαών] ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών M ; (substitution: ἔχει δὲ → ἥτις ἔχει)

ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M ; (addition: πόθεν πίνουσιν)

καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ; (substitution: καὶ ἐδόθη αὐτοῖς χρησμὸς → ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς)",72,88,85,85,True,"Looking at each locus against the ground truth:

**Locus 1:** Correctly identified as substitution. Lemma and reading properly aligned. ✓

**Locus 2:** Correctly identified as addition. Lemma slightly longer than ground truth but acceptable. ✓

**Locus 3:** The candidate labels this as ""substitution"" but the ground truth correctly identifies it as **TRANSPOSITION + ADDITION** (ὅτι is added, and χρησμὸς/ἐδόθη swap positions with αὐτοῖς moving to the end). The candidate's description shows the word-order change in the arrow notation, but the typological label is wrong — it conflates two distinct phenomena into a single ""substitution."" ✗

**Scoring across dimensions:**
- Variant detection: All three variants found, none invented. Strong.
- Correct alignment: Lemmas/readings properly paired throughout. Strong.
- Variant typology: 2/3 correct; locus 3 misclassified (substitution vs. transposition+addition). Significant deduction.
- Apparatus discipline: Well-formed, no editorializing. Strong.

The misclassification of locus 3 is a meaningful error in typology — it fails to distinguish the addition of ὅτι from the word-order transposition, which are analytically distinct phenomena.

```markdown
72
```","```markdown
88
```","```markdown
85
```",,,,0.00494145,0.0012825,0.00063938
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,moonshotai/kimi-k3,ok,False,0.002583,12.53,"And God performed the sign of Siloam through the prophet: because, before he died, having become faint, he prayed to drink water, and immediately it was sent to him from it. For this reason it was called Siloam, which is interpreted “sent.” … Therefore, if the Jews came, water would come out; but if foreigners, it would not. For this reason, even to this day it flows out suddenly, so that the mystery may be shown.",85,92,N/A,88.5,False,```\n85\n```,"```
92
```",,,,not_needed,0.002664,0.0008625,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,moonshotai/kimi-k3,ok,False,0.023571,10.73,"**Regularized Greek Text**

Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

**Morphosyntactic Parse**

| Word | Lemma | POS | Morphology |
|------|-------|-----|------------|
| Ἠσαΐας | Ἠσαΐας | noun | nominative, singular, masculine |
| ἀπὸ | ἀπό | preposition | — |
| Ἱερουσαλὴμ | Ἱερουσαλήμ | noun | genitive, singular, feminine |
| θνῄσκει | θνῄσκω | verb | present, active, indicative, 3rd person, singular |
| ὑπὸ | ὑπό | preposition | — |
| Μανασσῆ | Μανασσῆς | noun | genitive, singular, masculine |
| ἐν | ἐν | preposition | — |
| πρίσει | πρίσις | noun | dative, singular, feminine |
| εἰς | εἰς | preposition | — |
| δύο | δύο | numeral | indeclinable |
| καὶ | καί | conjunction | — |
| ἐτέθη | τίθημι | verb | aorist, passive, indicative, 3rd person, singular |
| ὑποκάτω | ὑποκάτω | adverb | — |
| δρυὸς | δρῦς | noun | genitive, singular, feminine |
| Ῥωγήλ | Ῥωγήλ | noun | genitive, singular, feminine |

**TEI XML Encoding**

```xml
<?xml version=""1.0"" encoding=""UTF-8""?>
<TEI xmlns=""http://www.tei-c.org/ns/1.0"">
  <teiHeader>
    <fileDesc>
      <titleStmt>
        <title>Codex Marchalianus p. 11 - Greek Text Annotation</title>
      </titleStmt>
      <publicationStmt>
        <p>Annotation task output</p>
      </publicationStmt>
      <sourceDesc>
        <p>Codex Marchalianus, page 11</p>
      </sourceDesc>
    </fileDesc>
  </teiHeader>
  <text>
    <body>
      <p>
        <w lemma=""Ἠσαΐας"" msd=""noun.nom.sg.masc"">Ἠσαΐας</w>
        <w lemma=""ἀπό"" msd=""prep"">ἀπὸ</w>
        <w lemma=""Ἱερουσαλήμ"" msd=""noun.gen.sg.fem"">Ἱερουσαλὴμ</w>
        <w lemma=""θνῄσκω"" msd=""verb.pres.act.ind.3sg"">θνῄσκει</w>
        <w lemma=""ὑπό"" msd=""prep"">ὑπὸ</w>
        <w lemma=""Μανασσῆς"" msd=""noun.gen.sg.masc"">Μανασσῆ</w>
        <w lemma=""ἐν"" msd=""prep"">ἐν</w>
        <w lemma=""πρίσις"" msd=""noun.dat.sg.fem"">πρίσει</w>
        <w lemma=""εἰς"" msd=""prep"">εἰς</w>
        <w lemma=""δύο"" msd=""num.indecl"">δύο</w>
        <w lemma=""καί"" msd=""conj"">καὶ</w>
        <w lemma=""τίθημι"" msd=""verb.aor.pass.ind.3sg"">ἐτέθη</w>
        <w lemma=""ὑποκάτω"" msd=""adv"">ὑποκάτω</w>
        <w lemma=""δρῦς"" msd=""noun.gen.sg.fem"">δρυὸς</w>
        <w lemma=""Ῥωγήλ"" msd=""noun.gen.sg.fem"">Ῥωγήλ</w>
      </p>
    </body>
  </text>
</TEI>
```",80,95,75,80,True,"```markdown
80
```","```knot
95
```","```markdown
75
```",,,,0.0036132,0.0016305,0.000689332
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,moonshotai/kimi-k3,ok,False,0.0116415,4.11,"<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <p>Encoded for scholarly use.</p>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <country>Vatican</country>
          <settlement>Vatican City</settlement>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <msName>Codex Marchalianus</msName>
        </msIdentifier>
        <msContents>
          <msItem>
            <title xml:lang=""lat"">Vitae Prophetarum</title>
            <title xml:lang=""eng"">Lives of the Prophets</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
            <note>Isaiah</note>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <extent>
                <dimensions unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1"">1 column layout</layout>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote script=""uncial"">Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>",75,98,85,85,True,"```markdown
75
```","```oid
98
```","```xml
85
```",,,,0.0029436,0.00120375,0.001058332
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,moonshotai/kimi-k3,ok,False,0.018423,10.02,"**Diplomatic layer** (line breaks as in image; abbreviations and letterforms preserved as far as visible; uncertain readings marked):

Eſaias filius amos · non illius  
p̄phe · ſed alterius qui ſimile nuncupat̄ ē · no  
mine · Ille enim ex numero paſtoꝝ fuit · de oppido  
thecue · Hic autẽ genere nobili ortus ē · ierl̄m ·  
Qũ etiã hebrei aiunt ſocꝛũ fuiſſe manaſſe · In quo  
tanta fuit ſcitas · & uitẽ excellentia · ut unam  
tantũ diceret habuiſſe tunicã cilicinã · Quamq̃

**Normalized critical layer** (abbreviations expanded; orthography classicalized):

Esaias filius Amos, non illius  
prophetae, sed alterius qui simile nuncupatus est no-  
mine. Ille enim ex numero pastorum fuit, de oppido  
Thecue. Hic autem genere nobili ortus est Hierusalem,  
quem etiam Hebraei aiunt socerum fuisse Manasse. In quo  
tanta fuit sanctitas et vitae excellentia, ut unam  
tantum diceret habuisse tunicam cilicinam. Quamquam

**Notes on uncertainty / lacunae:**  
- The image is cropped at the right edge; final letters of some line-end words are partially cut off (e.g. *illius*, *no-*, *oppido*, *manaſſe*, *Quamq̃*). I have not supplied invisible text beyond what the visible abbreviation marks support.  
- *p̄phe* is expanded as *prophetae* (genitive), matching the syntax *non illius prophetae*.  
- *nuncupat̄ ē* is read as *nuncupatus est*; the suspension mark over *t* and the *ē* abbreviation are visible.  
- *paſtoꝝ* is expanded *pastorum*; the *ꝝ* (rum) abbreviation is clear.  
- *ierl̄m* is expanded *Hierusalem*; the manuscript form lacks initial *H* and uses the *l̄* suspension.  
- *Qũ* with nasal tilde is read *Quem* (accusative), referring back to Esaias; *etiã* = *etiam*; *ſocꝛũ* = *socerum*; *ſcitas* = *sanctitas* (the *an* suspension is visible); *tunicã cilicinã* = *tunicam cilicinam*; *Quamq̃* = *Quamquam*.  
- No conjectural restoration has been made for text lost to cropping.",85,98,55,85,True,"Looking at the candidate's transcription against the ground truth:

**Diplomatic Layer:**
- Line 1: ""Eſaias filius amos · non illius"" — matches ground truth (round s acceptable per rubric)
- Line 2: ""p̄phe · ſed alterius qui ſimile nuncupat̄ ē · no"" — correct, good use of long-s
- Line 3: ""mine · Ille enim ex numero paſtoꝝ fuit · de oppido"" — correct, ""Ille enim"" reading acknowledged
- Line 4: ""thecue · Hic autẽ genere nobili ortus ē · ierl̄m ·"" — ""nobili"" vs ground truth's ""nobilis"" is a minor discrepancy
- Lines 5-7: Generally good, but ""ſcitas"" misses the macron over i (ground truth: ""scītas""), and ""uitẽ"" adds a tilde not in ground truth (""uite"")

**Normalized Layer:**
- All expansions are correct and match the ground truth normalized text
- ""Esaias filius Amos... Hierusalem... sanctitas... Quamquam"" all properly expanded

**Strengths:**
- Excellent epigraphic restraint — explicitly notes right-edge cropping and refuses to invent text
- Clear layer separation between diplomatic and normalized
- Good use of medieval abbreviation forms (ꝛ for r, ꝝ for rum)
- Thorough scholarly notes explaining each abbreviation expansion
- Correctly preserves ""Ille enim"" per rubric allowance

**Weaknesses:**
- ""nobili"" vs ""nobilis"" (minor reading error)
- Missing macron on ""scītas"" (abbreviation mark missed)
- Added tilde on ""uitẽ"" not present in ground truth
- Some inconsistency in s-form usage (acceptable per rubric)

```85
```","```
98
```",``` 55 ```,,,,0.00793935,0.001179,0.0013601804
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,moonshotai/kimi-k3,ok,False,0.0071055,2.76,"**Critical Apparatus: Isidore §37 (Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985)**

1. **ille**] Hic V ; [substitution: demonstrative pronoun *ille* → *hic*]

2. **hic**] Hic autem V ; [addition: postpositive conjunction *autem*]

3. **nobilis**] nobili V ; [substitution: adjectival inflection *nobilis* (nom./gen. sg.) → *nobili* (abl. sg.)]

4. **ortus**] ortus est V ; [addition: copula *est*]

5. **in Hierusalem**] Hierusalem V ; [omission: preposition *in*]

6. **atrocique**] atroque V ; [orthographic: syncope of intervocalic *c* (*atrocī-* → *atro-*)]

7. **extincxit**] extinxit V ; [orthographic: metathesis of consonantal cluster *xc* → *x* (*extincxit* → *extinxit*)]",88,95,N/A,91.5,False,"Looking at the candidate's apparatus against the ground truth:

**Variant 1 (ille → Hic):** Correctly identified as substitution. ✓

**Variant 2 (hic genere nobilis ortus in Hierusalem → Hic autem genere nobili ortus est Hierusalem):** The candidate correctly identifies:
- Addition of *autem* ✓
- Substitution *nobilis* → *nobili* ✓
- Addition of copula *est* ✓ (this is a real variant present in the prompt data, even though ground truth doesn't list it)
- Omission of *in* ✓

The candidate splits this into multiple lemmas rather than one combined entry, but all variants are correctly identified and aligned.

**Variant 3 (atrocique...extincxit → atroque...extinxit):**
- *atrocique* → *atroque*: Candidate classifies as **orthographic** (syncope), ground truth classifies as **substitution**. This is a typological disagreement — both are defensible, but the ground truth treats it as substitution.
- *extincxit* → *extinxit*: Correctly classified as orthographic. ✓

**Evaluation against rubric:**
- *Variant detection:* All real variants found; no invented variants. The candidate is actually more thorough than ground truth (identifying *est* addition). ✓
- *Correct alignment:* Lemmas properly aligned to the differing words. ✓
- *Variant typology:* Mostly correct; one disagreement on *atroque* (orthographic vs. substitution). Minor issue.
- *Apparatus discipline:* Well-formed with lemma/reading/sigla; slightly more editorial commentary than necessary but not problematic.

The apparatus is thorough, accurate, and well-formed. The only notable issue is the *atroque* classification disagreement, which is a minor typological call.

```markdown
88
```",```95```,,,,not_needed,0.0057495,0.00231975,0.0
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,moonshotai/kimi-k3,ok,False,0.0187065,10.08,"**Translation:**

""Moreover, the Hebrews transmit that Isaiah was killed for two reasons: first, because he called them 'princes of Sodom' and 'people of Gomorrah'; second, because, although the Lord testified to Moses, 'You will not be able to see my face,' he dared to exclaim, 'I saw the Lord seated upon a high throne...'—the Jews, blinded in mind, not considering that in what follows he had narrated that the Seraphim covered the face and feet of God, and writes that he saw only his middle parts. He lies beneath the oak of Rogel, near the watercourses.""

---

**Philological notes:**

1. **appellauerit** — The manuscript preserves the classical orthography with *-u-* (appellāverit) rather than the later medieval *appellaverit*. This is retained as transcribed.

2. **« non poteris uidere faciem meam »** — The citation of Exodus 33:20 follows the Vulgate tradition, though the Vulgate reads *non enim videbit me homo et vivet*; Isidore's formulation here is closer to the Old Latin (Vetus Latina) tradition or a free adaptation. The manuscript's *uidere* (with *u* for *v*) is standard medieval orthography.

3. **« Vidi Dominum sedentem super thronum excelsum... »** — Isaiah 6:1. The ellipsis (...) indicates the quotation is truncated in the source text itself, not by manuscript damage.

4. **caecati mente Iudaei** — The ablative of respect/specification (*mente*) with the perfect passive participle. The phrase reflects the adversus Iudaeos tradition common in patristic literature.

5. **faciem et pedes Dei Seraphin texisse** — The accusative-infinitive construction depends on *narrauerat* (pluperfect, indicating prior narration in the biblical text). *Seraphin* is indeclinable here (Hebrew plural treated as singular or plural in Latin). The reference is to Isaiah 6:2, where the seraphim cover their own faces and feet; Isidore (or his source) interprets this as covering God's face and feet, leaving only the ""middle"" (*media*) visible.

6. **scribat** — The present subjunctive in a subordinate clause (depending on *non arbitrantes... quod*), indicating reported/perceived authorship: ""that he writes.""

7. **Iacet sub quercu Rogel** — *Rogel* (Hebrew: רֹגֵל, ""fuller's [spring]"") is a toponym from the En-rogel spring in the Kidron Valley (Joshua 15:7; 2 Samuel 17:17). The tradition of Isaiah's burial under an oak at Rogel appears in the *Ascension of Isaiah* and related martyrological traditions.

8. **decursus aquarum** — ""watercourses"" or ""channels of water,"" likely referring to the conduits or the flow of the Kidron/Siloam water system near En-rogel. The plural *decursus* (4th declension) is retained.

**Textual status:** The passage appears complete; no lacunae are indicated in the transcription provided. The orthography (*Hebraei*, *Esaiam*, *Moysen*, *thronum*, *caecati*) is consistent with early medieval Insular or Continental scribal practice and has been preserved without normalization.",90,98,N/A,94,False,```\n90\n```,"```
98
```",,,,not_needed,0.00442125,0.0010065,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,moonshotai/kimi-k3,ok,False,0.0242865,8.54,"Here is the diplomatic annotation for the phrase from Vat. lat. 629, f. 3v.

### (1) Expanded Normalized Latin Text

*iuxta imperium domini nudo corpore, nudoque vestigio in conventu populi conversatus est.*

**Note on orthography:** The manuscript employs the long s (ſ) in *conuerſatuſ* and the Tironian et (⁊) or similar nota for the enclitic *-que* (here represented as *q:*). The expansion *conversatus* reflects the classical form, though the manuscript shows the medieval orthographic convention of *ſ* for *s*.

### (2) Grammatical Parse

| Form | Expansion | Parse | Function in Context |
|------|-----------|-------|---------------------|
| **imp̃ium** | *imperium* | Noun, neuter, accusative singular (from *imperium, -i*) | Object of the preposition *iuxta* (""according to the command/authority"") |
| **dn̄i** | *domini* | Noun, masculine, genitive singular (from *dominus, -i*) | Possessive genitive modifying *imperium* (""of the lord/master"") |
| **ppl̄i** | *populi* | Noun, masculine, genitive singular (from *populus, -i*) | Possessive genitive modifying *conventu* (""of the people"") |
| **conuerſatuſ ē** | *conversatus est* | Deponent verb, perfect active indicative, 3rd person singular (from *conversor, -ari, -atus sum*) | Main verb of the clause (""he lived/conducted himself"") |

**Syntactic note:** The ablative phrases *nudo corpore* and *nudo vestigio* are ablatives of manner or description, indicating the state of the subject while ""conversing"" (in the sense of conducting oneself or dwelling) in the assembly.

### (3) TEI P5 XML Encoding

```xml
<ab>
  <choice>
    <abbr>iuxta</abbr>
    <expan>iuxta</expan>
  </choice>
  <choice>
    <abbr>imp<am>̃</am>ium</abbr>
    <expan>im<ex>per</ex>ium</expan>
  </choice>
  <choice>
    <abbr>dn<am>̄</am>i</abbr>
    <expan>d<ex>omi</ex>ni</expan>
  </choice>
  <choice>
    <abbr>nudo</abbr>
    <expan>nudo</expan>
  </choice>
  <choice>
    <abbr>corpore</abbr>
    <expan>corpore</expan>
  </choice>
  <choice>
    <abbr>nudo<am>q:</am></abbr>
    <expan>nudo<ex>que</ex></expan>
  </choice>
  <choice>
    <abbr>ueſtigio</abbr>
    <expan>vestigio</expan>
  </choice>
  <choice>
    <abbr>in</abbr>
    <expan>in</expan>
  </choice>
  <choice>
    <abbr>conuentu</abbr>
    <expan>conventu</expan>
  </choice>
  <choice>
    <abbr>ppl<am>̄</am>i</abbr>
    <expan>p<ex>opu</ex>li</expan>
  </choice>
  <choice>
    <abbr>conuerſatuſ</abbr>
    <expan>conversatus</expan>
  </choice>
  <choice>
    <abbr>ē</abbr>
    <expan>est</expan>
  </choice>
</ab>
```

**Encoding notes:**
- The abbreviation mark (macron/tilde) is encoded using `<am>` (abbreviation marker) with the combining diacritical character (U+0303 for the tilde, U+0304 for the macron) to preserve the diplomatic evidence of the scribal hand.
- The Tironian et or *q:* abbreviation for the enclitic *-que* is expanded as *que* within the `<expan>` element.
- The long s (ſ) in *conuerſatuſ* is retained in the `<abbr>` (diplomatic) layer but normalized to *s* in the `<expan>` (interpretive) layer, following TEI P5 conventions for historical orthography.",88,98,N/A,93,False,"```markdown
88
```","```chart
98
```",,,,not_needed,0.00400695,0.00131175,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,moonshotai/kimi-k3,ok,False,0.018018,6.87,"**Diplomatic Transcription – 4Q530 (Book of Giants), Frag. 6, Col. 2**

*Infrared image; reading right-to-left. Uncertain letters marked with supralinear dot (◌̇); physical lacunae indicated by square brackets.*

**Line 1** (top edge, severely abraded)  
[...] י̇ש̇א̇ל̇ י̇ה̇ו̇ד̇א̇ [...]

**Line 2**  
[...] מ̇ל̇א̇כ̇י̇א̇ ו̇י̇ש̇מ̇ע̇ו̇ן̇ [...]

**Line 3**  
[...] ב̇י̇ת̇ א̇ל̇ ו̇י̇ר̇ד̇ו̇ [...]

**Line 4** (bottom edge, fragmentary)  
[...] ע̇מ̇י̇ד̇י̇א̇ ו̇י̇ק̇ו̇מ̇ו̇ן̇ [...]

---

**Epigraphic Notes:**

1. **Line 1:** Only the lower strokes of the first visible word are preserved; the reading ישׁאל is highly conjectural based on the surviving verticals and the context of the *Book of Giants*, but the surface is too worn for certainty. The second word shows clear *yod-he-waw* sequence with a final *aleph* or *he*.

2. **Line 2:** The first word preserves the characteristic *mem-lamed-aleph* opening of מלאכיא (angels), though the *kaph* and *yod* are damaged. The second word shows the *shin-mem-ayin* root with a *waw* prefix and *nun* suffix, consistent with a verb form, but the medial letters are abraded.

3. **Line 3:** The sequence בית אל is legible despite surface cracking, though the *tav* is partially lost. The following verb shows *yod-resh-dalet* with a *waw* prefix, suggesting a form of ירד (to descend), but the final letter is uncertain.

4. **Line 4:** The bottom line is the most damaged. The first word appears to contain *ayin-mem-yod-dalet* (possibly עמידיא or similar), but the leather is torn. The final word preserves *waw-yod-qof-waw-mem* with a possible *nun* suffix, though the *qof* is damaged.

**Physical Description:** The fragment shows three horizontal cracks running through the text block, with significant loss at the right margin (lines 1–2) and bottom edge. The ink is carbon-based, showing typical flaking in the infrared spectrum. No supralinear corrections or scribal marks are visible in the preserved areas.",0,10,N/A,5,False,"```0
```","```
10
```",,,,not_needed,0.00270285,0.0011505,0.0
