benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,openai/gpt-5.6-sol,ok,False,0.00485,14.13,"**(1) DIPLOMATIC**

```text
ΟΝΟΜΑΤΑΠΡΟΦΗΤⲰΝ ΚΑΙΠΟΘΕΝΕΙϹΙ ΚΑΙΠΟΥ
ΑΠΕΘΑΝΟΝ ΚΑΙΠⲰϹ ΚΑΙΠΟΥΚΕΙΝΤΑΙ · ⸖ ⁓

ΗϹΑΪΑϹΤΟΙϹΕΡΟΥϹΑΛΗΜΙΤΑΙϹΕΓΕΝΝΗΘΗϹΚΕΙΓΥΤΤⲰΑΜΑϹ
ΕΗΤΠΡΙϹΘΕΙϹΠΡΙⲰΝΙ ΚΑΙΕΤΕΘΗΥΠΟΚΑΤⲰ
```

**(2) NORMALIZED CRITICAL**

```text
Ὀνόματα προφητῶν καὶ πόθεν εἰσὶ καὶ ποῦ
ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται.

Ἠσαΐας τοῖς Ἱεροσολυμίταις ἐγεννήθη, [lacuna/unclear: ϹΚΕΙΓΥΤΤⲰΑΜΑϹ]
ἐπρισθεὶς πρίονι, καὶ ἐτέθη ὑποκάτω…
```

The end of the third visible line is not securely legible in the supplied image; I therefore do not restore it conjecturally. The fourth line is cut off after **ὑποκάτω**, so the sentence remains incomplete.",15,45,12,15,True,"Looking at the candidate's diplomatic transcription against the ground truth:

**Line 1**: Mostly correct (acceptable spacing per rubric notes).

**Line 2**: Punctuation differs significantly — ground truth has `:⸖⸖⁓` but candidate has `· ⸖ ⁓` (missing colon and one ⸖).

**Line 3**: **Completely wrong**. Ground truth: `ΗϹΑΪΑϹΑΠΟΪΕΡΟΥϹΑΛΗΜΘΝΗϹΚΕΙΫΠΟΜΑΝΑϹ`. Candidate: `ΗϹΑΪΑϹΤΟΙϹΕΡΟΥϹΑΛΗΜΙΤΑΙϹΕΓΕΝΝΗΘΗϹΚΕΙΓΥΤΤⲰΑΜΑϹ`. The candidate has hallucinated an entirely different text (""τοῖς Ἱεροσολυμίταις ἐγεννήθη"" instead of ""ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ"").

**Line 4**: **Completely wrong**. Ground truth: `ϹΗΠΡΙϹΘΕΙϹΕΙϹΔΥΟ·ΚΑΙΕΤΕΘΗΫΠΟΚΑΤⲰ`. Candidate: `ΕΗΤΠΡΙϹΘΕΙϹΠΡΙⲰΝΙ ΚΑΙΕΤΕΘΗΥΠΟΚΑΤⲰ`. Missing the line-continuation ""ϹΗ"" (completing ΜΑΝΑϹΗ) and has ""ΠΡΙⲰΝΙ"" instead of ""ΕΙϹΔΥΟ·"".

**Positive notes**: The candidate correctly recognized the crop boundary at line 4 and did not invent text beyond it. Layer discipline is maintained.

**Negative notes**: Lines 3-4 constitute the majority of the incipit text and are fundamentally misread — not minor orthographic variants but entirely different Greek words. This represents a catastrophic diplomatic failure on the core content.

```json
15
```","```json
45
```","```12
```",,,,0.0066816,0.0031365,0.00071862
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,openai/gpt-5.6-sol,ok,False,0.002332,6.01,"ἔχει δὲ εἴσοδον ἀπὸ Γαβαών] ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών M (add. ἥτις; om. δὲ) ;

ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M (add.) ;

καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M (add. ὅτι; transp. χρησμὸς et ἐδόθη αὐτοῖς) ;",80,95,100,95,True,"Looking at the candidate answer against the ground truth:

**Locus 1:** The candidate identifies the change correctly (ἥτις added, δὲ omitted) but classifies it as ""add. ἥτις; om. δὲ"" rather than the ground truth's ""SUBSTITUTION."" Since ἥτις occupies the same syntactic slot as δὲ, this is a substitution, not a true addition. Typology misclassified.

**Locus 2:** Correctly identified as an addition. ✓

**Locus 3:** Correctly identified as both an addition (ὅτι) and a transposition (χρησμὸς/ἐδόθη αὐτοῖς). ✓

**Evaluation against rubric:**
- *Variant detection*: All three variants found, none invented. ✓
- *Correct alignment*: Lemmas align properly with the readings. ✓
- *Variant typology*: Locus 1 misclassified (substitution vs. addition+omission); loci 2 and 3 correct.
- *Apparatus discipline*: Well-formed with proper lemma/siglum/variant structure, no editorializing.

The main deduction is for the typological misclassification at locus 1, where the candidate treats a clear substitution (one word replacing another in the same slot) as separate addition and omission.

```markdown
80
```","```markdown
95
```","```markdown
100
```",,,,0.0039756,0.0025335,0.0013895
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,openai/gpt-5.6-sol,ok,False,0.002058,4.21,"“And God performed the sign of Siloam through the prophet: because, shortly before his death, having grown faint, he asked to drink water, and immediately [water] was sent to him from it. For this reason it was called Siloam, which is interpreted ‘one who has been sent’ … Accordingly, whenever the Jews came, water would flow forth; but whenever foreigners came, it would not. Therefore, even to this day, it flows forth suddenly, so that the mystery may be made manifest.”

The ellipsis after **ἀπεσταλμένος** marks a lacuna or omitted intervening text in the passage as supplied; no restoration is attempted.",82,92,N/A,87,False,```82```,"```
92
```",,,,not_needed,0.0036162,0.0008805,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,openai/gpt-5.6-sol,ok,False,0.011294,23.76,"## Regularized Greek

Ἠσαΐας ἀπὸ Ἱερουσαλήμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

Only the accentuation of **Ἱερουσαλὴμ → Ἱερουσαλήμ** has been regularized. The manuscript reading **πρίσει** is retained and not emended to conjectural **πρίσει/πρίσει** or **πρίσει** construed otherwise.

## Morphosyntactic parse

| Form | Lemma | POS | Morphology | Syntactic function |
|---|---|---|---|---|
| Ἠσαΐας | Ἠσαΐας | proper noun | nominative singular masculine | subject of θνῄσκει and understood subject of ἐτέθη |
