benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,qwen/qwen3.8-27b,ok,False,0.00131915,4.14,"Here are the two transcription layers for the visible text of Codex Marchalianus p. 11.

**(1) DIPLOMATIC LAYER (majuscules, preserving scriptio continua, lunate sigmas/omegas, nomina sacra, and line breaks):**

ΟΝΟΜΑΤΑ ΠΡΟΦΗΤΩΝ ΚΑΙ ΤΟ ΘΕΝΕΙΣΙ ΚΑΙ ΤΟΥ
ΔΙΓΕΘΑΝΟΝ ΚΑΙ ΠΩΣ ΚΑΙ ΤΟΝ ΚΕΙΝΤΑΙ : ⁓ χ
Η ΣΑΙΣΑ ΠΟΙΕΡΟΥΣΑΛΗΜΗΝ ΗΣ ΚΕΙ Υ ΤΤΟΜΑΝΑΣ
ΕΝ ΠΡΙΣΘΕΙΣΙΣ ΔΥΟ ΚΑΙ ΕΤΕΘΗ ΥΠΟ ΚΑΤΩ

**(2) NORMALIZED CRITICAL LAYER (lower-case, expanded nomina sacra, standard word division):**

ὀνόματα προφητῶν καὶ τὸ θένεισι καὶ τοῦ
διγεθάνον καὶ πῶς καὶ τὸν κείνται : ⁓ χ
ἡ Σαΐσα ποιερουσαλημην ἡς κεὶ ὕ ττομανας
ἐν πρισθεισις δύο καὶ ἐτεθὴ ὑπὸ κατῶ",5,32,15,15,True,"```5
```","```
32
```",```15```,,,,0.00319485,0.001863,0.000918168
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,qwen/qwen3.8-27b,ok,False,0.0006079,1.45,"1. ἔχει δὲ εἴσοδον ἀπὸ Γαβαών ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών M ;
2. ἠρώτων γὰρ οἱ πολέμιοι ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M ;
3. καὶ ἐδόθη αὐτοῖς χρησμὸς ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ;",15,25,N/A,20,False,"Looking at the candidate answer against the ground truth:

**Variant detection**: The candidate shows both readings for each locus but fails to isolate the specific points of difference. The actual variants (ἥτις for δὲ; +πόθεν πίνουσιν; +ὅτι with word order) are buried in full-text repetition rather than identified.

**Correct alignment**: No lemma notation [ ] is used. The candidate simply concatenates the full S reading with the full M reading, rather than aligning witnesses at the specific word(s) of difference.

**Variant typology**: No classification is provided whatsoever. The ground truth explicitly labels SUBSTITUTION, ADDITION, and TRANSPOSITION/ADDITION — the candidate offers none.

**Apparatus discipline**: The output is not a properly formed critical apparatus. It lacks lemma brackets, lacks variant classification, and lacks the standard `reading Siglum ;` structure. It is essentially a side-by-side text dump.

The candidate does not invent any readings and shows the correct textual data, but it fails to produce an apparatus in any meaningful sense.

```markdown
15
```","```text
25
```",,,,not_needed,0.00463635,0.00104325,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,qwen/qwen3.8-27b,ok,False,0.0004468,1.42,"And God performed the sign of Siloam through the prophet; for, having slighted his impending death, he prayed to drink water, and immediately it was sent forth from him; therefore it was called Siloam, which is interpreted “sent forth”... so that whenever the Jews came, water went forth; but if foreigners, not; therefore even to this day it goes forth suddenly, so that the mystery might be shown.",62,65,N/A,63.5,False,"Looking at the candidate translation against the ground truth:

**Lexical accuracy issues:**
- ""διὰ τὸν προφήτην"" rendered as ""through the prophet"" vs. ground truth's ""for the sake of the prophet"" — a significant interpretive divergence
- ""ὀλιγωρήσας"" as ""having slighted his impending death"" vs. ""having grown faint"" — both possible but different
- ""ἐξ αὐτοῦ"" rendered as ""from him"" vs. ""from it"" (the spring) — the ground truth's reading is more contextually appropriate
- ""ἀπεσταλμένος"" expanded to ""sent forth"" vs. simply ""Sent"" — minor addition

**Morphological correctness:** Generally acceptable.

**Handling of uncertainty:** No lacunae to flag; no hallucinated restorations.

**Critical error:**
- ""ἐὰν οὖν"" translated as ""so that whenever"" — this is a clear error. ""οὖν"" is inferential/consecutive, not purposive. The ground truth's ""If therefore"" is correct. This changes the logical structure of the sentence.

**Formal stuckness:** No normalization of anomalies detected.

The translation is readable and captures general meaning, but contains one clear error (ἐὰν οὖν) and several interpretive divergences from the ground truth that affect accuracy.

```\n62\n```","```
65
```",,,,not_needed,0.00574065,0.001482,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,qwen/qwen3.8-27b,ok,False,0.00234075,5.41,"Here is the philological analysis and TEI XML encoding for the text from Codex Marchalianus (510), p. 11.

**Notes on the Text:**
1.  **Ἠσαΐας**: The manuscript spelling with the rough breathing and iota subscript is preserved. Lemma is *Ἠσαΐας*.
2.  **Ἱερουσαλὴμ**: Dative singular of *Ἱερουσαλὴμ*.
3.  **θνῄσκει**: Present indicative active, 3rd person singular of *θνῄσκω* (a variant of *θνῄσκω/θνῄσκω*, meaning ""he dies"").
4.  **Μανασσῆ**: Dative singular of *Μανασσῆς*.
5.  **πρίσει**: Dative singular of *πρίσις* (prison/captivity).
6.  **δρυὸς**: Genitive singular of *δρυς* (tree).
7.  **Ῥωγήλ**: Proper noun, likely a variant or corruption of *Ῥαχὴλ* or similar, but preserved exactly as transcribed.

```xml
<w lemma=""Ἠσαΐας"" msd=""noun,nom,sing,masc"">Ἠσαΐας</w>
<w lemma=""Ἱερουσαλὴμ"" msd=""noun,datt,sing,fem"">ἀπὸ</w>
<w lemma=""Ἱερουσαλὴμ"" msd=""noun,datt,sing,fem"">Ἱερουσαλὴμ</w>
<w lemma=""θνῄσκω"" msd=""verb,pres,ind,act,3rd,sing"">θνῄσκει</w>
<w lemma=""ὑπό"" msd=""prep"">ὑπὸ</w>
<w lemma=""Μανασσῆς"" msd=""noun,datt,sing,masc"">Μανασσῆ</w>
<w lemma=""ἐν"" msd=""prep"">ἐν</w>
<w lemma=""πρίσις"" msd=""noun,datt,sing,fem"">πρίσει</w>
<w lemma=""εἰς"" msd=""prep"">εἰς</w>
<w lemma=""δύο"" msd=""num,datt,sing,masc"">δύο</w>
<w lemma=""καί"" msd=""conj"">καί</w>
<w lemma=""τίθημι"" msd=""verb,aor,ind,pas,3rd,sing"">ἐτέθη</w>
<w lemma=""ὑποκάτω"" msd=""adv"">ὑποκάτω</w>
<w lemma=""δρυς"" msd=""noun,gen,sing,fem"">δρυὸς</w>
<w lemma=""Ῥωγήλ"" msd=""noun,nom,sing,masc"">Ῥωγήλ</w>
```",35,55,25,35,True,"Looking at the candidate answer against the ground truth, I need to evaluate each word's parse:

**Correct parses:**
- Ἠσαΐας, θνῄσκει, ὑπό, ἐν, πρίσει, εἰς, καί, ἐτέθη, δρυὸς — all correctly parsed.

**Significant errors:**
1. **ἀπὸ is missing as a separate word** — it's encoded with the wrong lemma (Ἱερουσαλὴμ) and wrong msd (noun dative). This is a major structural error.
2. **Ἱερουσαλήμ** — parsed as dative singular, but it's indeclinable and governed by ἀπό (genitive context). Wrong case.
3. **Μανασσῆ** — parsed as dative singular, but it's genitive singular governed by ὑπό (agent). Wrong case — this is a confidently wrong morphology.
4. **Ῥωγήλ** — parsed as nominative singular masculine, but it's indeclinable. Wrong.
5. **ὑποκάτω** — parsed as adverb, but it functions as an improper preposition governing the genitive (δρυός).
6. **δύο** — given unnecessary case/number/gender tags; it's a numeral.
7. **πρίσις gloss** — ""prison/captivity"" is wrong; it means ""sawing.""

The candidate shows understanding of the main verbal forms but makes multiple confidently wrong case assignments, particularly for the governed nouns, and has a structural error with ἀπό.

```markdown
35
```","```markdown
55
```","```markdown
25
```",,,,0.0078192,0.001407,0.000637112
