benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,xiaomi/mimo-v2.6-pro,provider error (400): Upstream error from Xiaomi: Invalid request parameters,False,0.0,45.92,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,xiaomi/mimo-v2.6-pro,ok,False,0.002834895,22.88,"## COLLATIONES
### Codex Marchalianus (Vat. gr. 2125, p. 11 = **M**) ad textum fundum Schermann 1907 = **S**

**Praefatio critica.** In tribus locis infra tractatis neque in S neque in M ullum lacunae signum in transcriptionibus exhibetur; textus igitur continuus est, nihil supplementi, nihil coniecturae ab editore additur. Orthographia et accentus testium (Γαβαών, χρησμὸς, ἠρώτων) sine emendatione servantur, neque scripturae discrepantiae normantur. Lemmata ex S sumuntur; lectio M separatim ponitur.

---

### Locus 1
**S** ἔχει δὲ εἴσοδον ἀπὸ Γαβαών
**M** ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών

**Apparatus**
[ἔχει δὲ] ἥτις ἔχει M ;

**Analysis**
- [ἔχει] ante ἔχει] + ἥτις M ; — **additio** (pronominis relativi ἥτις, fem. sing., cum antecedente fem. coniuncti).
- [δὲ] post ἔχει] om. M ; — **omissio** (particulae δέ).

Composita haec distinctio est: uno intuitu **substitutio** (ἔχει δὲ → ἥτις ἔχει), sed in partes suas dissoluta additio + omissio est. Verbum ἔχει locum suum servat; εἴσοδον ἀπὸ Γαβαών in utroque teste congruit.

---

### Locus 2
**S** ἠρώτων γὰρ οἱ πολέμιοι
**M** ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν

**Apparatus**
[οἱ πολέμιοι] οἱ πολέμιοι πόθεν πίνουσιν M ;

**Analysis**
- [πολέμιοι] post πολέμιοι] + πόθεν πίνουσιν M ; — **additio** (interrogativi indirecti cum verbo πίνουσιν; pl. numerus verbi cum οἱ πολέμιοι congruit).

Restans textus (ἠρώτων γὰρ οἱ πολέμιοι) verbotenus congruit; nec additio nec omissio alia in hoc versu. De causa additionis (complementum obiecti verbi ἠρώτων explens, an glossa marginalis in textum recepta) nihil hic statuitur; in codice M verba cum praecedentibus continua scripta sunt.

---

### Locus 3
**S** καὶ ἐδόθη αὐτοῖς χρησμὸς
**M** ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς

**Apparatus**
[καὶ] ὅτι καὶ M ; · [ἐδόθη αὐτοῖς χρησμὸς] χρησμὸς ἐδόθη αὐτοῖς M ;

**Analysis** (duo variantes distinguuntur)
1. [καὶ] ante καὶ] + ὅτι M ; — **additio** (coniunctionis ὅτι, quae apodoticam enuntiationem cum antecedentibus connectit).
2. [αὐτοῖς χρησμὸς] χρησμὸς … αὐτοῖς M ; — **transpositio** (verborum αὐτοῖς et χρησμὸς inter se permutatorum: χρημσὸς — ut in M scriptum est — ante ἐδόθη collocatur, αὐτοῖς post ἐδόθη). In apparatus verbis καὶ ὅτι omissis chiasmus simpliciter exprimitur.

Note: in M verba χρησμὸς et αὐτοῖς suis locis manent, sed ordo membrorum inter se invertitur; ideo non omissio/additio sed sola **transpositio** (inversio) statuitur. Neque καὶ neque ἐδόθη orthographice variantur.

---

### Conspectus

| Locus | Classificatio | Forma apparatus |
|---|---|---|
| 1 | substitutio (=additio ἥτις + omissio δέ) | [ἔχει δὲ] ἥτις ἔχει M ; |
| 2 | additio | [οἱ πολέμιοι] οἱ πολέμιοι πόθεν πίνουσιν M ; |
| 3a | additio | [καὶ] ὅτι καὶ M ; |
| 3b | transpositio | [ἐδόθη αὐτοῖς χρησμὸς] χρησμὸς ἐδόθη αὐτοῖς M ; |

**Reservatio.** In omnibus tribus locis M aliquamdiu S superat (additiones sermonem explicantem, ordinem verborum inversum); quae ratione critica ponderentur hic non diiudicatur — textus Marchaliani scriptura talis qualis est sine correctione exhibetur. Nullum verbum e coniectura restitutum est; neque lacuna ulla in hisce versibus deprehenditur.",85,100,95,95,True,"```markdown
85
```","```json
100
```","```markdown
95
```",,,,0.0042162,0.001341,0.0008643
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,xiaomi/mimo-v2.6-pro,ok,False,0.0058551,93.83,"## Preliminary caution regarding the locus

The text presented cannot be drawn from the biblical column of Codex Marchalianus (Vat. Reg. gr. 1, saec. VI), which transmits the Prophets (Is., Ier., Ez., Dan., XII Proph.) in majuscule. A prose narrative of this character, if authentic to the codex, must belong to the scholia/annotation layer (the Hexaplaric and later marginal notes in minuscule), not to the Septuagintal text proper. The page reference ""p. 11"" cannot be verified against the foliation of the codex in my present state of knowledge, and I therefore transmit the passage as given without guaranteeing the attribution. Note also that the etymological gloss ὃ ἑρμηνεύεται ἀπεσταλμένος is a verbatim reproduction of John 9:7 (cf. the variant at 7:39, τοῦτο δὲ εἶπεν περὶ τοῦ πνεύματος ὃ ἔμελλον λαμβάνειν οἱ πιστεύοντες εἰς αὐτόν), and the phraseology is that of Byzantine chronographic–parabiblical exposition rather than of the LXX.

The identity of ""the prophet"" is not stated in the transmitted words; the surrounding tradition (Isaiah and the water sign at his death) points to Isaiah, but this is an inference and is not contained in the text.

## Translation

""And God wrought the sign of Siloam through the prophet: for before he died, being — [the transmitted participle is anomalous, see n. 2] — he prayed to drink water, and straightway it was sent to him out of it [or: out of Him, see n. 3]. Wherefore it was called Siloam, which is interpreted 'Sent'... [**the text is broken at this point**; the extent of the loss is not indicated in the transcription and no restoration is offered here, see n. 4]. If, then, the Jews came, the water would issue forth; but if aliens [came], not. Wherefore to this day it issues forth suddenly, that the mystery might be made manifest.""

## Philological notes

**1. Σιλωὰμ / Σιλωάμ.** The accentuation varies within the passage (τοῦ Σιλωὰμ against ἐκλήθη Σιλωάμ, and cf. Σιλωάμ). Both forms are reproduced as they stand; no normalization to a single accentual type has been made. The English gives ""Siloam"" throughout, since English orthography has no means of registering the variation.

**2. ὀλιγωρήσας.** The participle is lexically difficult in this context. Its ordinary sense, ""having made light of, having slighted, having shown contempt,"" admits no ready construal with πρὸ τοῦ θανεῖν … ηὔξατο πιεῖν ὕδωρ. A sense of privation or faintness cannot be demonstrated for the verb in classical or LXX usage. I have therefore left the word untranslated in the English line rather than force a rendering, and I propose no emendation (e.g. to a form of διψάω or ἀπορέω); any such conjecture would be purely conjectural and is expressly withheld.

**3. ἀπεστάλη αὐτῷ ἐξ αὐτοῦ.** The genitive of the pronoun is formally ambiguous: it may be taken with the previously named ὕδωρ (""out of it,"" sc. the spring), or with ὁ θεός (""out of Him""), the passive being then a divine passive (""it was sent to him from God""). The Greek article does not settle the question, and both possibilities are signalled in the translation.

**4. The lacuna.** The transcription supplies an ellipsis (…) after ἀπεσταλμένος. Whether this represents (a) physical loss in the manuscript, (b) an abbreviation or pointer in the scholiast's hand, or (c) an omission on the part of a previous transcriber, cannot be determined from the evidence given. The number of lost letters or words is unknown. The words between ἀπεσταλμένος and ἐὰν οὖν must therefore be considered **lost and unascertained**; the gap is marked in the translation as broken text and is not filled.

**5. ἐὰν … ἤρχοντο.** The construction (ἐάν with indicative imperfect, answered by ἐξήρχετο) is anomalous against normal Attic/Koinē usage (ἐάν with subjunctive, or εἰ with indicative). The form is preserved without alteration; the English renders the imperfects as customary (""would issue forth""), which is the most probable sense but is not compelled by the Greek.

**6. ἀλλόφυλοι.** In the LXX this word is the regular rendering of פְּלִשְׁתִּים, ""Philistines."" Here, set over against Ἰουδαῖοι, it appears to be used in a generalized, archaizing sense, ""men of another stock, aliens, non-Jews."" I render ""aliens"" and record the anomaly rather than construe it as the historical Philistines.

**7. ἃ ἑρμηνεύεται / ὃ ἑρμηνεύεται.** The relative ὃ stands as masculine, agreeing with the glossed participle ἀπεσταλμένος rather than with the neuter or the understood gender of the toponym. Reproduced as transmitted. Note also that the gloss is masculine (ἀπεσταλμένος) where the subject of ἀπεστάλη is neuter (ὕδωρ); the agreement is not normalized.

