benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,deepseek/deepseek-v4-flash,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,deepseek/deepseek-v4-flash,ok,False,0.000690368,21.01,"1. [ἔχει δὲ εἴσοδον] ἥτις ἔχει εἴσοδον M (subst. ἔχει δὲ → ἥτις ἔχει) ;  
2. [ἠρώτων γὰρ οἱ πολέμιοι] + πόθεν πίνουσιν M (add.) ;  
3. [καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M (add. ὅτι, transp. χρησμός/ἐδόθη) ;",95,100,N/A,97.5,False,"```markdown
95
```","```markdown
100
```",,,,not_needed,0.0024882,0.00057525,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.000550874,17.31,"'And God performed the sign of Siloam through the prophet, because before dying, having grown faint, he prayed to drink water, and immediately water was sent to him from it. Therefore it was called Siloam, which is interpreted “sent forth”… When therefore the Jews came, water came forth; but when foreigners (came), not. Therefore until today it comes forth suddenly, in order that the mystery may be shown.'",78,90,90,90,True,"Looking at the candidate answer against the ground truth:

**Lexical accuracy:**
- ""διὰ τὸν προφήτην"" rendered as ""through the prophet"" vs. ground truth ""for the sake of the prophet"" — a meaningful interpretive divergence (διά + acc. can mean either, but context favors ""for the sake of"" since the sign benefits the prophet).
- ""ἀπεσταλμένος"" rendered ""sent forth"" — adds ""forth"" not in the Greek.
- ""ἑρμηνεύεται"" rendered ""interpreted"" vs. ""translated"" — acceptable but slightly different register.

**Morphological correctness:** Generally sound; verb tenses and participles handled well.

**Handling of uncertainty:** The candidate adds ""water"" in ""water was sent to him from it"" where the Greek is ambiguous (just ""it was sent""). This is a mild over-specification.

**Formal stuckness:** No silent normalization of anomalies detected.

The translation is competent and readable, but the ""through"" vs. ""for the sake of"" reading is a substantive interpretive error, and there are minor additions (""water,"" ""forth"") not warranted by the Greek.

```json
78
```",```90```,```90```,,,,0.004722,0.00128325,0.000378684
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.001324992,37.98,"**Regularized Greek text:**  
Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

**Morphosyntactic parse per word:**  
- Ἠσαΐας — lemma: Ἠσαΐας, noun, nominative singular masculine  
- ἀπὸ — lemma: ἀπό, preposition  
- Ἱερουσαλὴμ — lemma: Ἱερουσαλήμ, noun, genitive singular feminine  
- θνῄσκει — lemma: θνῄσκω, verb, present active indicative 3rd singular  
- ὑπὸ — lemma: ὑπό, preposition  
- Μανασσῆ — lemma: Μανασσῆς, noun, genitive singular masculine  
- ἐν — lemma: ἐν, preposition  
- πρίσει — lemma: πρῖσις, noun, dative singular feminine  
- εἰς — lemma: εἰς, preposition  
- δύο — lemma: δύο, numeral, indeclinable  
- καὶ — lemma: καί, conjunction  
- ἐτέθη — lemma: τίθημι, verb, aorist passive indicative 3rd singular  
- ὑποκάτω — lemma: ὑποκάτω, preposition (adverb used as preposition)  
- δρυὸς — lemma: δρῦς, noun, genitive singular feminine  
- Ῥωγήλ — lemma: Ῥωγήλ, noun, genitive singular masculine  

**TEI XML** (valid, with <w> elements containing lemma and msd attributes):

```xml
<s>
  <w lemma=""Ἠσαΐας"" msd=""n|nom|sg|masc"">Ἠσαΐας</w>
  <w lemma=""ἀπό"" msd=""p"">ἀπὸ</w>
  <w lemma=""Ἱερουσαλήμ"" msd=""n|gen|sg|fem"">Ἱερουσαλὴμ</w>
  <w lemma=""θνῄσκω"" msd=""v|pres|act|ind|3|sg"">θνῄσκει</w>
  <w lemma=""ὑπό"" msd=""p"">ὑπὸ</w>
  <w lemma=""Μανασσῆς"" msd=""n|gen|sg|masc"">Μανασσῆ</w>
  <w lemma=""ἐν"" msd=""p"">ἐν</w>
  <w lemma=""πρῖσις"" msd=""n|dat|sg|fem"">πρίσει</w>
  <w lemma=""εἰς"" msd=""p"">εἰς</w>
  <w lemma=""δύο"" msd=""num"">δύο</w>
  <w lemma=""καί"" msd=""c"">καὶ</w>
  <w lemma=""τίθημι"" msd=""v|aor|pass|ind|3|sg"">ἐτέθη</w>
  <w lemma=""ὑποκάτω"" msd=""p"">ὑποκάτω</w>
  <w lemma=""δρῦς"" msd=""n|gen|sg|fem"">δρυὸς</w>
  <w lemma=""Ῥωγήλ"" msd=""n|gen|sg|masc"">Ῥωγήλ</w>
</s>
```

**Note:** Scribal anomalies (accents, breathings, spelling) are preserved exactly as transcribed. The text has no lacunae; all characters are legible.",60,96,62,62,True,"Looking at the candidate answer against the ground truth:

**Correct parses (13/15):**
- Ἠσαΐας, ἀπό, θνῄσκω, ὑπό, Μανασσῆς, ἐν, πρίσις (lemma spelling slightly different but acceptable), εἰς, δύο, καί, τίθημι, ὑποκάτω, δρῦς — all correctly parsed.

**Errors (2/15):**
1. **Ἱερουσαλήμ**: Candidate parses as ""genitive singular feminine"" (n|gen|sg|fem), but ground truth marks it as **indeclinable** (NIDF). This is a significant morphological error — the word is the subject of the sentence, and parsing it as genitive (rather than nominative/indeclinable) misrepresents its syntactic role.
2. **Ῥωγήλ**: Candidate parses as ""genitive singular masculine"" (n|gen|sg|masc), but ground truth marks it as **indeclinable** (NIDF). This is a confidently wrong parse of a well-known indeclinable proper noun.

**Other observations:**
- The TEI XML uses a different msd format (e.g., ""n|nom|sg|masc"" vs ""NNSM"") but is still valid.
- Missing `<pc>` elements for punctuation (· and .).
- No flagging of uncertainty for the indeclinable nouns.

The two errors are both confidently wrong morphological parses involving indeclinable proper nouns, which the rubric specifies should be deducted heavily. The candidate also failed to flag these as ambiguous/indeclinable.

```markdown
60
```","```fit
96
```","```markdown
62
```",,,,0.0080556,0.00257775,0.000876512
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.000539618,16.88,"```xml
<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus (Vat. gr. 2125)</title>
    </titleStmt>
    <publicationStmt>
      <publisher>Manuscript description</publisher>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <settlement>Vatican City</settlement>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <msName>Codex Marchalianus</msName>
        </msIdentifier>
        <msContents>
          <msItem>
            <title>Lives of the Prophets (Vitae Prophetarum) – Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <extent>
                <dimensions type=""leaf"" unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1""/>
            </layoutDesc>
          </objectDesc>
          <scriptDesc>
            <scriptNote>Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</scriptNote>
          </scriptDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>
```",62,95,90,90,True,"```markdown
62
```","```markdown
95
```",```90```,,,,0.0034098,0.001185,0.00106792
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,deepseek/deepseek-v4-flash,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,deepseek/deepseek-v4-flash,ok,False,0.001597414,51.33,"Here is the critical apparatus for the variants in Isidore §37 (Vat. lat. 629 f. 3v = V) against the base text of Chaparro Gómez 1985 (= C), with each variant classified and presented in the format [lemma] reading Siglum ;.

- ille] Hic V (substitution) ;
- hic] Hic V (orthographic) ;
- hic] hic autem V (addition) ;  
- nobilis] nobili V (orthographic) ;
- in] om. V (omission) ;
- ortus] ortus est V (addition) ;
- atrocique] atroque V (substitution) ;
- extincxit] extinxit V (orthographic) ;",50,85,40,50,True,"Looking at the candidate's apparatus against the ground truth:

**Variant 1:** ✓ Correctly identified as substitution of Hic for ille.

**Variant 2:** Multiple issues:
- `[hic] Hic V (orthographic)` — Capitalization difference not in ground truth; arguably invented.
- `[hic] hic autem V (addition)` — Poorly formed lemma/reading pairing; the lemma ""hic"" with reading ""hic autem"" is awkward and doesn't properly show the addition of ""autem"" in context.
- `[nobilis] nobili V (orthographic)` — **Misclassified**: this is a grammatical case change (nominative → ablative), correctly typed as SUBSTITUTION in the ground truth, not orthographic.
- `[in] om. V (omission)` — ✓ Correct.
- `[ortus] ortus est V (addition)` — Identifies ""est"" addition not in ground truth; the ground truth treats this as omission of ""in"" only.

**Variant 3:** ✓ Both substitutions/orthographic variants correctly identified and classified.

**Key problems:**
- Typology error: nobilis→nobili misclassified as orthographic instead of substitution
- Apparatus is fragmented into 5 entries for what should be one coherent entry
- Poorly formed lemma/reading pairings (e.g., `[hic] hic autem`)
- Editorializing in parentheses rather than clean apparatus format
- Some invented variants (Hic/hic capitalization)

```markdown
50
```","```format
85
```","```score
40
```",,,,0.00990075,0.00215925,0.000905296
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.00025259,7.61,"""Now the Hebrews relate that Isaiah was killed for two reasons: one, that he called them 'rulers of Sodom' and 'people of Gomorrah'; the other, that, when the Lord testified to Moses 'You cannot see my face,' this man dared to exclaim: 'I saw the Lord sitting upon a high throne...'—the Jews, blinded in mind, not considering that in what follows he had narrated that the Seraphim covered the face and feet of God and that he writes that he saw only his middle parts. He lies under the oak of Rogel near the flow of waters.""",95,98,N/A,96.5,False,"```json
95
```","```
98
```",,,,not_needed,0.001935,0.00084825,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,deepseek/deepseek-v4-flash,ok,False,0.000856394,27.35,"**(1) Expanded normalized Latin text**  
`iuxta imperium domini nudo corpore nudoque vestigio in conventu populi conversatus est.`  

**(2) Grammatical parse**  
- **imp̃ium (imperium)**: noun, 3rd declension, neuter, accusative singular – object of the preposition *iuxta* (“near the authority”).  
- **dn̄i (domini)**: noun, 2nd declension, masculine, genitive singular – “of the Lord.”  
- **ppl̄i (populi)**: noun, 2nd declension, masculine, genitive singular – “of the people.”  
- **conuerſatuſ ē (conversatus est)**: verb, deponent (1st conjugation *conversor*), 3rd person singular, perfect indicative – “he lived / he conducted himself.”

**(3) TEI P5 XML encoding (expanding all abbreviations)**  

```xml
<ab>
   iuxta 
   <choice>
      <abbr>imp̃ium</abbr>
      <expan>imperium</expan>
   </choice>
   <choice>
      <abbr>dn̄i</abbr>
      <expan>domini</expan>
   </choice>
   nudo corpore. nudo
   <choice>
      <abbr>q:</abbr>
      <expan>que</expan>
   </choice>
   ueſtigio in conuentu 
   <choice>
      <abbr>ppl̄i</abbr>
      <expan>populi</expan>
   </choice>
   conuerſatuſ 
   <choice>
      <abbr>ē</abbr>
      <expan>est</expan>
   </choice>
   .
</ab>
```

*Note on character encoding*: The diplomatic forms use standard medieval abbreviations:  
- tilde over *p* (imp̃ium) for *imperium*;  
- macron over *n* (dn̄i) for *domini*;  
- macron over *l* (ppl̄i) for *populi*;  
- *q:* for *‑que*;  
- *ē* (e with macron) for *est*.  
All abbreviated tokens are wrapped in `<choice>` with the original scribal form in `<abbr>` and the expanded form in `<expan>`. The rest of the text (fully spelled words) is left as plain Unicode. No conjectural restorations have been added; lacunae are absent in the given text.",82,90,N/A,86,False,"Looking at the candidate answer against the ground truth:

**(1) Normalized text:** Mostly correct, but missing comma after ""corpore"" (ground truth has ""corpore, nudoque"") and lowercase ""domini"" instead of ""Domini"". Minor issues.

**(2) Grammatical parse:**
- *imperium*: Correct (acc. sg. neut., governed by *iuxta*). ✓
- *Domini*: Morphologically correct (gen. sg. masc.), but doesn't explicitly state it's a possessive genitive modifying *imperium*. Partial.
- *populi*: Morphologically correct (gen. sg. masc.), but doesn't explicitly state it's a possessive genitive modifying *conventu*. Partial.
- *conversatus est*: Correct (deponent, perfect indicative, 3rd sg.). ✓

**(3) TEI XML:** Two significant problems:
- ""nudoq:"" is split into ""nudo"" + ""q:"" with the `<choice>` only covering ""q:"". The ground truth keeps ""nudoq:"" as a single abbreviated unit.
- ""conuerſatuſ ē"" is split into ""conuerſatuſ"" + ""ē"" with separate `<choice>` elements. The ground truth keeps them together as one unit.
- Uses `<ab>` wrapper (not wrong, but unnecessary).
- ""corpore. nudo"" with period instead of comma.

The morphology and lemmas are all correct, but the syntactic roles are not always explicitly stated, and the TEI XML has notable structural errors in how abbreviations are grouped.

```markdown
82
```","The candidate provides a very solid response, with accurate transcription/expansion and valid TEI P5 encoding. 

There is one morphological error in the parse:
- `imp̃ium (imperium)` is identified as ""noun, 3rd declension, neuter, accusative singular"" — *imperium* is 2nd declension neuter (*imperium, imperii*), not 3rd declension.

All other parses, syntactical relations, and TEI markup are sound and accurate.

```code
90
```",,,,not_needed,0.00562245,0.00136275,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,deepseek/deepseek-v4-flash,skipped: model has no vision support,False,0.0,0.0,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
