benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,openai/gpt-5,ok,True,0.04015875,66.19,"DIPLOMATIC (majuscules, as on the page; exact line breaks preserved)
1) ΟΝΟΜΑΤΑΠΡΟΦΗΤΩΝΚΑΙΠΟΘΕΝΕΙϹΙΚΑΙΠΟΥ
2) ΕΤΕΛΕΥΤΗϹΑΝΚΑΙΠΩϹΚΑΙΠΟΥΚΕΙΝΤΑΙ·
3) ΗϹΑΙΑϹΠΡΟΦΗΤΗϹΕΚΙΕΡΟΥϹΑΛΗΜΗΝ⸖
4) ΕΠΡΙϹΘΕΙϹΕΙϹΞΥΛΩ·ΚΑΙΕΤΕΘΗΥΠΟΚΑΤΩ

NORMALIZED (lower-case, accents/breathings, expanded, standard word-division)
1–2) ὀνόματα προφητῶν καὶ πόθεν εἰσὶ καὶ ποῦ ἐτελεύτησαν καὶ πῶς καὶ ποῦ κεῖνται.
3) Ἠσαΐας προφήτης ἐξ Ἰερουσαλήμ ἦν.
4) πρισθείς εἰς ξύλον· καὶ ἐτέθη ὑποκάτω.",20,45,10,20,True,```\n20\n```,"```
45
```","``` 
10
```",,,,0.0053034,0.00090525,0.000973868
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,openai/gpt-5,ok,True,0.0137425,32.51,"Collation (base text = S; variant siglum = M)

1) Base S: ἔχει δὲ εἴσοδον ἀπὸ Γαβαών vs M: ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών
- [ἔχει] ἥτις ἔχει M ; (addition)
- [δὲ] om. M ; (omission)

2) Base S: ἠρώτων γὰρ οἱ πολέμιοι vs M: ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν
- [οἱ πολέμιοι] οἱ πολέμιοι πόθεν πίνουσιν M ; (addition)

3) Base S: καὶ ἐδόθη αὐτοῖς χρησμὸς vs M: ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς
- [καί] ὅτι καί M ; (addition)
- [ἐδόθη αὐτοῖς χρησμὸς] χρησμὸς ἐδόθη αὐτοῖς M ; (transposition)",45,95,70,70,True,"Looking at each locus against the ground truth:

**Locus 1:** Ground truth identifies a SUBSTITUTION (ἥτις replaces δὲ) with lemma [ἔχει δὲ εἴσοδον]. The candidate incorrectly splits this into two entries (addition of ἥτις + omission of δὲ), misclassifying the variant type and using wrong lemma alignment. This is a fundamental error.

**Locus 2:** Correctly identified as an addition with proper lemma [οἱ πολέμιοι] and reading. Fully matches ground truth.

**Locus 3:** Ground truth treats this as a single combined variant (transposition + addition of ὅτι). The candidate splits into two entries but correctly identifies both the addition of ὅτι and the transposition of χρησμὸς/ἐδόθη αὐτοῖς. Substance is captured, though presentation differs.

**Scoring:**
- Variant detection: ~70% (locus 1 mischaracterized, others correct)
- Correct alignment: ~50% (locus 1 lemma wrong)
- Variant typology: ~40% (locus 1 substitution misclassified as addition+omission)
- Apparatus discipline: ~70% (well-formed but content errors)

The locus 1 error is severe—misclassifying a substitution as addition+omission is a fundamental typological mistake that also corrupts the lemma alignment.

```markdown
45
```",```95```,"```markdown
70
```",,,,0.0055398,0.001989,0.00253386
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,openai/gpt-5,ok,True,0.01204125,14.88,"And God wrought the sign of Siloam for the prophet; because, before dying, having grown faint, he prayed to drink water, and straightway it was sent to him from it; for this reason it was called Siloam, which is interpreted “Sent”… If then the Jews came, water would come forth; but if foreigners, not; wherefore until today it comes forth suddenly, in order that the mystery may be shown.",82,98,100,98,True,"Looking at the candidate answer against the ground truth:

**Lexical accuracy:** Generally strong. ""Wrought"" for ἐποίησεν is acceptable; ""straightway"" for εὐθέως is archaic but valid; ""interpreted"" for ἑρμηνεύεται is acceptable (though ""translated"" is more precise).

**Morphological/syntactical correctness:** The most significant error is in the conditional clause ""ἐὰν οὖν οἱ Ἰουδαῖοι ἤρχοντο, ἐξήρχετο ὕδωρ."" The Greek ἐὰν + imperfect indicative expresses a present general/iterative condition (habitual past: ""whenever the Jews came, water flowed out""). The ground truth correctly renders this as ""If therefore the Jews came, water flowed out."" The candidate mistranslates it as ""If then the Jews came, water would come forth"" — rendering it as a future hypothetical, which changes the meaning. This is a meaningful grammatical error.

**Handling of uncertainty:** No lacunae in this passage, so not applicable.

**Formal stuckness:** No scribal anomalies to normalize here.

