benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,186.13,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,186.12,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,185.03,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,186.88,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,186.32,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,186.3,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,google/gemma-4-31b-it:free,ok,False,0.0,129.58,"The following collation of Vat. lat. 629 f. 3v (V) against Chaparro Gómez 1985 (C) is presented according to strict philological standards.

**Apparatus Criticus**

1. [ille] Hic V (substitution)
2. [hic] Hic autem V ; [nobilis] nobili V ; [ortus in Hierusalem] ortus est Hierusalem V (substitution; addition; orthographic; substitution)
3. [atrocique] atroque V ; [extincxit] extinxit V (orthographic; orthographic)",50,90,75,75,True,"Looking at the candidate's answer against the ground truth:

**Variant 1:** Correctly identifies [ille] Hic V as substitution. ✓

**Variant 2:** Multiple issues:
- ""Hic autem"" labeled as ""substitution"" — should be ADDITION of *autem*. ✗
- ""nobili"" correctly labeled as substitution. ✓
- ""ortus est Hierusalem"" labeled as ""orthographic; substitution"" — should be ADDITION of *est* and OMISSION of *in*. The omission of *in* is not clearly marked. ✗

**Variant 3:** 
- ""atroque"" labeled as ""orthographic"" — should be SUBSTITUTION (loss of *-ci-*). ✗
- ""extinxit"" correctly labeled as orthographic. ✓

**Summary of errors:**
- 3 of 6 typology classifications are wrong
- The omission of *in* is not properly flagged
- The addition of *est* is mislabeled

```markdown
50
```","```markdown
90
```","```markdown
75
```",,,,0.0042855,0.00165225,0.000958636
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,184.17,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,186.84,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,google/gemma-4-31b-it:free,OpenRouter call failed after 6 retries: retryable 429: Provider returned error,False,0.0,187.98,,N/A,N/A,N/A,N/A,False,,,,not_scored,not_scored,not_scored,0.0,0.0,0.0
