benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,openai/gpt-5.6-luna,ok,False,0.0003236,3.39,"The image is not sufficiently legible to support the requested **exact** diplomatic transcription. In particular, several characters are obscured or ambiguous, the apparent overlines and punctuation cannot be securely distinguished, and the lower two lines are partly damaged/cropped. I therefore cannot responsibly supply either a diplomatic transcription or a normalized critical text without introducing conjectural readings.

The visible passage appears to contain:

- a two-line Greek heading, beginning approximately **ΟΝΩΜΑΤΑ ΠΡΟΦΗΤΩΝ …**
- a lower incipit beginning approximately **Ἡ … τοῦ προφήτου Ἠσαίου …**

These are only orientation readings, not a transcription. A higher-resolution, tightly cropped image with the four lines fully visible would be required.",0,10,N/A,5,False,"```json
0
```","```
10
```",,,,not_needed,0.0014334,0.001218,0.0
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,openai/gpt-5.6-luna,ok,False,0.0002736,2.68,"1. **[ἔχει] ἥτις ἔχει M ;** — addition (M adds ἥτις before the shared ἔχει).

2. **[ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M ;** — addition (M adds πόθεν πίνουσιν).

3. **[καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ;** — substitution with transposition: M has ὅτι for S καὶ, places χρησμὸς before ἐδόθη, and retains καὶ.",65,65,N/A,65,False,"Looking at the candidate answer against the ground truth:

**Locus 1:**
- Ground truth lemma: [ἔχει δὲ εἴσοδον] — Candidate uses [ἔχει], omitting δὲ εἴσοδον. This misaligns the variant.
- Ground truth classification: SUBSTITUTION (δὲ → ἥτις) — Candidate says ""addition,"" which is incorrect. The lemma doesn't include δὲ, so the substitution cannot be properly shown.

**Locus 2:**
- Lemma is longer than necessary but the variant is correctly identified and classified as addition. Acceptable notation, though less elegant than the ground truth's [οἱ πολέμιοι] + πόθεν πίνουσιν M.

**Locus 3:**
- Lemma and reading are correct.
- Classification is muddled: candidate states ""M has ὅτι for S καὶ"" (substitution) AND ""retains καὶ"" — these are contradictory. The ground truth correctly identifies this as ADDITION of ὅτι (with transposition), since M has both ὅτι and καὶ.

**Scoring by dimension:**
- Variant detection: Locus 1 partially misses δὲ in S; Locus 2 and 3 correct. ~60%
- Correct alignment: Locus 1 lemma is wrong; Locus 2 acceptable; Locus 3 correct. ~55%
- Variant typology: Locus 1 wrong (addition vs. substitution); Locus 2 correct; Locus 3 partially wrong (misidentifies ὅτι as substituting for καὶ). ~45%
- Apparatus discipline: Locus 1 lemma too short; Locus 2 acceptable; Locus 3 has contradictory editorial commentary. ~55%

```markdown
65
```","```thought
65```",,,,not_needed,0.0132636,0.0012765,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,openai/gpt-5.6-luna,ok,False,0.0001834,1.91,"“And God performed the sign of Siloam through the prophet: for, before dying, when he was faint, he prayed to drink water, and immediately it was sent to him from it. Therefore it was called Siloam, which is interpreted ‘sent’ … If, then, Jews came, water would come forth; but if foreigners, it would not. Therefore, even to this day, it comes forth suddenly, so that the mystery might be revealed.”",82,92,N/A,87,False,```\n82\n```,"```
92
```",,,,not_needed,0.003723,0.000921,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,openai/gpt-5.6-luna,ok,False,0.0011102,8.36,"### Regularized Greek

Ἠσαΐας ἀπὸ Ἱερουσαλήμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

### Morphosyntactic parse

| Form | Lemma | POS | Morphology | Function |
|---|---|---|---|---|
| Ἠσαΐας | Ἠσαΐας | proper noun | nominative singular masculine | subject |
| ἀπὸ | ἀπό | preposition | governs genitive | source/origin |
| Ἱερουσαλήμ | Ἱερουσαλήμ | proper noun | genitive singular feminine/indeclinable | object of ἀπό |
| θνῄσκει | θνῄσκω | verb | present active indicative, 3rd singular | finite verb |
| ὑπὸ | ὑπό | preposition | governs genitive | agent |
| Μανασσῆ | Μανασσῆς | proper noun | genitive singular masculine | object of ὑπό |
| ἐν | ἐν | preposition | governs dative | means/instrument |
| πρίσει | πρῖσις | noun | dative singular feminine | object of ἐν |
| εἰς | εἰς | preposition | governs accusative | result/division |
| δύο | δύο | numeral | accusative plural neuter; form identical across genders in the plural | object of εἰς |
| καὶ | καί | conjunction | coordinating | links clauses |
| ἐτέθη | τίθημι | verb | aorist passive indicative, 3rd singular | finite verb |
| ὑποκάτω | ὑποκάτω | adverb/preposition | here adverbial, with genitive | position |
| δρυὸς | δρῦς | noun | genitive singular feminine | dependent on ὑποκάτω |
| Ῥωγήλ | Ῥωγήλ | proper noun | genitive singular; gender uncertain/indeclinable | specifies δρυός |

### TEI XML

```xml
<p>
  <w lemma=""Ἠσαΐας"" msd=""N--NSM"">Ἠσαΐας</w>
  <w lemma=""ἀπό"" msd=""R--G"">ἀπὸ</w>
  <w lemma=""Ἱερουσαλήμ"" msd=""Np-GSF"">Ἱερουσαλήμ</w>
  <w lemma=""θνῄσκω"" msd=""V-PAI-3S"">θνῄσκει</w>
  <w lemma=""ὑπό"" msd=""R--G"">ὑπὸ</w>
  <w lemma=""Μανασσῆς"" msd=""Np-GSM"">Μανασσῆ</w>
  <w lemma=""ἐν"" msd=""R--D"">ἐν</w>
  <w lemma=""πρῖσις"" msd=""N-DSF"">πρίσει</w>
  <w lemma=""εἰς"" msd=""R--A"">εἰς</w>
  <w lemma=""δύο"" msd=""M--APN"">δύο</w>
  <pc>·</pc>
  <w lemma=""καί"" msd=""C"">καὶ</w>
  <w lemma=""τίθημι"" msd=""V-API-3S"">ἐτέθη</w>
  <w lemma=""ὑποκάτω"" msd=""D"">ὑποκάτω</w>
  <w lemma=""δρῦς"" msd=""N-GSF"">δρυὸς</w>
  <w lemma=""Ῥωγήλ"" msd=""Np-GSX"">Ῥωγήλ</w>
  <pc>.</pc>
</p>
```",78,100,75,78,True,"```markdown
78
```","```markdown
100
```","```markdown
75
```",,,,0.0053598,0.00155625,0.000829472
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,openai/gpt-5.6-luna,ok,False,0.000619,4.9,"<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <publisher>Biblioteca Apostolica Vaticana</publisher>
      <pubPlace>Vatican City, Vatican</pubPlace>
      <availability>
        <p>Manuscript record.</p>
      </availability>
    </publicationStmt>
    <sourceDesc>
      <msDesc xml:id=""vat-gr-2125"">
        <msIdentifier>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
          <idno>Vat. gr. 2125</idno>
        </msIdentifier>
        <msContents>
          <textLang mainLang=""grc"">Ancient Greek</textLang>
          <msItem>
            <title xml:lang=""grc"">Vitae Prophetarum</title>
            <title>Lives of the Prophets — Isaiah</title>
            <note>Isaiah</note>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <extent>295 × 179 mm</extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1"">1 column layout</layout>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote scope=""major"">Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</handNote>
          </handDesc>
        </physDesc>
        <history>
          <origin notBefore=""0500-01-01"" notAfter=""0699-12-31"">
            <placeName>Egypt</placeName>
            <date notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</date>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>",62,92,45,62,True,"```markdown
62
```","```xml
92
```","```markdown
45
```",,,,0.0034788,0.0026505,0.0009744
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,openai/gpt-5.6-luna,ok,False,0.0004904,5.44,"**DIPLOMATIC**

E Sạrạſ filius amos. non illius  
p̄phe. ſed alterius qui ſimile nuncupat̄ ē. no  
mine. ſiue enim ex numero paſtoꝝ fuit. de oppido  
decurie. hic autem genere nob̄l ortuſ ē. ierſlm.  
Quē etiam hebrei aūt ſocrū fuiſſe manasse. In quo  
tanta fuit ſcĩtas. eq uite excellentia. ut unam  
tantū diceret habuiſſe ancillā aliquam. Quamq̄

**NORMALIZED**

Esaias filius Amos, non illius  
prophetae, sed alterius qui simile nuncupatus est no-  
mine, sive enim ex numero pastorum fuit, de oppido  
Decuriae; hic autem genere nobili ortus est, Hierusalem.  
Quem etiam Hebraei aiunt socrum fuisse Manasse. In quo  
tanta fuit scientia equit[e] excellentia, ut unam  
tantum diceret habuisse ancillam aliquam. Quamque

*The final letters of several lines are visually close to the gutter/crop; the normalized reading “equit[e]” is uncertain from the supplied image, and the final word is incomplete in the image.*",35,78,15,35,True,"Looking at the candidate answer against the ground truth:

**Diplomatic Layer Errors:**
1. Line 1: ""E Sạrạſ"" instead of ""E Saias (Eſaiaſ)"" — fundamental misreading of the name that is the subject of the passage
2. Line 3: ""ſiue enim"" instead of ""Ille enim"" — wrong word entirely
3. Line 4: ""decurie"" instead of ""thecue"" — wrong place name
4. Line 4: ""nob̄l"" instead of ""nob̄li"" — missing abbreviation stroke
5. Line 4: ""ierſlm"" instead of ""ierl̄m"" — wrong letter (s instead of l with macron)

**Normalized Layer Errors:**
- ""sive enim"" instead of ""Ille enim""
- ""Decuriae"" instead of ""Thecue""
- Added ""autem"" not in source

**Positive aspects:**
- Preserves long-s (ſ), abbreviations (p̄phe, nuncupat̄, paſtoꝝ, ē)
- Notes uncertainty about cropped text at end
- Layers kept distinct
- Some scribal forms preserved

The multiple fundamental misreadings of key words (especially ""Esaias"" → ""Sạrạſ"", ""Ille"" → ""ſiue"", ""thecue"" → ""decurie"") represent serious diplomatic failures. These are not normalization issues but basic misrecognition of the manuscript text.

```\n35\n```","```json
78
```","``` 
15 
```",,,,0.0046848,0.0009525,0.00050022
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,openai/gpt-5.6-luna,ok,False,0.0002216,3.38,"[ille] hic V ; substitution  
[enim] enim V ; unchanged  
[hic] hic V ; unchanged  
[genere] genere V ; unchanged  
[nobilis] nobili V ; orthographic/formal variation  
[ortus] ortus V ; unchanged  
[in] est V ; substitution/addition  
[Hierusalem] Hierusalem V ; unchanged  
[atrocique] atroque V ; substitution (que omitted, ci → c)  
[supplicio] supplicio V ; unchanged  
[excruciatum] excruciatum V ; unchanged  
[extincxit] extinxit V ; orthographic variation (c omitted)",35,45,N/A,40,False,"Looking at the candidate answer against the ground truth:

**Variant 1 (ille/Hic):** Correctly identified as substitution. ✓

**Variant 2 (hic genere nobilis...in Hierusalem):**
- Missed the ADDITION of ""autem"" entirely — significant omission.
- [nobilis] nobili classified as ""orthographic/formal variation"" — WRONG. This is a SUBSTITUTION (ablative nobili for genitive nobilis), a morphological/grammatical change, not orthographic.
- [in] est V ; ""substitution/addition"" — confused. The ground truth shows OMISSION of ""in"" (with separate addition of ""est""). The lemma-reading pairing conflates two distinct phenomena.

**Variant 3 (atrocique/extincxit):**
- [atrocique] atroque classified as substitution but explanation ""que omitted, ci → c"" is wrong — actually ""ci"" is dropped (atroci- → atro-), not ""que"" omitted.
- [extincxit] extinxit correctly classified as orthographic. ✓

**Apparatus discipline issues:**
- Fragmented into unnecessary word-by-word entries with many ""unchanged"" notes cluttering the apparatus.
- Does not group variants cleanly as the ground truth does.

**Summary of problems:**
- 1 missed variant (autem addition)
- 1 misclassified variant type (nobilis→nobili)
- 1 confused lemma-reading pairing (in/est)
- 1 incorrect explanation (atrocique→atroque)
- Poor apparatus formatting

```markdown
35
```",```45```,,,,not_needed,0.005925,0.00108225,0.0
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,openai/gpt-5.6-luna,ok,False,0.0002148,2.38,"The Hebrews, however, relate that Isaiah was put to death for two reasons: first, because he had called them “rulers of Sodom” and “people of Gomorrah”; secondly, because, although the Lord had declared to Moses, “You cannot see my face,” he nevertheless dared to cry out, “I saw the Lord seated upon a lofty throne …” The Jews, blinded in mind, fail to consider that in what follows he had narrated that the Seraphim covered the face and feet of God, and writes that he saw only the middle part of him. He lies beneath the oak of Rogel, beside the courses of the waters.",92,98,N/A,95,False,"```92
```","```
98
```",,,,not_needed,0.0029235,0.000663,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,openai/gpt-5.6-luna,ok,False,0.0008056,7.23,"1. **Expanded normalized Latin**

*iuxta imperium domini nudo corpore, nudoque vestigio in conventu populi conversatus est.*

“According to the command of the Lord, he lived/moved about in the assembly of the people with bare body and bare foot.”

2. **Grammatical parse**

- **imp̃ium → imperium**
  - Neuter singular accusative of *imperium, -ī* (“command,” “authority”).
  - Object of the preposition *iuxta* (“according to”).
  - The abbreviation preserves the nasal suspension and should not be confused with an inflected form other than *imperium* in this context.

- **dn̄i → domini**
  - Masculine singular genitive of *dominus, -ī* (“lord”).
  - Dependent genitive modifying *imperium*: “the command of the Lord.”

- **ppl̄i → populi**
  - Masculine singular genitive of *populus, -ī* (“people”).
  - Dependent genitive with *conventu*: “the assembly of the people.”

- **conuerſatuſ ē → conversatus est**
  - *conversatus*: perfect passive participle, nominative masculine singular, from deponent *conversor, conversari* (“to associate,” “to live,” “to conduct oneself”).
  - *est*: third-person singular present indicative of *sum*, functioning as the auxiliary.
  - Together: perfect indicative, third-person singular, deponent: “he lived,” “he associated,” or “he conducted himself.”
  - The phrase’s subject is not expressed in the supplied text.

3. **TEI P5 XML**

```xml
<p>
  iuxta
  <choice>
    <abbr>imp̃ium</abbr>
    <expan>imperium</expan>
  </choice>
  <choice>
    <abbr>dn̄i</abbr>
    <expan>domini</expan>
  </choice>
  nudo corpore.
  nudoq:
  ueſtigio in
  <choice>
    <abbr>conuentu</abbr>
    <expan>conventu</expan>
  </choice>
  <choice>
    <abbr>ppl̄i</abbr>
    <expan>populi</expan>
  </choice>
  <choice>
    <abbr>conuerſatuſ ē</abbr>
    <expan>conversatus est</expan>
  </choice>
</p>
```

The supplied diplomatic reading has **nudoq:**, which is not expanded above because its abbreviation status and intended expansion are not securely established from the form alone. If it is read as an abbreviation for *nudoque*, it should be encoded separately as:

```xml
<choice>
  <abbr>nudoq:</abbr>
  <expan>nudoque</expan>
</choice>
```",82,95,95,95,True,"```markdown
82
```","```format
95```","```markdown
95
```",,,,0.00465945,0.00101775,0.000575876
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,openai/gpt-5.6-luna,ok,False,0.0002516,2.92,"The photograph is not sufficiently legible for a reliable diplomatic transcription. Several strokes are indistinct, and the fragment’s breaks and surface damage obscure the letter forms. I therefore cannot responsibly transcribe the visible text without risking conjectural readings.

A secure transcription would require a higher-resolution, sharply focused image—preferably with raking light or multispectral enhancement—and should preserve uncertain letters with dots/circelli and lacunae with brackets rather than reconstructing the text from parallel editions.",5,15,N/A,10,False,```\n5\n```,"```
15
```",,,,not_needed,0.001731,0.001209,0.0
