benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,x-ai/grok-4.7,ok,False,0.0242672,69.32,"The image is cropped at the right edge and the ink is small; two points are flagged below rather than silently resolved. No lacuna (broken text) is present in the four lines; the right-hand margin of the lower pair is simply cut off by the frame, so nothing beyond the last visible letter is supplied.

(1) DIPLOMATIC (majuscule, scriptio continua, lunate Ϲ, line breaks as written)

```
ΟΝΟΜΑΤΑΠΡΟΦΗΤΩΝ ΚΑΙΠΟΥΘΕΝΕΙΣΙ | ΚΑΙΠΟΥ
ΑΠΕΘΑΝΟΝ ΚΑΙΠΩϹ ΚΑΙΠΟΥΚΕΙΝΤΑΙ : > χ
ΗϹΑΙΕΑϹΠΟΙΕΡΟΥϹΑΛΗΜΗΝΟϹΚΕΙΥΠΟΜΑΝΑϹ
ϹΗΠΡΙϹΘΕΙϹΕΙϹΔΥΟ·ΚΑΙΕΤΕΘΗΥΠΟΚΑΤΩ
```

Notes on the diplomatic layer, not normalized away:
- Sigmas are lunate (Ϲ) throughout; the omegas of the heading are the closed Ω-form (ΠΡΟΦΗΤΩΝ, ΠΩϹ), not the open Ⲱ.
- The heading is not fully continuous: visible separation/interpunct stands after ΠΡΟΦΗΤΩΝ and after ΕΙΣΙ, and a vertical stroke (rendered |) stands before the final ΚΑΙΠΟΥ of line 1. Line 2 closes with a colon-plus-filler group (: > χ) and a trailing flourish; above the heading are ornamental triple-dot marks, which are decoration, not text, and are not entered in the line.
- A small initial mark precedes the first Ο; it is not transcribed as a breathing in this layer.
- The single in-line punctum of the incipit is the middle dot after ΔΥΟ.
- ΜΑΝΑϹ | ϹΗ is divided across the line break exactly so; no letter is missing.
- The letter read Ο in ΗΝΟϹ is small but rounded (omicron), distinct from the barred Η of ΗϹΑΙ/ΗΝ; I do not treat it as eta.
- After ΥΠΟΚΑΤΩ the frame ends; a cross stands in the right margin. No further letters are visible, and none are restored.

(2) NORMALIZED (minuscule, accents, breathings, word division, Nomina Sacra — none occur here — expanded)

ὀνόματα προφητῶν καὶ ποῦθεν εἰσὶ καὶ ποῦ
ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται.
Ἠσαΐας ἀπὸ Ἱερουσαλὴμ ἦν, ὃς κεῖται ὑπὸ Μανασσῆ
πρισθεὶς εἰς δύο, καὶ ἐτέθη ὑπὸ κάτω [—]

The bracketed dash marks only that the line runs out of the frame; it is not a restoration.",35,72,15,35,True,"Looking at the candidate's answer against the ground truth, I need to evaluate each dimension carefully.

**Diplomatic Fidelity Issues:**
- Line 1: ""ΠΟΥΘΕΝ"" instead of ""ΠΟΘΕΝ"" — spurious Υ inserted
- Line 3: ""ΗϹΑΙΕΑϹ"" instead of ""ΗϹΑΪΑϹ"" — Ϊ misread as ΙΕ (critical error)
- Line 3: ""ΑΠΟΙ"" instead of ""ΑΠΟΪ"" — Ϊ omitted
- Line 3: ""ΗΝΟϹΚΕΙ"" instead of ""ΘΝΗϹΚΕΙ"" — major misreading of multiple letters (Θ→Η, Ν→Ν ok, Η→Ο, Ϲ→Ϲ ok, Κ→Κ ok, Ε→Ε ok, Ι→Ι ok) — this is a fundamental misreading
- Line 4: Missing diaeresis on Ϋ (ΥΠΟΚΑΤⲰ vs ΥΠΟΚΑΤΩ)
- Line 2 punctuation: "": > χ"" vs ground truth "":⸖⸖⁓"" — different interpretation

**Normalized Layer Issues:**
- ""ποῦθεν"" instead of ""πόθεν"" — wrong word
- ""ἦν, ὃς κεῖται"" instead of ""θνῃσκει"" — completely wrong translation of the misread letters
- ""ὑπὸ κάτω"" instead of ""ὑποκάτω"" — wrong word division

**Positive Aspects:**
- Correctly identifies image boundary at line 4 (epigraphic restraint)
- Uses lunate sigmas (Ϲ) appropriately
- Notes the Ω vs Ⲱ distinction
- Provides uncertainty flags rather than silent normalization in some places
- Layers are kept distinct

The misreading of ΘΝΗϹΚΕΙ as ΗΝΟϹΚΕΙ is a critical error that fundamentally changes the meaning (""dies"" → ""was, who lies""). The ΪΑ → ΙΕΑ error is also significant. These are not normalization issues but actual transcription errors.

```json
35
```","```
72
```",```15```,,,,0.0071466,0.00120375,0.000843664
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,x-ai/grok-4.7,ok,False,0.0052768,13.08,"1. Substitution: ἔχει δὲ] ἥτις ἔχει M ;
2. Addition: πολέμιοι] + πόθεν πίνουσιν M ;
3. Addition + transposition: καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ;",90,100,N/A,95,False,"```markdown
90
```","```markdown
100
```",,,,not_needed,0.0160308,0.00103575,0.0
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,x-ai/grok-4.7,ok,False,0.0046848,13.61,"And God wrought the sign of Siloam through the prophet: for before dying, having grown faint, he prayed to drink water, and straightway it was sent to him from it; for this reason it was called Siloam, which is interpreted “sent” … If, then, the Jews came, water came forth; but if foreigners, not; wherefore until today it comes forth suddenly, that the mystery might be shown.

(The citation as given contains an ellipsis; nothing is restored in its place.)",85,95,N/A,90,False,```85```,"```95
```",,,,not_needed,0.0032496,0.0011955,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,x-ai/grok-4.7,ok,False,0.0155744,42.31,"The transmitted sentence is intact: there is no lacuna, and nothing below is a conjectural restoration. Manuscript spellings are kept inside each `<w>`; the regularized running text is given separately and is not substituted for the transcription.

Regularized text: Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρῖσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

Morphosyntactic parse:
- Ἠσαΐας — lemma Ἠσαΐας; proper noun; nominative singular masculine.
- ἀπὸ — lemma ἀπό; preposition (governing genitive).
- Ἱερουσαλὴμ — lemma Ἱερουσαλήμ; proper noun, indeclinable; genitive singular feminine in function.
- θνῄσκει — lemma θνῄσκω; verb; present active indicative third person singular.
- ὑπὸ — lemma ὑπό; preposition (governing genitive).
- Μανασσῆ — lemma Μανασσῆς; proper noun; genitive singular masculine.
- ἐν — lemma ἐν; preposition (governing dative).
- πρίσει — lemma πρῖσις; noun; dative singular feminine. Manuscript acute πρίσει is not normalized to πρῖσει in the token.
- εἰς — lemma εἰς; preposition (governing accusative).
- δύο — lemma δύο; cardinal numeral, indeclinable; accusative plural in function.
- καὶ — lemma καί; coordinating conjunction.
- ἐτέθη — lemma τίθημι; verb; aorist passive indicative third person singular.
- ὑποκάτω — lemma ὑποκάτω; preposition (governing genitive).
- δρυὸς — lemma δρῦς; noun; genitive singular feminine.
- Ῥωγήλ — lemma Ῥωγήλ; proper noun, indeclinable; genitive singular masculine in function.

```xml
<?xml version=""1.0"" encoding=""UTF-8""?>
<div type=""annotation"" xml:lang=""grc"">
  <ab>
    <w lemma=""Ἠσαΐας"" msd=""proper noun, nominative, singular, masculine"">Ἠσαΐας</w>
    <w lemma=""ἀπό"" msd=""preposition"">ἀπὸ</w>
    <w lemma=""Ἱερουσαλήμ"" msd=""proper noun, indeclinable, genitive, singular, feminine"">Ἱερουσαλὴμ</w>
    <w lemma=""θνῄσκω"" msd=""verb, present, active, indicative, third person, singular"">θνῄσκει</w>
    <w lemma=""ὑπό"" msd=""preposition"">ὑπὸ</w>
    <w lemma=""Μανασσῆς"" msd=""proper noun, genitive, singular, masculine"">Μανασσῆ</w>
    <w lemma=""ἐν"" msd=""preposition"">ἐν</w>
    <w lemma=""πρῖσις"" msd=""noun, dative, singular, feminine"">πρίσει</w>
    <w lemma=""εἰς"" msd=""preposition"">εἰς</w>
    <w lemma=""δύο"" msd=""cardinal numeral, indeclinable, accusative, plural"">δύο</w>
    <pc>·</pc>
    <w lemma=""καί"" msd=""conjunction"">καὶ</w>
    <w lemma=""τίθημι"" msd=""verb, aorist, passive, indicative, third person, singular"">ἐτέθη</w>
    <w lemma=""ὑποκάτω"" msd=""preposition"">ὑποκάτω</w>
    <w lemma=""δρῦς"" msd=""noun, genitive, singular, feminine"">δρυὸς</w>
    <w lemma=""Ῥωγήλ"" msd=""proper noun, indeclinable, genitive, singular, masculine"">Ῥωγήλ</w>
    <pc>.</pc>
  </ab>
</div>
```",82,98,75,82,True,"```markdown
82
```","```int
98
```","```markdown
75
```",,,,0.0038448,0.00161475,0.001082586
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,x-ai/grok-4.7,ok,False,0.0071664,16.38,"<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <publisher>Biblioteca Apostolica Vaticana</publisher>
      <availability>
        <p>Codicological record encoded from the supplied description of Vat. gr. 2125.</p>
      </availability>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <msName>Codex Marchalianus</msName>
        </msIdentifier>
        <msContents>
          <msItem>
            <title>Lives of the Prophets (Vitae Prophetarum) - Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc>
              <support>
                <p>Codex</p>
              </support>
              <extent>
                <dimensions unit=""mm"">
                  <height>295</height>
                  <width>179</width>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1"">1 column layout</layout>
            </layoutDesc>
          </objectDesc>
          <handDesc>
            <handNote script=""Greek Uncial / Majuscule"">Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</handNote>
          </handDesc>
        </physDesc>
