benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,google/gemini-3.5-flash-lite,ok,False,0.0233122,34.93,"As a strict philologist, I present below the two required transcription layers from the provided image of Codex Marchalianus p. 11 (Lives of the Prophets: Isaiah, opening lines). 

Scribal anomalies (such as the unassimilated preposition in *ὑπῶ*, the orthographic gemination in *ὑπποκάτω*, and the uncial spelling *Ἡσαΐς*) are strictly preserved in the diplomatic layer without normalization.

---

### (1) DIPLOMATIC LAYER
*(Majuscules, scriptio continua with authentic interpuncts/colons, lunate sigmas [Ϲ], lunate omegas [Ⲱ], Nomina Sacra overlines, and exact line breaks)*

```text
ΒΙΟΙ ΤⲰΝ ΠΡΟΦΗΤⲰΝ ΚΑΙ ΠΟΘΕΝ ΕΙϹΙ · ΚΑΙ ΠΟΥ
ΑΠΕΘΑΝΟΝ ΚΑΙ ΠⲰϹ ΚΑΙ ΠΟΥ ΚΕΙΝΤΑΙ : ⸖ ⸖ ⁓
ΗϹΑΙϹ · ΑΠΟ · Ι̅Ε̅Ρ̅Ο̅Υ̅Ϲ̅Α̅Λ̅Η̅Μ̅ · ΘΝΗϹΚΕΙ · ΥΠⲰ · ΜΑΝΑϹϹΗ
ΕΝΠΡΙϹΘΕΙϹ ΕΙϹ ΔΥΟ · ΚΑΙ ΕΤΕΘΗ ΥΠΠΟΚΑΤⲰ
```

---

### (2) NORMALIZED CRITICAL LAYER
*(Lower-case Greek, standard breathings and accents, expanded/standardized orthography, and word division)*

```text
Βίοι τῶν προφητῶν καὶ πόθεν εἰσὶν καὶ ποῦ
ἀπέθανον καὶ πῶς καὶ ποῦ κεῖνται·
Ἡσαΐας ἀπὸ Ἱερουσαλήμ, θνῄσκει ὑπὸ Μανασσῆ
πρισθεὶς εἰς δύο, καὶ ἐτέθη ὑποκάτω
```",30,45,0,30,True,"Looking at the candidate's diplomatic layer against the ground truth:

**Line 1**: Ground truth has ΟΝΟΜΑΤΑΠΡΟΦΗΤⲰΝ... but candidate has ΒΙΟΙ ΤⲰΝ ΠΡΟΦΗΤⲰΝ... — completely different first word (major error).

**Line 3**: Ground truth has ΗϹΑΪΑϹ (with iota subscript and full spelling), but candidate has ΗϹΑΙϹ — missing the Α and the iota subscript. Also, ground truth has ΜΑΝΑϹ at line end, but candidate has ΜΑΝΑϹϹΗ (wrong line break).

**Line 4**: Ground truth begins with ϹΗΠΡΙϹΘΕΙϹ (continuation of ΜΑΝΑϹ from line 3), but candidate has spurious ΕΝΠΡΙϹΘΕΙϹ — inventing text. Also, ground truth has ΫΠΟΚΑΤⲰ (with breathing), but candidate has ΥΠΠΟΚΑΤⲰ (invented gemination, missing breathing).

**Normalized layer**: Has Βίοι instead of Ὀνόματα; εἰσὶν instead of εἰσί; Ἱερουσαλήμ (acute) instead of Ἱερουσαλὴμ (grave).

**Positives**: Correct lunate sigmas (Ϲ) and omegas (Ⲱ); correct punctuation at line 2 end; correctly stopped at crop boundary; layers kept distinct.

**Negatives**: Wrong title; missing letters in ΗϹΑΪΑϹ; wrong line break; invented spurious ΕΝ; invented gemination; missing breathings. These constitute inventing text and ""correcting"" anomalies — heavy deductions warranted.

```\n30\n```","```
45
```","```text
0
```",,,,0.02223135,0.001044,0.0006643184
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,google/gemini-3.5-flash-lite,ok,False,0.0064032,8.92,"**CRITICAL APPARATUS**
*Sigla: S = Schermann 1907 (Base Text); M = Codex Marchalianus (Vat. gr. 2125, p. 11)*

**1.** [ἔχει δὲ] ἥτις ἔχει M ; **omission** (om. *δὲ*) and **addition** (add. *ἥτις* ante *ἔχει*) 

**2.** [ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M ; **addition** (add. *πόθεν πίνουσιν* post *πολέμιοι*)

**3.** [καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M ; **addition** (add. *ὅτι* ante *καὶ*) and **transposition** (inversio verborum: *χρησμὸς ἐδόθη αὐτοῖς* pro *ἐδόθη αὐτοῖς χρησμὸς*)",72,95,78,78,True,"Looking at the candidate answer against the ground truth:

**Locus 1:** The candidate truncates both the lemma ([ἔχει δὲ] vs. ground truth [ἔχει δὲ εἴσοδον]) and the reading (ἥτις ἔχει M vs. ground truth ἥτις ἔχει εἴσοδον M), missing εἴσοδον. More importantly, the typology is misclassified as ""omission + addition"" rather than the more accurate ""substitution"" (ἥτις replaces δὲ).

**Locus 2:** Correctly identified as an addition. Lemma is longer than ground truth's but not wrong. Classification is accurate.

**Locus 3:** Correctly identified as both addition (of ὅτι) and transposition. Lemma matches ground truth. Classification is accurate.

**Summary:**
- Variant detection: All three found, none invented ✓
- Alignment: Locus 1 truncated; others fine ✗
- Typology: Locus 1 misclassified (omission/addition vs. substitution); others correct ✗
- Apparatus discipline: Generally well-formed but locus 1 incomplete ✗

```markdown
72
```","```underscore
95
```",```78```,,,,0.00412845,0.001053,0.0010969
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,google/gemini-3.5-flash-lite,ok,False,0.0053934,8.37,"**Translation:**

""And God performed the sign of Siloam through the prophet, because before dying, having grown faint, he prayed to drink water, and immediately it was sent to him from it. Therefore it was called Siloam, which is translated 'Sent'… 

[**Philological Note: A lacuna exists in the manuscript text at this point, indicated by the ellipsis.**]

...If, therefore, the Jews came, water would come forth; but if foreigners, no. Wherefore until today it comes forth suddenly, in order that the mystery might be demonstrated.""

***

**Philological Observations:**
*   **ὀλιγωρήσας:** Literally ""having slighted"" or ""having been negligent,"" but employed here in its physiological/hagiographical sense of growing weak, despondent, or faint from thirst. 
*   **ἀπεσταλμένος:** The masculine singular perfect passive participle/substantive matching the etymological gloss of *Siloam* (Hebrew *Shiloach*). 
*   **ἀλλόφυλοι:** Strictly ""of another tribe/race""; in Septuagintal and Christian Greek usage, this typically denotes foreigners, Gentiles, or outsiders (frequently translated as ""Philistines"" in historical biblical contexts, but functioning here as a broader ethnic/religious contrast to the *Ἰουδαῖοι*).
*   **Lacuna:** The break in the text (`...`) represents a physical lacuna or missing section in the manuscript witness (Codex Marchalianus, p. 11), which has been preserved without conjectural restoration in accordance with strict stemmatic and epigraphic protocol.",85,90,N/A,87.5,False,"```85
```","```
90
```",,,,not_needed,0.00432525,0.0010425,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,google/gemini-3.5-flash-lite,ok,False,0.0106851,12.75,"*Philological Note on Methodology:* In accordance with strict philological protocols, scribal spellings and orthographic variations (such as the genitive form *Μανασσῆ* and the spelling *Ἱερουσαλὴμ*) are preserved exactly as transcribed from Codex Marchalianus without normalization. There are no lacunae affecting this specific snippet.

***

### 1. Morphosyntactic Parse

1. **Ἠσαΐας** – Lemma: Ἠσαΐας | POS: Proper Noun (Noun) | Case: Nominative | Number: Singular | Gender: Masculine
2. **ἀπὸ** – Lemma: ἀπό | POS: Preposition | Governance: Genitive
3. **Ἱερουσαλὴμ** – Lemma: Ἱερουσαλήμ | POS: Proper Noun (Noun) | Case: Genitive (indeclinable) | Number: Singular | Gender: Feminine
4. **θνῄσκει** – Lemma: θνῄσκω | POS: Verb | Tense: Present | Voice: Active | Mood: Indicative | Person: 3 | Number: Singular
5. **ὑπὸ** – Lemma: ὑπό | POS: Preposition | Governance: Genitive
6. **Μανασσῆ** – Lemma: Μανασσῆς | POS: Proper Noun (Noun) | Case: Genitive | Number: Singular | Gender: Masculine *(scribal contraction/variant)*
7. **ἐν** – Lemma: ἐν | POS: Preposition | Governance: Dative
8. **πρίσει** – Lemma: πρίσις | POS: Noun | Case: Dative | Number: Singular | Gender: Feminine
9. **εἰς** – Lemma: εἰς | POS: Preposition | Governance: Accusative
10. **δύο** – Lemma: δύο | POS: Numeral | Case: Accusative | Number: Plural | Gender: Neuter *(indeclinable)*
11. **καὶ** – Lemma: καί | POS: Conjunction
12. **ἐτέθη** – Lemma: τίθημι | POS: Verb | Tense: Aorist | Voice: Passive | Mood: Indicative | Person: 3 | Number: Singular
13. **ὑποκάτω** – Lemma: ὑποκάτω | POS: Preposition / Adverb | Governance: Genitive
14. **δρυὸς** – Lemma: δρῦς | POS: Noun | Case: Genitive | Number: Singular | Gender: Feminine
15. **Ῥωγήλ** – Lemma: Ῥωγήλ | POS: Proper Noun (Noun) | Case: Genitive (indeclinable) | Number: Singular | Gender: Feminine

***

### 2. TEI XML Encoding

```xml
<p>
  <w lemma=""Ἠσαΐας"" msd=""Case=Nom|Gender=Masc|Number=Sing|PartOfSpeech=PROPN"">Ἠσαΐας</w>
  <w lemma=""ἀπό"" msd=""AdpType=Prep|PartOfSpeech=ADP"">ἀπὸ</w>
  <w lemma=""Ἱερουσαλήμ"" msd=""Case=Gen|Gender=Fem|Number=Sing|PartOfSpeech=PROPN"">Ἱερουσαλὴμ</w>
  <w lemma=""θνῄσκω"" msd=""Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act|PartOfSpeech=VERB"">θνῄσκει</w>
  <w lemma=""ὑπό"" msd=""AdpType=Prep|PartOfSpeech=ADP"">ὑπὸ</w>
  <w lemma=""Μανασσῆς"" msd=""Case=Gen|Gender=Masc|Number=Sing|PartOfSpeech=PROPN"">Μανασσῆ</w>
  <w lemma=""ἐν"" msd=""AdpType=Prep|PartOfSpeech=ADP"">ἐν</w>
  <w lemma=""πρίσις"" msd=""Case=Dat|Gender=Fem|Number=Sing|PartOfSpeech=NOUN"">πρίσει</w>
  <w lemma=""εἰς"" msd=""AdpType=Prep|PartOfSpeech=ADP"">εἰς</w>
  <w lemma=""δύο"" msd=""Case=Acc|Gender=Neut|Number=Plur|NumType=Card|PartOfSpeech=NUM"">δύο</w>
  <pc>·</pc>
  <w lemma=""καί"" msd=""PartOfSpeech=CCONJ"">καὶ</w>
  <w lemma=""τίθημι"" msd=""Mood=Ind|Number=Sing|Person=3|Tense=Aor|VerbForm=Fin|Voice=Pass|PartOfSpeech=VERB"">ἐτέθη</w>
  <w lemma=""ὑποκάτω"" msd=""AdpType=Prep|PartOfSpeech=ADP"">ὑποκάτω</w>
  <w lemma=""δρῦς"" msd=""Case=Gen|Gender=Fem|Number=Sing|PartOfSpeech=NOUN"">δρυὸς</w>
  <w lemma=""Ῥωγήλ"" msd=""Case=Gen|Gender=Fem|Number=Sing|PartOfSpeech=PROPN"">Ῥωγήλ</w>
  <pc>.</pc>
</p>
```",82,98,100,98,True,"```markdown
82
```","```markdown
98
```","```markdown
100
```",,,,0.0047667,0.00181875,0.001224412
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,google/gemini-3.5-flash-lite,ok,False,0.006288,6.65,"```xml
<teiHeader xmlns=""http://www.tei-c.org/ns/1.0"">
   <fileDesc>
      <titleStmt>
         <title>Codex Marchalianus: Lives of the Prophets (Vitae Prophetarum) and Isaiah</title>
      </titleStmt>
      <publicationStmt>
         <publisher>Biblioteca Apostolica Vaticana (Digital Edition)</publisher>
         <availability>
            <licence target=""http://creativecommons.org/licenses/by/4.0/"">
               <p>Distributed under a Creative Commons Attribution 4.0 International License.</p>
            </licence>
         </availability>
      </publicationStmt>
      <sourceDesc>
         <msDesc>
            <msIdentifier>
               <country>Vatican</country>
               <settlement>Vatican City</settlement>
               <repository>Biblioteca Apostolica Vaticana</repository>
               <idno>Vat. gr. 2125</idno>
               <msName>Codex Marchalianus</msName>
            </msIdentifier>
            <msContents>
               <msItem>
                  <title>Lives of the Prophets (Vitae Prophetarum) - Isaiah</title>
                  <textLang mainLang=""grc"">Ancient Greek</textLang>
               </msItem>
            </msContents>
            <physDesc>
               <objectDesc form=""codex"">
                  <supportDesc>
                     <support>Parchment</support>
                  </supportDesc>
                  <layoutDesc>
                     <layout columns=""1"">1 column layout</layout>
                  </layoutDesc>
               </objectDesc>
               <dimensions type=""leaf"" unit=""mm"">
                  <height>295</height>
                  <width>179</width>
               </dimensions>
               <scriptDesc>
                  <scriptNote>Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</scriptNote>
               </scriptDesc>
            </physDesc>
            <history>
               <origin>
                  <origPlace>Egypt</origPlace>
                  <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
               </origin>
            </history>
         </msDesc>
      </sourceDesc>
   </fileDesc>
</teiHeader>
```",60,90,85,85,True,"```markdown
60
```","```thought
```90```","```markdown
85
```",,,,0.0027636,0.00228525,0.00128562
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,google/gemini-3.5-flash-lite,ok,False,0.0157768,23.96,"### (1) DIPLOMATIC LAYER
*(Preserving exact scribal forms, line breaks, long-s `ſ`, suspensions, abbreviations, and punctuation)*

[E]ſaiaſ filiuſ amoſ . non illuſ  
p̄phe . ſed alteruſ qui ſimile nuncupat̄ ẽ . no  
mine . Ille enim exnumero paſtoꝝ fuit . de oppido  
thecue . Hic autē genere nobili ortuſ ẽ . ierl̄m .  
Quͧe etiã hebrei aiunt ſocrū fuiſſe manaſſe . Inquo  
tanta fuit ſcitas . ⁊ vite excellentia . ut unam  
tamū dicereſ habuiſſe tunicam alicinam . Quamqꝰ  

***

### (2) NORMALIZED CRITICAL LAYER
*(Expanding all abbreviations and standardizing classical orthography)*

Esaias filius Amos, non illius prophetae, sed alterius qui simile nuncupatur est nomine. Ille enim ex numero pastorum fuit, de oppido Thecue. Hic autem genere nobili ortus est Hierusalem. Quem etiam Hebraei aiunt socrum fuisse Manassae. In quo tanta fuit sanctitas et vitae excellentia, ut unam tantum diceret habuisse tunicam cilicinam. Quamque",2,88,20,20,True,"Let me carefully compare the candidate's diplomatic layer against the ground truth.

Ground truth diplomatic:
Line 1: E Saias (Eſaiaſ) filius (filiuſ) amos (amoſ). non illius (illiuſ)
Line 2: pphe (p̄phe). sed (ſed) alterius (alteriuſ) qui simile (ſimile) nuncupat̄ ē. no
Line 3: mine. Ille enim ex numero pastoꝝ (paſtoꝝ) fuit. de oppido
Line 4: thecue. Hic autē genere nobili (nobilis) ortus (ortuſ) ē. ierl̄m.

Candidate diplomatic:
[E]ſaiaſ filiuſ amoſ . non illuſ
p̄phe . ſed alteruſ qui ſimile nuncupat̄ ẽ . no
mine . Ille enim exnumero paſtoꝝ fuit . de oppido
thecue . Hic autē genere nobili ortuſ ẽ . ierl̄m .
Quͧe etiã hebrei aiunt ſocrū fuiſſe manaſſe . Inquo
tanta fuit ſcitas . ⁊ vite excellentia . ut unam
tamū dicereſ habuiſſe tunicam alicinam . Quamqꝰ

Let me check each line:

Line 1: ""[E]ſaiaſ filiuſ amoſ . non illuſ"" - matches ground truth. The [E] is in brackets indicating the rubricated initial. Good.

Line 2: ""p̄phe . ſed alteru","```json
88
```",```20```,,,,0.0,0.0009525,0.0010172744
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,google/gemini-3.5-flash-lite,ok,False,0.0056338,7.67,"[ille] Hic V (substitution) ;

[hic] Hic autem V (substitution, addition) ;

[nobilis] nobili V (orthographic) ;

[ortus] ortus est V (addition) ;

[in] om. V (omission) ;

[atrocique] atroque V (orthographic) ;

[extincxit] extinxit V (orthographic) ;",55,82,60,60,True,"Looking at the candidate answer against the ground truth:

**Variant 1:** Correctly identified as substitution of ""Hic"" for ""ille"". ✓

**Variant 2:** Split into multiple entries:
- ""Hic autem"" for ""hic"": Classified as ""substitution, addition"" — should be just ""addition"" of *autem* (since *Hic* = *hic*). Confused classification.
- ""nobili"" for ""nobilis"": Classified as **orthographic** — should be **substitution** (nominative vs. ablative is a morphological, not orthographic, difference). ✗
- ""ortus est"" for ""ortus"": Correctly identified as addition (ground truth doesn't explicitly note this, but it's a real variant). ✓
- ""om. in"": Correctly identified as omission. ✓

**Variant 3:**
- ""atroque"" for ""atrocique"": Classified as **orthographic** — should be **substitution** (these are different word forms, not spelling variants). ✗
- ""extinxit"" for ""extincxit"": Correctly identified as orthographic. ✓

**Summary of issues:**
- All variants detected, no inventions ✓
- Alignment mostly correct ✓
- **Two significant typology errors**: misclassifying *nobili/nobilis* and *atroque/atrocique* as orthographic when they are genuine substitutions
- One confused classification (*Hic autem*)
- Apparatus format is well-formed ✓

The typology errors are substantive scholarly mistakes that mischaracterize real linguistic differences as mere spelling.

```markdown
55
```",```82```,"```markdown
60
```",,,,0.0056295,0.00177675,0.00142828
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,google/gemini-3.5-flash-lite,ok,False,0.0045348,6.51,"**Translation:**

""Moreover, the Hebrews hand down that Isaiah was put to death for two reasons: one, because he called them rulers of Sodom and the people of Gomorrah; the other, because, while the Lord testified to Moses, «You will not be able to see my face», this man dared to exclaim: «I saw the Lord sitting upon a high throne...», the Jews, blinded in mind, not considering that in the subsequent text he had related that the Seraphim covered the face and feet of God and writes that he saw only the middle parts of Him. He lies beneath the oak of Rogel near the watercourses.""

***

*(Note: The ellipsis following ""excelsum"" reflects the truncation of the biblical citation in the transmitted text; no physical manuscript lacuna is present at this juncture, and the translation strictly adheres to the transmitted wording without conjectural expansion.)*",92,98,N/A,95,False,```\n92\n```,"```
98
```",,,,not_needed,0.00331275,0.00082725,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,google/gemini-3.5-flash-lite,ok,False,0.005759,8.63,"Here is the philological analysis and encoding for the diplomatic Latin phrase from Vat. lat. 629, f. 3v:

### (1) Expanded Normalized Latin Text
> *Iuxta imperium domini nudo corpore, nudoque vestigio in conventu populi conversatus est.*

---

### (2) Grammatical Parse
*   **imp̃ium (*imperium*):** Noun, neuter, 2nd declension, accusative singular. Governed as the direct object by the preposition *iuxta*.
*   **dn̄i (*domini*):** Noun, masculine, 2nd declension, genitive singular (from *dominus*). Functions as a genitive of subordination/possession modifying *imperium* (""the command of the Lord"").
*   **ppl̄i (*populi*):** Noun, masculine, 2nd declension, genitive singular (from *populus*). Functions as a genitive modifying *conventu* (""in the assembly of the people"").
*   **conuerſatuſ ē (*conversatus est*):** 
    *   *conversatus*: Perfect passive participle (acting deponently) from *conversor*, masculine, nominative, singular, agreeing with the implicit subject.
    *   *est*: Auxiliary verb, 3rd person singular, present indicative active of *sum*, combining with the participle to form the perfect tense of the deponent verb.

---

### (3) TEI P5 XML Encoding

```xml
<ab xml:id=""vat629-3v-01"" corresp=""#lat-parabiblica"">
  iuxta 
  <choice>
    <abbr>imp̃ium</abbr>
    <expan>imperium</expan>
  </choice> 
  <choice>
    <abbr>dn̄i</abbr>
    <expan>domini</expan>
  </choice> 
  nudo corpore. 
  nudo<choice>
    <abbr>q:</abbr>
    <expan>que</expan>
  </choice> 
  ueſtigio 
  in conuentu 
  <choice>
    <abbr>ppl̄i</abbr>
    <expan>populi</expan>
  </choice> 
  conuerſatuſ 
  <choice>
    <abbr>ē</abbr>
    <expan>est</expan>
  </choice>.
</ab>
```",82,98,80,82,True,"Looking at the candidate answer against the ground truth:

**Part (1) Normalized text:** Mostly correct, but uses a period after ""corpore"" instead of a comma, and capitalizes ""Iuxta"" (minor normalization differences).

**Part (2) Grammatical parse:**
- *imperium*: Morphology correct, but described as ""direct object"" rather than object of the preposition (slight inaccuracy in syntactic role).
- *Domini*: Correct.
- *populi*: Correct.
- *conversatus est*: Correctly identified as deponent perfect, with detailed component analysis.

**Part (3) TEI XML:** Significant error — the candidate splits ""nudoq:"" into ""nudo"" + ""q:"" → ""que"", losing the proper abbreviation structure. The ground truth treats ""nudoq:"" as a single abbreviation expanding to ""nudoque"". Also splits ""conuerſatuſ ē"" into two separate choices rather than one unit. Adds unrequested `<ab>` wrapper element.

**Deductions:**
- ""Direct object"" mischaracterization of imperium's syntactic role
- TEI XML error splitting ""nudoq:"" incorrectly
- Minor punctuation differences in normalized text

```markdown
82
```","```markdown
98
```","```markdown
80
```",,,,0.00532995,0.00094725,0.000542976
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,google/gemini-3.5-flash-lite,ok,False,0.017349,26.89,"```text
Line 1: [...] ל̇ד̇ [...] א̇י̇ל̇י̇ן̇ [...]
Line 2: [...] א̇נ̇י̇ א̇נ̇י̇א̇ י̇ו̇ס̇ף̇ א̇מ̇ר̇ [...]
Line 3: [...] ב̇ח̇ז̇ו̇ת̇ ו̇ח̇ז̇י̇ ו̇ד̇מ̇ו̇ת̇ [...]
Line 4: [...] מ̇ח̇ז̇ו̇ק̇י̇ן̇ ס̇פ̇ר̇י̇ן̇ ד̇ [...]
```",0,5,N/A,2.5,False,"```text
0
```","```
5
```",,,,not_needed,0.00220785,0.00110325,0.0
