benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,google/gemma-4-31b-it,ok,False,0.00084119,1.16,"**DIPLOMATIC TRANSCRIPTION**

ΟΝΩΜΑΤΑΠΡΟΦΗΤΩΝ ΚΑΙΤΠΟΓΕΝΕΙϹΙ ΚΑΙΤΟΥ
ΔΙϹΘΑΝΟΝ ΚΑΙΤΠΩϹ ΚΑΙΤΤΟΥΚΕΙΝΤΑΙ : ⸖ ⸖ ⁓
ΗϹΑΙΑϹΑΠΤΟΙΕΡΟΥϹΑΛΗΝΩΝΗϹΚΕΙΥΠΤΩϹΑΝΔϹ
ϹΗΝΤΡΙϹΘΕΙϹΕΙϹΔΥΟ·ΚΑΙΕΤΕΘΗΝΥΠΠΟΚΑΤΩ

***

**NORMALIZED CRITICAL TRANSCRIPTION**

ὀνόματα προφητῶν καὶ τὸ γενέσει καὶ τοῦ
δισθανόν καὶ τπῶς καὶ τοῦ κείνται.
Ἠσαΐας ἀπτο Ἰερουσαληνῶν ης κεί υπτῶς ἀνδς
σην τρις θείσεις δυο· καὶ ἐτέθην υποκάτω.",10,45,5,10,True,"```10
```","```
45
```","```markdown
5
```",,,,0.00568185,0.0033855,0.000847684
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,google/gemma-4-31b-it,ok,False,0.00068047,0.9,"**COLLATION REPORT: Codex Marchalianus (M) vs. Schermann (S)**

**Locus 1**
ἔχει δὲ εἴσοδον ἀπὸ Γαβαών $\text{S}$ $\mid$ ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών $\text{M}$
Apparatus: [ἔχει δὲ] ἥτις ἔχει $\text{M}$ (substitution)

**Locus 2**
ἠρώτων γὰρ οἱ πολέμιοι $\text{S}$ $\mid$ ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν $\text{M}$
Apparatus: [πολέμιοι] πολέμιοι πόθεν πίνουσιν $\text{M}$ (addition)

**Locus 3**
καὶ ἐδόθη αὐτοῖς χρησμὸς $\text{S}$ $\mid$ ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς $\text{M}$
Apparatus: [καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς $\text{M}$ (substitution/transposition)",78,95,70,78,True,"Looking at each locus carefully:

**Locus 1:** Candidate correctly identifies substitution of δὲ → ἥτις. Lemma is slightly narrower ([ἔχει δὲ] vs ground truth [ἔχει δὲ εἴσοδον]) but captures the key variant point. Typology correct.

**Locus 2:** Candidate correctly identifies the addition of πόθεν πίνουσιν. Lemma [πολέμιοι] vs ground truth [οἱ πολέμιοι] is a minor difference but acceptable. Typology correct.

**Locus 3:** Candidate correctly identifies the lemma and reading, and notes transposition. However, the typology is incomplete — ground truth specifies ""TRANSPOSITION and ADDITION"" (the addition of causal ὅτι is a key feature), while the candidate only says ""substitution/transposition,"" missing the addition component.

**Summary:**
- Variant detection: All three variants found, none invented. ✓
- Alignment: Mostly correct, minor lemma scope differences. ✓
- Typology: 2/3 fully correct; locus 3 misses the ""addition"" classification. ✗
- Apparatus discipline: Well-formed, no editorializing. ✓

The incomplete typology on locus 3 (missing the addition of ὅτι) is a meaningful gap, but the core readings and most classifications are sound.

```markdown
78
```","```markdown
95
```","```markdown
70
```",,,,0.0039096,0.00090525,0.00067746
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,google/gemma-4-31b-it,ok,False,0.00088755,1.01,"**Philological Translation**

""And God performed the sign of the Siloam through the prophet; for before dying, having thirsted a little, he desired to drink water and immediately it was sent to him from it; for this reason it was called Siloam, which is interpreted *sent*... if therefore the Jews were [present], water went forth; but if foreigners, not [so]; wherefore until this day it comes forth suddenly, so that the mystery might be shown.""

**Critical Apparatus and Philological Notes:**

1. **ὀλιγωρήσας**: This is a non-standard scribal formation (likely a contraction or corruption of *ὀλιγῶς διψήσας* or a related hapax). I have rendered this as ""having thirsted a little"" to preserve the sense of the anomaly without normalizing the morphology.
2. **ἀπεστάλη**: Note the use of the aorist passive. The text maintains a strict etymological link between the action of the water being ""sent"" (*ἀπεστάλη*) and the name *Σιλωάμ* (*ἀπεσταλμένος*).
3. **ἐὰν οὖν οἱ Ἰουδαῖοι ἤρχοντο**: The verb *ἤρχοντο* (from *ἄρχω*) is used here in a non-standard sense, likely meaning ""were present"" or ""were in charge/governing [the site],"" rather than the standard ""began."" I have translated this as ""were [present]"" to reflect the conditional logic of the passage.
4. **ἀλλόφυλοι**: Literally ""of another race/tribe."" Rendered as ""foreigners"" in accordance with the socio-religious dichotomy established in the text.
5. **Lacuna**: The ellipsis (...) indicates a break in the source text; no conjectural restoration is provided.",40,45,N/A,42.5,False,```\n40\n```,"```
45
```",,,,not_needed,0.0046209,0.0019095,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,google/gemma-4-31b-it,ok,False,0.00155188,1.47,"### Philological Annotation: Codex Marchalianus p. 11

**Textual Note:** The transcription is preserved exactly as provided. No normalization of orthography or scribal variation has been applied.

#### 1. Regularized Greek Text
Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

#### 2. Morphosyntactic Parse

| Word | Lemma | POS | Morphological Analysis |
| :--- | :--- | :--- | :--- |
| Ἠσαΐας | Ἠσαΐας | Proper Noun | Nom. Sing. Masc. |
| ἀπὸ | ἀπό | Preposition | Accusative |
| Ἱερουσαλὴμ | Ἱερουσαλήμ | Proper Noun | Gen. Sing. Fem. (indeclinable) |
| θνῄσκει | θνῄσκω | Verb | Pres. Act. Ind. 3rd Sing. |
| ὑπὸ | ὑπό | Preposition | Genitive (agentive) |
| Μανασσῆ | Μανασσῆς | Proper Noun | Gen. Sing. Masc. |
| ἐν | ἐν | Preposition | Dative |
| πρίσει | πρίσις | Noun | Dat. Sing. Fem. |
| εἰς | εἰς | Preposition | Accusative |
| δύο | δύο | Numeral | Acc. Plur. Masc./Fem./Neut. |
| καὶ | καί | Conjunction | - |
| ἐτέθη | τίθημι | Verb | Aor. Pass. Ind. 3rd Sing. |
| ὑποκάτω | ὑποκάτω | Adverb | - |
| δρυὸς | δρῦς | Noun | Gen. Sing. Fem. |
| Ῥωγήλ | Ῥωγήλ | Proper Noun | Gen. Sing. Fem. (indeclinable) |

#### 3. TEI XML Encoding

```xml
<p>
  <w lemma='Ἠσαΐας' msd='noun+prop+nom+sg+masc'>Ἠσαΐας</w>
  <w lemma='ἀπό' msd='prep+acc'>ἀπὸ</w>
  <w lemma='Ἱερουσαλήμ' msd='noun+prop+gen+sg+fem'>Ἱερουσαλὴμ</w>
  <w lemma='θνῄσκω' msd='verb+pres+act+ind+3sg'>θνῄσκει</w>
  <w lemma='ὑπό' msd='prep+gen'>ὑπὸ</w>
  <w lemma='Μανασσῆς' msd='noun+prop+gen+sg+masc'>Μανασσῆ</w>
  <w lemma='ἐν' msd='prep+dat'>ἐν</w>
  <w lemma='πρίσις' msd='noun+dat+sg+fem'>πρίσει</w>
  <w lemma='εἰς' msd='prep+acc'>εἰς</w>
  <w lemma='δύο' msd='num+acc+pl'>δύο</w>
  <w lemma='καί' msd='conj'>καὶ</w>
  <w lemma='τίθημι' msd='verb+aor+pass+ind+3sg'>ἐτέθη</w>
  <w lemma='ὑποκάτω' msd='adv'>ὑποκάτω</w>
  <w lemma='δρῦς' msd='noun+gen+sg+fem'>δρυὸς</w>
  <w lemma='Ῥωγήλ' msd='noun+prop+gen+sg+fem'>Ῥωγήλ</w>
</p>
```",55,90,70,70,True,"Looking at the candidate answer against the ground truth:

**Major Error:**
- **ἀπό**: The candidate claims it governs the **accusative** (msd='prep+acc'), but ἀπό governs the **genitive**. This is a confidently wrong syntactic/morphological claim.

**Minor Issues:**
- **ὑποκάτω**: Classified as ""Adverb"" rather than preposition (ground truth: 'P'). In this context it governs δρυὸς (genitive), functioning as an improper preposition.
- **Ἱερουσαλήμ** and **Ῥωγήλ**: Assigned specific cases (gen sg fem) despite being indeclinable (ground truth: NIDF).
- **δύο**: Assigned ""acc pl"" but is indeclinable (ground truth: M).
- **ὑποκάτω** ambiguity not flagged.

**Correct elements:**
- Regularized text matches exactly.
- Most lemmas correct (Ἠσαΐας, θνῄσκω, Μανασσῆς, πρίσις, τίθημι, δρῦς, etc.).
- θνῄσκει (VPAI3S), ἐτέθη (VAPI3S), πρίσει (NDSF), Μανασσῆ (NGSM), δρυὸς (NGSF) all correctly parsed.
- ὑπό + genitive correctly identified.
- ἐν + dative, εἰς + accusative correctly identified.

The ἀπό error is a significant confidently wrong syntactic claim about case government, which the rubric says to deduct heavily for.

```markdown
55
```","The candidate does a very good job overall, but has one blatant grammatical error:
- Claims `ἀπὸ` takes the accusative (`Preposition | Accusative` and `msd='prep+acc'`). `ἀπό` takes the genitive in Greek.
- Categorizing `ὑποκάτω` as an adverb is defensible in traditional Greek grammar (improper preposition / adverb with genitive).

Score deduction for claiming `ἀπό` takes the accusative: -10 points.

```score
90
```","```markdown
70
```",,,,0.00697965,0.0019905,0.000732032
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,google/gemma-4-31b-it,ok,False,0.00098984,0.6,"```xml
<teiHeader>
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <p>Digital encoding of the codicological record for Vat. gr. 2125.</p>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
        </msIdentifier>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
        <physDesc>
          <codex>
            <support>
              <material>parchment</material>
            </support>
            <layout>
              <divs type=""column"">1</divs>
              <dimensions>
                <height unit=""mm"">295</height>
                <width unit=""mm"">179</width>
              </dimensions>
            </layout>
            <hand>
              <script>Greek Uncial / Majuscule</script>
              <note>Contains lunate sigmas and Nomina Sacra</note>
            </hand>
          </codex>
        </physDesc>
        <msContents>
          <msItem>
            <title>Lives of the Prophets (Vitae Prophetarum) - Isaiah</title>
            <lang>grc</lang>
          </msItem>
        </msContents>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>
```",30,58,30,30,True,"```markdown
30
```","```metric
58
```","```score
30
```",,,,0.0032502,0.0011685,0.00049294
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,google/gemma-4-31b-it,ok,False,0.0008983,0.87,"**Vat. lat. 629 f. 3v**

**(1) DIPLOMATIC LAYER**
E ſarai filius amos. non illius
pphē. ſed alterius qui ſimile nuncupat ē. no
mine. Ille enim exnumero paſtoꝝ fuit. de oppido
checue. Hic autē genere nobili ortus ē. ierl̄m.
Quē etiā hebrei aiunt ſocrū fuiſſe manaſſe. Inquo
tanta fuit ſanitas. q̄uite excellentia. ut unam
tantū diceret habuiſſe tunicā cilicinā. Quamq:

**(2) NORMALIZED CRITICAL LAYER**
Esaias filius Amos. non illius
prophetae. sed alterius qui simile nuncupatus est no
mine. Ille enim exnumero pastorum fuit. de oppido
Checue. Hic autem genere nobili ortus est Hierusalem.
Quem etiam hebrei aiunt socrum fuisse Manasse. Inquo
tanta fuit sanitas, quite excellentia, ut unam
tantum diceret habuisse tunicam cilicinam. Quamque:",35,80,20,35,True,"Looking at the candidate's diplomatic layer against the ground truth, I identify several significant errors:

**Major misreadings:**
1. ""E ſarai"" vs. ""Eſaiaſ"" — The name *Esaias* is misread as *Sarai* (a completely different name).
2. ""checue"" vs. ""thecue"" — Missing the initial ""t"" in *Thecue*.
3. ""ſanitas"" vs. ""scītas"" — Misreading the abbreviation for *sanctitas* as *sanitas*.
4. ""q̄uite"" vs. ""& uite"" — Misreading *et uite* (et vitae) as *quite*.
5. ""ortus ē"" normalized as ""ortus est"" vs. ground truth ""ortus in"" — different reading.

**Minor issues:**
- Missing macrons on ""p̄phe"", ""nuncupat̄"", and ""diceret̄"".
- ""exnumero"" vs. ""ex numero"" (spacing).
- ""Inquo"" vs. ""In quo"" (spacing).
- ""ortus"" without long-s (acceptable per rubric, but inconsistent with scribe's mixed usage).

**Positive aspects:**
- Generally good use of long-s (ſ) throughout.
- Two layers provided as requested.
- No hallucinated text for unreadable portions.
- Preserves ""Ille enim"" reading (acceptable per rubric).

The multiple significant misreadings of key words (especially the subject name *Esaias* → *Sarai*) substantially undermine diplomatic fidelity. The normalized layer propagates these errors.

```35
```","```json
80
```",```20```,,,,0.00776835,0.00179775,0.0010532668
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,google/gemma-4-31b-it,ok,False,0.00042882,0.36,"The following collation of Vat. lat. 629 f. 3v (V) against Chaparro Gómez 1985 (C) is presented according to strict philological standards.

**Apparatus Criticus**

1. [ille] Hic V (substitution)
2. [hic] Hic autem V (addition); [nobilis] nobili V (orthographic); [ortus in Hierusalem] ortus est Hierusalem V (substitution)
3. [atrocique] atroque V (orthographic); [extincxit] extinxit V (orthographic)",55,75,70,70,True,"Looking at the candidate's answer against the ground truth:

**Variant 1:** Correctly identified as substitution of Hic for ille. ✓

**Variant 2:** 
- Addition of ""autem"" correctly identified ✓
- ""nobili"" for ""nobilis"" — candidate classifies as ORTHOGRAPHIC, but this is a case change (nominative → ablative), so it should be SUBSTITUTION ✗
- ""ortus est Hierusalem"" for ""ortus in Hierusalem"" — candidate calls this a substitution, but the ground truth identifies an OMISSION of the preposition ""in"" (and addition of ""est""). The candidate missed the omission of ""in"" ✗

**Variant 3:**
- ""atroque"" for ""atrocique"" — candidate classifies as ORTHOGRAPHIC, but ground truth classifies as SUBSTITUTION (loss of -ci-) ✗
- ""extinxit"" for ""extincxit"" — correctly classified as orthographic ✓

**Summary of issues:**
- Missed the omission of ""in"" in variant 2 (significant)
- Misclassified ""nobili/nobilis"" as orthographic instead of substitution
- Misclassified ""atroque/atrocique"" as orthographic instead of substitution
- All variants detected, alignment mostly correct, but typology has multiple errors

```markdown
55
```","```markdown
75
```","```score
70
```",,,,0.004566,0.00161325,0.00154364
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,google/gemma-4-31b-it,ok,False,0.00058868,0.63,"The following is a scholarly translation of the passage from *De ortu et obitu patrum* §37 (Vat. lat. 629 f. 3v). In accordance with philological rigor, I have preserved the specific phrasing and logical structures of the Latin, including the scribal usage of *scribat* and the specific rendering of the biblical citations.

***

**Translation**

""The Hebrews, however, relate that Isaiah was killed for two reasons: one, that he had called them princes of Sodom and the people of Gomorrah; the other, that—while the Lord had testified to Moses « you shall not be able to see my face », this man dared to exclaim: « I saw the Lord sitting upon a high throne... », the Jews, blinded in mind, not judging that in the following [passages] he had narrated that Seraphim had covered the face and feet of God and that he writes that he had seen only the middle of him. He lies under the oak of Rogel near the courses of the waters.""",92,98,N/A,95,False,"```92
```","```
98
```",,,,not_needed,0.003906,0.0007785,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,google/gemma-4-31b-it,ok,False,0.00083912,0.38,"### Philological Annotation: Vat. lat. 629 f. 3v

**(1) Expanded Normalized Latin Text**
*iuxta imperium domini nudo corpore. nudoque vestigio in conventu populi conversatus est.*

**(2) Grammatical Parse**
*   **imp̃ium** (*imperium*): Noun, neuter, singular, accusative. Governed by the preposition *iuxta*.
*   **dn̄i** (*domini*): Noun, masculine, singular, genitive. Modifies *imperium*.
*   **ppl̄i** (*populi*): Noun, masculine, singular, genitive. Modifies *conuentu*.
*   **conuerſatuſ ē** (*conversatus est*): Verb, perfect passive indicative (deponent), 3rd person singular. Subject is implied.

**(3) TEI P5 XML Encoding**

```xml
<p>
  <choice>
    <abbr>iuxta imp̃ium</abbr>
    <expan>iuxta imperium</expan>
  </choice> 
  <choice>
    <abbr>dn̄i</abbr>
    <expan>domini</expan>
  </choice> 
  nudo corpore. 
  <choice>
    <abbr>nudoq:</abbr>
    <expan>nudoque</expan>
  </choice> 
  ueſtigio in conuentu 
  <choice>
    <abbr>ppl̄i</abbr>
    <expan>populi</expan>
  </choice> 
  <choice>
    <abbr>conuerſatuſ ē</abbr>
    <expan>conversatus est</expan>
  </choice>.
</p>
```",85,96,65,85,True,"```markdown
85
```","```markdown
96
```","```markdown
65
```",,,,0.00231195,0.00169575,0.000709436
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,google/gemma-4-31b-it,ok,False,0.00071654,0.8,"Based on the provided infrared photograph of 4Q530, col. 2, Frag. 6, the diplomatic transcription is as follows:

Line 1: [...] ר֯ב מ֯ינ [...]
Line 2: [...] [lacuna] [...]
Line 3: [...] א֯בנ֯יק א֯נ֯ו [...]
Line 4: [...] [lacuna] [...]
Line 5: [...] א֯ל֯ינ֯ו י֯ל֯ד [...]
Line 6: [...] [lacuna] [...]
Line 7: [...] ס֯ו֯ינ֯ו מ֯נ֯ו [...]",0,10,N/A,5,False,```\n0\n```,"```
10
```",,,,not_needed,0.0022932,0.00082125,0.0
