benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0192598,43.34,"Here are the two transcription layers for the provided text from Codex Marchalianus p. 11:

**1. DIPLOMATIC TRANSCRIPTION (Majuscules, Scriptio Continua, Exact Anomalies)**

Ο´ΝΟΜΑΤΑΠΡΟΦΗΤΩΝ ΚΑΙΤΠΟΘΕΝΕΙ´ϹΙ ΚΑΙΠΠΟΥ
Α´ΠΕΘΑΝΟΝ ΚΑΙΠΠΩ ΚΑΙΠΠΟΥΚΕΙ´ΝΤΑΙ :
ΗϹΑΙΑϹΠΡΟΦΗΤΗϹΕΞΙΕΡΟΥϹΑΛΗΜΗ´ΝΗΚΕΙΥΠΠΟΜΑΝΑϹ
ΕΝΠΡΙϹΘΕΙϹΔΥΟ·ΚΑΙΕΤΕΘΗΥΠΠΟΚΑΤΩ

*   **Notes on Diplomatic Transcription:**
    *   All letters are in majuscules.
    *   Scriptio continua is preserved.
    *   Lunate sigmas (Ϲ) and lunate omegas (Ω) are used as they appear in the manuscript.
    *   Supralinear strokes indicating abbreviations (Nomina Sacra and other scribal abbreviations) are represented by an overline (e.g., ΠΡΟΦΗΤΩΝ, ΤΠΟΘΕΝ, ΠΠΟΥ, ΠΠΩ, ΗϹΑΙΑϹ, ΙΕΡΟΥϹΑΛΗΜ, ΥΠΠΟΜΑΝΑϹ). The overline spans the letters it covers in the manuscript.
    *   Other faint, inconsistent diacritical marks (resembling rough breathings or accents) are represented by an acute accent (´) above the respective letter (e.g., Ο´, Ω´, Ε´, Α´).
    *   Punctuation marks are preserved as they appear: double punctus (:) and single punctus (·).
    *   Line breaks are exact.

**2. NORMALIZED CRITICAL TRANSCRIPTION (Lower-case, Breathings/Accents, Word Division)**

Ὀνόματα προφητῶν καὶ πόθεν εἰσὶ καὶ ὅπου
ἀπέθανον καὶ ὅπῳ καὶ ὅπου κεῖνται.
Ἠσαΐας προφήτης ἐξ Ἱερουσαλὴμ ἦν ἥκει Μαννασῆς
ἐν πρισθεὶς δύο· καὶ ἐτέθη ὑποκάτω.

*   **Notes on Normalized Transcription:**
    *   Letters are converted to lower-case.
    *   Standard breathings and accents are added.
    *   Standard word division is applied.
    *   Nomina Sacra are expanded:
        *   ΗϹΑΙΑϹ (with overline) is expanded to Ἠσαΐας.
        *   ΙΕΡΟΥϹΑΛΗΜ (with overline) is expanded to Ἱερουσαλήμ.
        *   ΥΠΠΟΜΑΝΑϹ (with overline) is expanded to Μαννασῆς (a known abbreviation/corruption for the name Manasseh).
    *   Other scribal abbreviations indicated by overlines in the diplomatic layer (e.g., ΠΡΟΦΗΤΩΝ, ΤΠΟΘΕΝ, ΠΠΟΥ, ΠΠΩ, ΗΚΕΙ) are expanded to their full words (προφητῶν, πόθεν, ὅπου, ὅπῳ, ἥκει) without special notation, as they are not standard Nomina Sacra.
    *   The faint diacritical marks (represented by ´ in diplomatic) are normalized into standard breathings/accents where appropriate.
    *   Punctuation is normalized to standard Greek punctuation.",10,45,10,10,True,```\n10\n```,"```
45
```",```10```,,,,0.0057324,0.001311,0.0011172
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,google/gemini-2.5-flash,ok,False,0.0126757,21.77,"Here is the critical apparatus for the requested loci, classifying each variant and adhering strictly to the specified notation and philological principles:

1.  **Variant Type:** Addition
    `ἔχει ἥτις ἔχει M ;`

2.  **Variant Type:** Addition
    `πολέμιοι πολέμιοι πόθεν πίνουσιν M ;`

3.  **Variant Type:** Addition and Transposition (two distinct variants)
    *   **Addition:**
        `καὶ ὅτι καὶ M ;`
    *   **Transposition:**
        `ἐδόθη αὐτοῖς χρησμὸς χρησμὸς ἐδόθη αὐτοῖς M ;`",10,70,30,30,True,"```markdown
10
```","```thought
```json
70
```","```score
30
```",,,,0.0104688,0.0013755,0.000402556
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0054909,13.43,"And God performed the sign of Siloam through the prophet; because before dying, having neglected, he prayed to drink water, and immediately it was sent to him from it; for this reason it was called Siloam, which is interpreted ""sent""... If therefore the Judeans came, water came out; but if foreigners, no; wherefore until today it comes out suddenly, in order that the mystery might be shown.",82,80,N/A,81,False,"```markdown
82
```","```
80
```",,,,not_needed,0.0028068,0.00107625,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0129476,24.3,"As a strict philologist, I will adhere precisely to the provided text, preserving all scribal forms and anomalies. No conjectural restorations are made as the text is complete.

**1. Regularized Greek Text:**
Ἠσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

**2. Full Morphosyntactic Parse:**

*   **Word:** Ἠσαΐας
    *   **Lemma:** Ἠσαΐας
    *   **Part of Speech:** Noun, Proper
    *   **Case:** Nominative
    *   **Number:** Singular
    *   **Gender:** Masculine
*   **Word:** ἀπὸ
    *   **Lemma:** ἀπό
    *   **Part of Speech:** Preposition
*   **Word:** Ἱερουσαλὴμ
    *   **Lemma:** Ἱερουσαλήμ
    *   **Part of Speech:** Noun, Proper
    *   **Case:** Genitive (governed by ἀπό)
    *   **Number:** Singular
    *   **Gender:** Feminine (indeclinable)
*   **Word:** θνῄσκει
    *   **Lemma:** θνῄσκω
    *   **Part of Speech:** Verb
    *   **Tense:** Present
    *   **Voice:** Active
    *   **Mood:** Indicative
    *   **Person:** 3rd
    *   **Number:** Singular
*   **Word:** ὑπὸ
    *   **Lemma:** ὑπό
    *   **Part of Speech:** Preposition
*   **Word:** Μανασσῆ
    *   **Lemma:** Μανασσῆς
    *   **Part of Speech:** Noun, Proper
    *   **Case:** Genitive (governed by ὑπό, indicating agent)
    *   **Number:** Singular
    *   **Gender:** Masculine
*   **Word:** ἐν
    *   **Lemma:** ἐν
    *   **Part of Speech:** Preposition
*   **Word:** πρίσει
    *   **Lemma:** πρίσις
    *   **Part of Speech:** Noun
    *   **Case:** Dative (governed by ἐν)
    *   **Number:** Singular
    *   **Gender:** Feminine
*   **Word:** εἰς
    *   **Lemma:** εἰς
    *   **Part of Speech:** Preposition
*   **Word:** δύο
    *   **Lemma:** δύο
    *   **Part of Speech:** Adjective, Numeral
    *   **Case:** Accusative (governed by εἰς)
    *   **Number:** Plural (indeclinable)
*   **Word:** ·
    *   **Part of Speech:** Punctuation (semicolon)
*   **Word:** καὶ
    *   **Lemma:** καί
    *   **Part of Speech:** Conjunction
*   **Word:** ἐτέθη
    *   **Lemma:** τίθημι
    *   **Part of Speech:** Verb
    *   **Tense:** Aorist
    *   **Voice:** Passive
    *   **Mood:** Indicative
    *   **Person:** 3rd
    *   **Number:** Singular
*   **Word:** ὑποκάτω
    *   **Lemma:** ὑποκάτω
    *   **Part of Speech:** Adverb (functioning as a preposition with genitive)
*   **Word:** δρυὸς
    *   **Lemma:** δρῦς
    *   **Part of Speech:** Noun
    *   **Case:** Genitive (governed by ὑποκάτω)
    *   **Number:** Singular
    *   **Gender:** Feminine
*   **Word:** Ῥωγήλ
    *   **Lemma:** Ῥωγήλ
    *   **Part of Speech:** Noun, Proper
    *   **Case:** Genitive (possessive, modifying δρυός)
    *   **Number:** Singular
    *   **Gender:** Masculine (indeclinable)
*   **Word:** .
    *   **Part of Speech:** Punctuation (period)

**3. TEI XML Encoding:**

```xml
<text>
  <body>
    <p>
      <w lemma='Ἠσαΐας' msd='N-PRI.NMS'>Ἠσαΐας</w>
      <w lemma='ἀπό' msd='P'>ἀπὸ</w>
      <w lemma='Ἱερουσαλήμ' msd='N-PRI.GFS'>Ἱερουσαλὴμ</w>
      <w lemma='θνῄσκω' msd='V-PIA.3S'>θνῄσκει</w>
      <w lemma='ὑπό' msd='P'>ὑπὸ</w>
      <w lemma='Μανασσῆς' msd='N-PRI.GMS'>Μανασσῆ</w>
      <w lemma='ἐν' msd='P'>ἐν</w>
      <w lemma='πρίσις' msd='N.DFS'>πρίσει</w>
      <w lemma='εἰς' msd='P'>εἰς</w>
      <w lemma='δύο' msd='A-NUM.AXP'>δύο</w>
      <pc>;</pc>
      <w lemma='καί' msd='C'>καὶ</w>
      <w lemma='τίθημι' msd='V-AIP.3S'>ἐτέθη</w>
      <w lemma='ὑποκάτω' msd='ADV'>ὑποκάτω</w>
      <w lemma='δρῦς' msd='N.GFS'>δρυὸς</w>
      <w lemma='Ῥωγήλ' msd='N-PRI.GMS'>Ῥωγήλ</w>
      <pc>.</pc>
    </p>
  </body>
</text>
```",88,100,80,88,True,"```markdown
88
```","```markdown
100
```","```xml
80
```",,,,0.0050148,0.001962,0.000698572
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0052205,12.48,"```xml
<teiHeader>
  <fileDesc>
    <titleStmt>
      <title>Codex Marchalianus</title>
    </titleStmt>
    <publicationStmt>
      <p>Encoded by a strict philologist.</p>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <settlement>Vatican City</settlement>
          <country>Vatican</country>
          <idno>Vat. gr. 2125</idno>
          <altIdentifier type=""URI"">
            <idno>https://digi.vatlib.it/view/MSS_Vat.gr.2125</idno>
          </altIdentifier>
        </msIdentifier>
        <msContents>
          <msItem>
            <title>Lives of the Prophets (Vitae Prophetarum) - Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc>
            <supportDesc>
              <support>Codex</support>
              <extent>
                <dimensions unit=""mm"">
                  <height quantity=""295""/>
                  <width quantity=""179""/>
                </dimensions>
              </extent>
            </supportDesc>
            <layoutDesc>
              <layout columns=""1"">1 column layout</layout>
            </layoutDesc>
          </objectDesc>
          <scriptDesc>
            <scriptTerm>Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</scriptTerm>
          </scriptDesc>
        </physDesc>
        <history>
          <origin>
            <origPlace>Egypt</origPlace>
            <origDate notBefore=""0500-01-01"" notAfter=""0699-12-31"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
</teiHeader>
```",55,93,40,55,True,"```markdown
55
```","```xml
93
```","```markdown
40
```",,,,0.0031452,0.00120375,0.00057932
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,google/gemini-2.5-flash,ok,False,0.0178095,39.28,"Here are the two transcription layers as requested:

**1. DIPLOMATIC Layer:**

Saraf filius amos. non illuſ
E p̄phe. ſed alteriuſ qui ſimile nuncupat̄ ē no
mine. Ille enim exnumero paſtoꝝ fuit. de oppido
thecue. Hic autē genere nobili ortuſ ē ierl̄m.
Q̄ uē etiā hebrei aunt ſocru fuiſſe manaſſe. Inquo
tanta fuit ſcitas. q̄ vltra excellentia. ut unam
tantu diceret babuiſſe tunica calicina. Quamq:

**2. NORMALIZED Critical Layer:**

Saraf filius Amos. non illius
Prophetae. sed alterius qui simile nuncupatus est nomine.
Ille enim ex numero pastorum fuit. de oppido
Thecue. Hic autem genere nobili ortus est Hierusalem.
Que vel etiam Hebrei aiunt socrum fuisse Manasse. In quo
tanta fuit scientia. que vltra excellentia. ut unam
tantum diceret babuisse tunica calicina. Quamque:",30,62,0,30,True,"Looking at the candidate answer against the ground truth, I need to evaluate both layers carefully.

**Diplomatic Layer Issues:**
- Line 1: ""Saraf"" instead of ""E Saias/Eſaiaſ"" — the rubricated initial E is misplaced/misread, and ""Saraf"" is incorrect
- Line 2: ""E p̄phe"" places the rubricated E incorrectly (should be at start of line 1)
- Line 3: ""exnumero"" lacks space (should be ""ex numero"")
- Line 5: ""Q̄ uē"" instead of ""Quē""; ""aunt"" instead of ""aiunt""; ""Inquo"" lacks space
- Line 6: ""q̄ vltra"" instead of ""& uite"" — completely different word
- Line 6: ""ſcitas"" missing macron (should be ""scītas"")
- Line 7: ""tantu"" missing macron; ""diceret"" missing abbreviation mark (should be ""diceret̄""); ""babuiſſe"" instead of ""habuisse""; ""tunica"" missing macron; ""calicina"" instead of ""cilicinā""

**Normalized Layer Issues:**
- ""Saraf"" instead of ""Esaias""
- ""Que vel etiam"" instead of ""Quem etiam""
- ""que vltra"" instead of ""et vitae""
- ""babuisse"" instead of ""habuisse""
- ""calicina"" instead of ""cilicinā""

**Positive aspects:**
- Long-s (ſ) used appropriately in many places
- Abbreviations preserved (p̄phe, nuncupat̄ ē, paſtoꝝ, ierl̄m, autē)
- Some lines (3-4) are largely correct

The errors are numerous and significant, including multiple misreadings of actual words (Saraf, aunt, q̄ vltra, babuisse, calicina) and missing diacritical marks. The first line is fundamentally wrong.

```\n30\n```","```
62
```","```0
```",,,,0.007986,0.00091725,0.0003452644
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,google/gemini-2.5-flash,ok,False,0.0064163,14.58,"Here is the critical apparatus for Isidore §37, collating manuscript Vat. lat. 629 f. 3v (V) against the critical base text of Chaparro Gómez 1985 (C):

1.  **Substitution:**
    `ille` `Hic` V ;

2.  **Substitution and Addition:**
    `hic` `Hic autem` V ;
    **Substitution:**
    `nobilis` `nobili` V ;
    **Substitution:**
    `in` `est` V ;

3.  **Substitution:**
    `atrocique` `atroque` V ;
    **Orthographic:**
    `extincxit` `extinxit` V ;",60,85,45,60,True,"Looking at the candidate's apparatus against the ground truth:

**Variant 1:** Correctly identified as substitution of `Hic` for `ille`. ✓

**Variant 2:** 
- `Hic autem` for `hic`: Partially correct but conflates substitution (Hic) and addition (autem) into one entry rather than separating them cleanly.
- `nobili` for `nobilis`: Correctly identified as substitution. ✓
- `in` → `est`: **MAJOR ERROR.** The ground truth shows ""in"" is *omitted* in V, and ""est"" appears elsewhere in the sentence (""ortus est Hierusalem""). The candidate misaligns the witnesses and misclassifies an omission as a substitution.

**Variant 3:** Both sub-variants correctly identified (substitution of `atroque` for `atrocique`, orthographic `extinxit` for `extincxit`). ✓

**Evaluation against rubric:**
- *Variant detection*: All real variants found, none invented. Good.
- *Correct alignment*: The `in`/`est` pairing is a serious alignment error.
- *Variant typology*: The omission of `in` is misclassified as a substitution.
- *Apparatus discipline*: Uses backticks instead of brackets; editorial labels intrude; the `in`/`est` error is a substantive misreading.

The candidate handles variants 1 and 3 well but commits a significant misalignment and misclassification in variant 2.

```markdown
60
```",```85```,"```markdown
45
```",,,,0.00427425,0.0018855,0.000889336
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0063423,12.22,"The Hebrews, moreover, relate that Isaiah was killed for two reasons: one, because he called them 'princes of Sodom' and 'people of Gomorrah'; the other, because, while the Lord testified to Moses, ""you will not be able to see my face,"" this man dared to exclaim, ""I saw the Lord sitting upon a high throne..."" — the Jews, blinded in mind, not considering that in the subsequent passages he had related that the Seraphim had covered the face and feet of God and that he wrote that he had seen only His middle parts. He lies under the Rogel oak near the courses of the waters.",96,98,N/A,97,False,```\n96\n```,"```
98
```",,,,not_needed,0.0018075,0.0006675,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0092015,19.76,"Here is the annotation for the diplomatic Latin phrase:

**Original Diplomatic Text:**
`iuxta imp̃ium dn̄i nudo corpore. nudoq: ueſtigio in conuentu ppl̄i conuerſatuſ ē.`

---

**(1) Expanded Latin Text (preserving scribal spelling variations):**

iuxta imperium domini nudo corpore. nudoque ueſtigio in conuentu populi conuerſatuſ est.

---

**(2) Grammatical Parse:**

*   **imp̃ium** (expanded: *imperium*)
    *   **Part of Speech:** Noun
    *   **Gender:** Neuter
    *   **Number:** Singular
    *   **Case:** Accusative
    *   **Function:** Object of the preposition `iuxta`.

*   **dn̄i** (expanded: *domini*)
    *   **Part of Speech:** Noun
    *   **Gender:** Masculine
    *   **Number:** Singular
    *   **Case:** Genitive
    *   **Function:** Dependent on `imperium` (genitive of possession or relation).

*   **ppl̄i** (expanded: *populi*)
    *   **Part of Speech:** Noun
    *   **Gender:** Masculine
    *   **Number:** Singular
    *   **Case:** Genitive
    *   **Function:** Dependent on `conuentu` (genitive of possession or relation).

*   **conuerſatuſ ē** (expanded: *conuersatus est*)
    *   **Part of Speech:** Verb
    *   **Lexical Form:** `conversor, conversari, conversatus sum` (deponent verb)
    *   **Tense:** Perfect
    *   **Mood:** Indicative
    *   **Voice:** Active (deponent)
    *   **Person:** 3rd
    *   **Number:** Singular
    *   **Form:** Composed of the perfect passive participle `conuersatus` (masculine, singular, nominative) and the auxiliary verb `est` (present indicative of `sum`, 3rd person singular).
    *   **Function:** Main verb of the clause.

---

**(3) TEI P5 XML Encoding:**

```xml
<p>iuxta <choice><abbr>imp̃ium</abbr><expan>imperium</expan></choice> <choice><abbr>dn̄i</abbr><expan>domini</expan></choice> nudo corpore. <choice><abbr>nudoq:</abbr><expan>nudoque</expan></choice> ueſtigio in conuentu <choice><abbr>ppl̄i</abbr><expan>populi</expan></choice> conuerſatuſ <choice><abbr>ē</abbr><expan>est</expan></choice>.</p>
```",92,98,N/A,95,False,"Looking at the candidate answer against the ground truth:

**(1) Normalized text:** Mostly correct, but the candidate preserves scribal u/v variations (ueſtigio, conuentu, conuerſatuſ) in what should be a normalized text. Minor punctuation difference (period vs. comma after ""corpore""). Capitalization of ""domini"" differs.

**(2) Grammatical parse:** All four parses are morphologically correct:
- imperium: acc. sg. neut., governed by iuxta ✓
- domini: gen. sg. masc., modifying imperium ✓
- populi: gen. sg. masc., modifying conventu ✓
- conversatus est: deponent, perfect indicative, 3rd sg., main predicate ✓

The candidate adds helpful detail about the participle + auxiliary composition, which is accurate.

**(3) TEI XML:** Structurally correct, but differs from ground truth in:
- Wraps content in `<p>` (not in ground truth, but acceptable)
- Splits ""conuerſatuſ ē"" into two separate `<choice>` elements (one for ""conuerſatuſ"" with no abbreviation, one for ""ē"" → ""est""), whereas ground truth treats it as a single choice
- Preserves scribal u/v in the expanded forms
- Period instead of comma after ""corpore""

The core philological content is accurate throughout. The differences are stylistic/structural rather than substantive errors.

```markdown
92
```","```score
98
```",,,,not_needed,0.00474045,0.0017415,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0037993,8.25,"Here is the diplomatic transcription of 4Q530, col. 2, Frag. 6:

Line 1: ל י א ר֯ י ן ו ה [...]
Line 2: א ג ב י א ל א ס ו מ א [...]
Line 3: א ל א י ל א ב ו א ל [...]
Line 4: י ק י ן ו ן י ן [...]",1,10,N/A,5.5,False,"```json
{
  ""reasoning"": ""The candidate transcription bears virtually no resemblance to the ground truth. Every line contains entirely different letters/words: Line 1 ground truth is נפיליא but candidate shows ל י א ר֯ י ן ו ה; Line 2 ground truth has גננין/גנניא and משקין but candidate shows א ג ב י א ל א ס ו מ א; Line 3 ground truth has רברבין and נפקו מן but candidate shows א ל א י ל א ב ו א ל; Line 4 ground truth has לשנין די נור מן but candidate shows י ק י ן ו ן י ן. None of the key extant words are correctly identified. The text appears to be entirely hallucinated. The unusual letter-spacing format is also non-standard. This represents a complete failure of diplomatic fidelity and severe hallucination."",
  ""score"": 0
}
```","```
10
```",,,,not_needed,0.0023982,0.001224,0.0
