benchmark,siglum,task_type,verification_status,model,answer_status,answer_cached,answer_cost_usd,answer_latency_s,answer,score::minimax/minimax-m3,score::google/gemini-3.8-flash,score::deepseek/deepseek-v4-flash (tiebreak),score_consensus,tiebreak_triggered,score_raw::minimax/minimax-m3,score_raw::google/gemini-3.8-flash,score_raw::deepseek/deepseek-v4-flash (tiebreak),score_error::minimax/minimax-m3,score_error::google/gemini-3.8-flash,score_error::deepseek/deepseek-v4-flash (tiebreak),score_cost_usd::minimax/minimax-m3,score_cost_usd::google/gemini-3.8-flash,score_cost_usd::deepseek/deepseek-v4-flash (tiebreak)
trans-greek-marchalianus-p11,Vat. gr. 2125 p. 11 (Marchalianus),transcription,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0015998,3.32,"Here are the two transcription layers as requested:

**DIPLOMATIC TRANSCRIPTION**

1.  ΟΝΟΜΑΤΑΠΡΟΦΗΤΩΝΚΑΙΤΤΟΘΕΝΕΙϹΙΚΑΙΤΤΟΥ
2.  ΑΤΤΕΦΑΝΟΝΚΑΙΤΤΩϹΚΑΙΤΤΟΥΚΕΙΝΤΑΙ : ⸖ ⸖ ⁓
3.  ΗϹΑΙΑϹΑΤΤΡΟΦΗΤΟΥϹΑΛΗΜΗΝΗΚΕΙΫΤΤΤΟΥΑΝΑϹ
4.  ΕΝΤΤΡΙϹΙΘΕΙϹΕΙϹΔΥΟ·ΚΑΙΕΤΤΕΘΗΥΤΤΟΚΑΤΩ

**NORMALIZED CRITICAL TRANSCRIPTION**

1.  Ὀνόματα προφητῶν καὶ τὸ πόθεν εἰσὶ καὶ τοῦ
2.  ἀττεφάνον καὶ πῶς καὶ τοῦ κεῖνται.
3.  Ἡσαΐας ἀπὸ προφήτου Σαλήμην ἥν ἥκει ὑπὸ τοῦ ἀνασ-
4.  ἐν τρισὶ θείσει εἰς δύο· καὶ ἐτέθη ὑποκάτω",5,38,0,5,True,```\n5\n```,"The candidate shows severe character misreadings throughout both layers, particularly consistently confusing the uncial Pi (Π) with ""TT"" or ""ΤΤ"" (e.g., ΤΤΟΘΕΝ, ΤΤΟΥ, ΑΤΤΕΦΑΝΟΝ [for ΑΠΕΘΑΝΟΝ], ΑΤΤΡΟΦΗΤΟΥϹΑΛΗΜ [for ΑΠΟΪΕΡΟΥϹΑΛΗΜ], etc.). Line 3 and Line 4 have massive misreadings/hallucinations (""ΗϹΑΙΑϹΑΤΤΡΟΦΗΤΟΥϹΑΛΗΜΗΝΗΚΕΙΫΤΤΤΟΥΑΝΑϹ"", ""ΕΝΤΤΡΙϹΙΘΕΙϹΕΙϹΔΥΟ"" for ""ϹΗΠΡΙϹΘΕΙϹΕΙϹΔΥΟ""). In the normalized layer, these errors turn into complete gibberish (""ἀττεφάνον"", ""προφήτου Σαλήμην ἥν ἥκει ὑπὸ τοῦ ἀνασ- ἐν τρισὶ θείσει εἰς δύο"").

However, the model followed the formatting structure, puncta at the end of line 2, diaeresis over upsilon in line 3, and respected the line boundary at ὑποκάτω.

```
38
```","```0
```",,,,0.0033738,0.00195675,0.00052738
coll-greek-marchalianus-vitae,Vat. gr. 2125 p. 11 vs. Schermann 1907,collation,SELF_CONTAINED_GT,google/gemini-2.5-flash,ok,False,0.0007507,1.95,"Here is the collation of Codex Marchalianus (M) against Schermann (S) for the provided loci:

1. S: ἔχει δὲ εἴσοδον ἀπὸ Γαβαών
   M: ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών

   Apparatus:
   ἔχει δὲ εἴσοδον ἀπὸ Γαβαών] ἥτις ἔχει εἴσοδον ἀπὸ Γαβαών M (addition)

2. S: ἠρώτων γὰρ οἱ πολέμιοι
   M: ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν

   Apparatus:
   ἠρώτων γὰρ οἱ πολέμιοι] ἠρώτων γὰρ οἱ πολέμιοι πόθεν πίνουσιν M (addition)

3. S: καὶ ἐδόθη αὐτοῖς χρησμὸς
   M: ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς

   Apparatus:
   καὶ ἐδόθη αὐτοῖς χρησμὸς] ὅτι καὶ χρησμὸς ἐδόθη αὐτοῖς M (substitution and transposition)",50,65,70,65,True,"```markdown
50
```","```markdown
65
```","```70
```",,,,0.0027372,0.0006825,0.00057904
translat-greek-marchalianus-siloam,Vat. gr. 2125 p. 11 (Siloam Miracle),translation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0002934,0.97,"And God performed the sign of Siloam through the prophet; because before dying, having neglected, he prayed to drink water and immediately it was sent to him from it; for this reason it was called Siloam, which is interpreted 'sent'... If therefore the Jews came, water came forth; but if foreigners, not; wherefore until today it comes forth suddenly, so that the mystery might be shown.",82,82,N/A,82,False,```\n82\n```,"```
82
```",,,,not_needed,0.0025032,0.00129525,0.0
annot-greek-marchalianus-tei-msd,Vat. gr. 2125 p. 11 (TEI MSD & Lemma),annotation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0025076,4.81,"Here is the annotation of the provided Greek sentence, preserving all scribal anomalies and explicitly marking lacunae if present (though none are in this complete sentence):

**Regularized Greek Text:**
Ἡσαΐας ἀπὸ Ἱερουσαλὴμ θνῄσκει ὑπὸ Μανασσῆ ἐν πρίσει εἰς δύο· καὶ ἐτέθη ὑποκάτω δρυὸς Ῥωγήλ.

**Morphosyntactic Parse:**

*   **Ἠσαΐας** (lemma: Ἠσαΐας, POS: noun, case: nominative, number: singular, gender: masculine)
*   **ἀπὸ** (lemma: ἀπό, POS: preposition)
*   **Ἱερουσαλὴμ** (lemma: Ἱερουσαλήμ, POS: proper noun, case: indeclinable)
*   **θνῄσκει** (lemma: θνῄσκω, POS: verb, tense: present, voice: active, mood: indicative, person: 3rd, number: singular)
*   **ὑπὸ** (lemma: ὑπό, POS: preposition)
*   **Μανασσῆ** (lemma: Μανασσῆς, POS: proper noun, case: genitive, number: singular, gender: masculine)
*   **ἐν** (lemma: ἐν, POS: preposition)
*   **πρίσει** (lemma: πρίσις, POS: noun, case: dative, number: singular, gender: feminine)
*   **εἰς** (lemma: εἰς, POS: preposition)
*   **δύο** (lemma: δύο, POS: numeral, case: indeclinable)
*   **·** (POS: punctuation)
*   **καὶ** (lemma: καί, POS: conjunction)
*   **ἐτέθη** (lemma: τίθημι, POS: verb, tense: aorist, voice: passive, mood: indicative, person: 3rd, number: singular)
*   **ὑποκάτω** (lemma: ὑποκάτω, POS: adverb)
*   **δρυὸς** (lemma: δρῦς, POS: noun, case: genitive, number: singular, gender: feminine)
*   **Ῥωγήλ** (lemma: Ῥωγήλ, POS: proper noun, case: indeclinable)
*   **.** (POS: punctuation)

**TEI XML Encoding:**

```xml
<text>
   <body>
      <p>
         <w lemma=""Ἠσαΐας"" msd=""noun.nom.sg.masc"">Ἠσαΐας</w>
         <w lemma=""ἀπό"" msd=""prep"">ἀπὸ</w>
         <w lemma=""Ἱερουσαλήμ"" msd=""prop.indecl"">Ἱερουσαλὴμ</w>
         <w lemma=""θνῄσκω"" msd=""verb.pres.act.ind.3sg"">θνῄσκει</w>
         <w lemma=""ὑπό"" msd=""prep"">ὑπὸ</w>
         <w lemma=""Μανασσῆς"" msd=""prop.gen.sg.masc"">Μανασσῆ</w>
         <w lemma=""ἐν"" msd=""prep"">ἐν</w>
         <w lemma=""πρίσις"" msd=""noun.dat.sg.fem"">πρίσει</w>
         <w lemma=""εἰς"" msd=""prep"">εἰς</w>
         <w lemma=""δύο"" msd=""num.indecl"">δύο</w>
         <pc>;</pc>
         <w lemma=""καί"" msd=""conj"">καὶ</w>
         <w lemma=""τίθημι"" msd=""verb.aor.pass.ind.3sg"">ἐτέθη</w>
         <w lemma=""ὑποκάτω"" msd=""adv"">ὑποκάτω</w>
         <w lemma=""δρῦς"" msd=""noun.gen.sg.fem"">δρυὸς</w>
         <w lemma=""Ῥωγήλ"" msd=""prop.indecl"">Ῥωγήλ</w>
         <pc>.</pc>
      </p>
   </body>
</text>
```",83,95,40,83,True,"Looking at the candidate answer against the ground truth:

**Regularized Text:**
- The candidate has Ἡσαΐας (smooth breathing) instead of Ἠσαΐας (rough breathing). Minor orthographic error.

**Morphosyntactic Parse:**
- Most parses are accurate and match the ground truth.
- **ὑποκάτω**: The candidate classifies this as an adverb, while the ground truth marks it as a preposition (P) governing the genitive δρυός. In this context, it functions as a preposition, so this is a syntactic role error.

**TEI XML:**
- The msd format differs from the ground truth (verbose vs. compact codes), but conveys equivalent information.
- The candidate uses `<pc>;</pc>` (semicolon) for the middle dot (·), which is incorrect encoding.
- The candidate wraps content in `<text>`, `<body>`, `<p>` elements, which is valid but not required.

**Summary of issues:**
1. Smooth breathing on Ἠσαΐας (minor orthographic)
2. ὑποκάτω misclassified as adverb instead of preposition (syntactic role)
3. Wrong punctuation character in TEI (minor encoding)

The lexical accuracy is excellent, morphological parses are mostly correct, and there's no false confidence on ambiguous forms.

```markdown
83
```","```code
95
```","```score
40
```",,,,0.0064134,0.0021225,0.000748972
encode-greek-marchalianus-teiheader,Vat. gr. 2125 (Codex Marchalianus Header),encoding,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.001568,3.41,"```xml
<teiHeader>
  <fileDesc>
    <titleStmt>
      <title type=""uniform"">Codex Marchalianus</title>
      <respStmt>
        <resp>Encoding by</resp>
        <name>Your Name/Institution</name>
      </respStmt>
    </titleStmt>
    <publicationStmt>
      <p>This TEI XML document is a digital representation of Codex Marchalianus.</p>
    </publicationStmt>
    <sourceDesc>
      <msDesc>
        <msIdentifier>
          <country key=""VA"">Vatican</country>
          <settlement>Vatican City</settlement>
          <repository>Biblioteca Apostolica Vaticana</repository>
          <idno>Vat. gr. 2125</idno>
          <altIdentifier type=""other"">
            <idno>Codex Marchalianus</idno>
          </altIdentifier>
        </msIdentifier>
        <msContents>
          <msItem xml:id=""item1"">
            <title type=""uniform"">Lives of the Prophets (Vitae Prophetarum) - Isaiah</title>
            <textLang mainLang=""grc"">Ancient Greek</textLang>
          </msItem>
        </msContents>
        <physDesc>
          <objectDesc form=""codex"">
            <supportDesc material=""parchment"">
              <extent>
                <dimensions unit=""mm"">
                  <height quantity=""295"">295</height>
                  <width quantity=""179"">179</width>
                </dimensions>
              </extent>
              <collation>
                <layout columns=""1""/>
              </collation>
            </supportDesc>
            <handDesc>
              <handNote script=""Greek Uncial"">Greek Uncial / Majuscule with lunate sigmas and Nomina Sacra</handNote>
            </handDesc>
          </objectDesc>
        </physDesc>
        <history>
          <origin notBefore=""0500-01-01"" notAfter=""0699-12-31"">
            <origPlace>Egypt</origPlace>
            <origDate calendar=""Gregorian"">6th to 7th century</origDate>
          </origin>
        </history>
      </msDesc>
    </sourceDesc>
  </fileDesc>
  <encodingDesc>
    <p>The encoding of this manuscript adheres to the TEI P5 guidelines.</p>
  </encodingDesc>
</teiHeader>
```",70,68,N/A,69,False,"```markdown
70
```","An evaluation of the candidate response against the ground truth and TEI P5 guidelines:

1. **Schema Validity & Structure**:
   - The candidate puts `<handDesc>` inside `<objectDesc>`, which is invalid in TEI P5 (`<handDesc>` is a sibling of `<objectDesc>`, inside `<physDesc>`).
   - The candidate puts `<layout>` inside `<collation>`, which is also invalid in TEI P5 (it belongs in `<layoutDesc>`, inside `<objectDesc>`).
   - In `<origin>`, `notBefore` and `notAfter` are placed on `<origin>` rather than on `<origDate>` (though `<origDate>` is inside). In TEI, `origin` does not take date attributes (attributes of att.datable belong to `<origDate>`).
   - The default TEI namespace (`xmlns=""http://www.tei-c.org/ns/1.0""`) is missing from `<teiHeader>`.

2. **Metadata Accuracy & Completeness**:
   - All requested data elements are present and accurate (repository, settlement, country, idno, contents, script, dimensions, origin, dates).
   - Used `<altIdentifier>` instead of `<msName>`, but acceptable.

Because of the multiple structural/schema hierarchy violations (`<layout>` inside `<collation>`, `<handDesc>` inside `<objectDesc>`, invalid attributes on `<origin>`), points must be deducted.

Score: 68/100.

```digit
68
```",,,,not_needed,0.0032706,0.0024405,0.0
trans-latin-vatlat629-f3v,Vat. lat. 629 f. 3v (§37 Esaias),transcription,SELF_CONTAINED_GT,google/gemini-2.5-flash,ok,False,0.001452,3.27,"Here are the two transcription layers as requested:

**(1) DIPLOMATIC LAYER**

E ſarai filius amos. non illius
&nbsp;&nbsp;&nbsp;&nbsp;p̄phe. ſed alterius qui ſimile nuncupat̄ e. no
mine. Ille enim exnumero paſtoꝝ fuit. de oppido
thecue. Hic aute genere nobili ortus e. ierl̄m.
Que etiā hebrei aiunt ſocru fuiſſe manaſſe. Inquo
tanta fuit ſcitas. & uita excellentia. ut unam
tantū diceret habuiſſe tunicā cilicinā. Quamq:

**(2) NORMALIZED CRITICAL LAYER**

Esaias filius Amos, non illius
&nbsp;&nbsp;&nbsp;&nbsp;prophetae, sed alterius qui simile nuncupatus est nomine.
Ille enim ex numero pastorum fuit de oppido
Thecue. Hic autem genere nobili ortus est Hierusalem.
Quem etiam Hebraei aiunt socrum fuisse Manasse. In quo
tanta fuit scientia et vitae excellentia ut unam
tantum diceret habuisse tunicam cilicinam. Quamquam",45,80,25,45,True,"Looking at the candidate answer against the ground truth:

**Diplomatic Layer Issues:**
1. **""E ſarai""** instead of ""E Saias"" / ""Eſaiaſ"" — this is a fundamental misreading of the opening rubricated initial and following text. Major error.
2. **""aute""** instead of ""autē"" — silent normalization (macron dropped) in diplomatic layer.
3. **""e""** instead of ""ē**""** in ""nuncupat̄ e"" and ""ortus e"" — silent normalization of macrons in diplomatic layer.
4. **""exnumero""** instead of ""ex numero"" — missing word space.
5. Lines 5–7: missing macrons (""Que"" for ""Quē"", ""socrū"" for ""socrū"" with macron, ""scītas"" for ""scītas""), ""Inquo"" for ""In quo"", ""uita"" for ""uite"", missing suspension mark on ""diceret̄"".

**Normalized Layer Issues:**
1. **""ortus est Hierusalem""** instead of ""ortus in Hierusalem"" — deviates from ground truth reading.
2. Missing period after ""excellentia"" in optional lines.

The ""E ſarai"" misreading is particularly damaging, and the systematic dropping of macrons in the diplomatic layer violates the core requirement to preserve scribal forms exactly.

```json
45
```","```
80
```","```25
```",,,,0.0078414,0.0017955,0.000847
coll-latin-vatlat629-isidore,Vat. lat. 629 f. 3v vs. Chaparro Gómez 1985,collation,SELF_CONTAINED_GT,google/gemini-2.5-flash,ok,False,0.0002913,0.8,"**Isidore, *De ortu et obitu patrum*, §37**

1. ille enim ex numero pastorum fuit] Hic enim ex numero pastorum fuit V
2. hic genere nobilis ortus in Hierusalem] Hic autem genere nobili ortus est Hierusalem V
3. atrocique supplicio excruciatum extincxit] atroque supplicio excruciatum extinxit V",15,20,N/A,17.5,False,"Looking at the candidate answer against the ground truth:

**Variant detection**: The candidate shows the readings but does not isolate or explicitly identify the specific points of variation (e.g., the omission of ""in"" is implicit but not flagged). Partial credit.

**Correct alignment**: The readings are paired with the correct base text segments. Good.

**Variant typology**: Completely absent. No classification of SUBSTITUTION, ADDITION, OMISSION, or ORTHOGRAPHIC variants is provided. This is a major failure.

**Apparatus discipline**: The apparatus is not well-formed. It lacks:
- The required [lemma] bracket notation
- Variant type classifications
- The semicolon separator
- Proper critical apparatus structure

The candidate essentially just listed the readings in a basic comparison format without performing the actual apparatus work requested.

```markdown
15
```","```markdown
20
```",,,,not_needed,0.0031497,0.00103725,0.0
translat-latin-vatlat629-seraphim,Vat. lat. 629 f. 3v (Seraphim Vision & Martyrdom),translation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0004073,1.2,"The Hebrews, however, relate that Esaias was killed for two reasons: one, because he called them “princes of Sodom and people of Gomorrah”; the other, because, with the Lord testifying to Moses “you will not be able to see my face,” this one dared to exclaim: “I saw the Lord sitting upon a high throne…,” the Jews, blinded in mind, not considering that in the subsequent passages he had narrated that the Seraphim had covered the face and feet of God and that he wrote that he had seen only His middle parts. He lies beneath the oak of Rogel beside the courses of the waters.",95,98,N/A,96.5,False,```\n95\n```,"```
98
```",,,,not_needed,0.0020907,0.00054,0.0
annot-latin-vatlat629-abbreviations,Vat. lat. 629 f. 3v (Scribal Abbreviation Encoding),annotation,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0016365,3.92,"Here is the annotation of the diplomatic Latin phrase:

**Diplomatic Text:** iuxta imp̃ium dn̄i nudo corpore. nudoq: ueſtigio in conuentu ppl̄i conuerſatuſ ē.

---

**(1) Expanded Normalized Latin Text:**
iuxta imperium domini nudo corpore. nudoque vestigio in conventu populi conversatus est.

---

**(2) Grammatical Parse:**

*   **imp̃ium (imperium):**
    *   **Part of Speech:** Noun
    *   **Case:** Accusative
    *   **Number:** Singular
    *   **Gender:** Neuter
    *   **Declension:** 2nd
    *   **Function:** Object of the preposition *iuxta*.

*   **dn̄i (domini):**
    *   **Part of Speech:** Noun
    *   **Case:** Genitive
    *   **Number:** Singular
    *   **Gender:** Masculine
    *   **Declension:** 2nd
    *   **Function:** Possessive genitive, modifying *imperium*.

*   **ppl̄i (populi):**
    *   **Part of Speech:** Noun
    *   **Case:** Genitive
    *   **Number:** Singular
    *   **Gender:** Masculine
    *   **Declension:** 2nd
    *   **Function:** Possessive genitive, modifying *conventu*.

*   **conuerſatuſ ē (conversatus est):**
    *   **Part of Speech:** Verb (perfect passive participle + auxiliary verb)
    *   **Form:** Perfect Indicative Passive
    *   **Person:** 3rd
    *   **Number:** Singular
    *   **Voice:** Passive (though *conversor* is deponent, so it has an active meaning)
    *   **Tense:** Perfect
    *   **Lexical Verb:** *conversor, conversari, conversatus sum* (to associate with, to live, to dwell)
    *   **Auxiliary Verb:** *sum, esse, fui, futurus* (to be)
    *   **Function:** Main verb of the clause.

---

**(3) TEI P5 XML Encoding:**

```xml
<p>iuxta <choice><abbr>imp̃ium</abbr><expan>imperium</expan></choice> <choice><abbr>dn̄i</abbr><expan>domini</expan></choice> nudo corpore. nudoq: ueſtigio in conuentu <choice><abbr>ppl̄i</abbr><expan>populi</expan></choice> <choice><abbr>conuerſatuſ ē</abbr><expan>conuersatus est</expan></choice>.</p>
```",92,95,N/A,93.5,False,"```markdown
92
```","The candidate answer is exceptionally accurate and fulfills all parts of the prompt:
- (1) Correct expanded normalized text.
- (2) Complete and accurate grammatical parsing (correct cases, genders, deponent verb note, syntactic roles).
- (3) TEI XML encoding correctly uses `<choice><abbr>...</abbr><expan>...</expan></choice>` for the abbreviations. The candidate missed encoding `nudoq:`, leaving it unexpanded in the XML, whereas the ground truth encoded `nudoq:`, though it expanded the main abbreviations requested.

```thought
```

```95```",,,,not_needed,0.00429645,0.0014415,0.0
trans-aramaic-4q530-f2ii,4Q530 col. 2 (Frag. 6 / lines 6-9),transcription,ESTABLISHED_GT,google/gemini-2.5-flash,ok,False,0.0008718,2.31,"Here is the diplomatic transcription of the visible Aramaic text from 4Q530, col. 2, Frag. 6:

1.  [...]ל֯ו֯ה֯י֯ ו֯ל֯א֯ י֯כ֯ל֯ו֯ן֯ [...]
2.  [...]א֯ ג֯ב֯ר֯א֯ ו֯מ֯א֯ [...]
3.  [...]א֯ י֯ב֯א֯ש֯ו֯ן֯ [...]
4.  [...]י֯ן֯ ו֯ל֯א֯ י֯ש֯ל֯מ֯ו֯ן֯ [...]",2,10,N/A,6,False,"```json
{
  ""reasoning"": ""The candidate answer bears virtually no resemblance to the ground truth transcription. Every single word is wrong: the ground truth reads נפיליא, גננין/גנניא, משקין, רברבין, נפקו מן, לשנין די נור מן — while the candidate invents entirely fabricated words (גברא, יכלון, יבאשון, ישלמון) that do not appear on the fragment. This is a textbook case of hallucination: the model has recited text from memory (or invented it) rather than reading the physically extant ink. While the candidate does use some supralinear dots and square brackets (formatting conventions), the content is completely fabricated. This fails on every rubric dimension — diplomatic fidelity is zero, and epigraphic restraint is entirely absent. The model should have refused or noted illegibility rather than inventing text."",
  ""score"": 2
}
```","```
10
```",,,,not_needed,0.0024288,0.0008325,0.0
